asset_key,relation,dependency_resref,allowed_formats,resolved_format,present,source_bif
projectile:1PDEATHF,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:1PGSPORE,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:1PICECLD,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:1PINCIND,spread-animation,SPINCINA,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:1PINCIND,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:1PMANEGS,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:1PSLEEPC,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:ACIDBLGR,travel-animation,ACIDBLOB,BAM,BAM,yes,data/SPELAnim.bif
projectile:ACIDBLMU,travel-animation,ACIDBLOB,BAM,BAM,yes,data/SPELAnim.bif
projectile:ACIDBLOB,travel-animation,ACIDBLOB,BAM,BAM,yes,data/SPELAnim.bif
projectile:ACIDBLOC,travel-animation,ACIDBLOB,BAM,BAM,yes,data/SPELAnim.bif
projectile:ARROW,travel-animation,ARARROW,BAM,BAM,yes,data/OBJAnim.bif
projectile:ARROWEX,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:ARROWEX,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:ARROWEX,travel-animation,SPFLMARR,BAM,BAM,yes,data/SPELAnim.bif
projectile:ARROWFLB,travel-animation,SPFLMARR,BAM,BAM,yes,data/SPELAnim.bif
projectile:ARROWFLG,travel-animation,SPFLMARR,BAM,BAM,yes,data/SPELAnim.bif
projectile:ARROWFLI,travel-animation,SPFLMARR,BAM,BAM,yes,data/SPELAnim.bif
projectile:ARROWFLM,travel-animation,SPFLMARR,BAM,BAM,yes,data/SPELAnim.bif
projectile:ARROWHVY,travel-animation,ARARROW,BAM,BAM,yes,data/OBJAnim.bif
projectile:AXE,travel-animation,AXE,BAM,BAM,yes,data/OBJAnim.bif
projectile:AXEEX,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:AXEEX,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:AXEEX,travel-animation,AXE,BAM,BAM,yes,data/OBJAnim.bif
projectile:BDETHRET,spread-animation,BDETHREA,VEF;VVC;BAM,VVC,yes,data/Patch2.bif
projectile:BDETHRET,travel-animation,SPCLOUD3,BAM,BAM,yes,data/GUIIcon.bif
projectile:BDSPFIRE,explosion-animation,BDSFIREH,VEF;VVC;BAM,BAM,yes,data/Patch2.bif
projectile:BDSPFIRE,spread-animation,BDSFIREA,VEF;VVC;BAM,BAM,yes,data/Patch2.bif
projectile:BDSPFIRE,travel-animation,BDSFIRET,BAM,BAM,yes,data/Patch2.bif
projectile:BDWOFOG,spread-animation,BDWOFOGA,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:BDWOFOG,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:BGLRY,travel-animation,BGLRYT,BAM,BAM,yes,data/Patch25.bif
projectile:BOLT,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:BOLT2,explosion-animation,FSEEDX,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:BOLT2,spread-animation,FSEEDA,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:BOLT2,travel-animation,SPFIRSE2,BAM,BAM,yes,data/SPELAnim.bif
projectile:BOLTEX,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:BOLTEX,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:BOLTEX,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:BULLET,travel-animation,MAGICSTN,BAM,BAM,yes,data/SPELAnim.bif
projectile:BULLETEX,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:BULLETEX,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:BULLETEX,travel-animation,MAGICSTN,BAM,BAM,yes,data/SPELAnim.bif
projectile:BURNHAND,ring-animation,SPBHANDI,VEF;VVC;BAM,BAM,yes,data/SPELAnim.bif
projectile:CDBEHBLA,travel-animation,SPBEHBLA,BAM,BAM,yes,data/SPELAnim.bif
projectile:CDDRBLCK,explosion-animation,SPSDIMSP,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:CDDRBLCK,spread-animation,SPSDRAE2,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:CGABJURA,travel-animation,CGABJURA,BAM,BAM,yes,data/GUIIcon.bif
projectile:CGALTERA,travel-animation,CGALTERA,BAM,BAM,yes,data/GUIIcon.bif
projectile:CGCONJUR,travel-animation,CGCONJUR,BAM,BAM,yes,data/GUIIcon.bif
projectile:CGDIVINA,travel-animation,CGDIVINA,BAM,BAM,yes,data/GUIIcon.bif
projectile:CGENCHAN,travel-animation,CGENCHAN,BAM,BAM,yes,data/GUIIcon.bif
projectile:CGILLUSI,travel-animation,CGILLUSI,BAM,BAM,yes,data/GUIIcon.bif
projectile:CGINVOCA,travel-animation,CGINVOCA,BAM,BAM,yes,data/GUIIcon.bif
projectile:CGNECROM,travel-animation,CGNECROM,BAM,BAM,yes,data/GUIIcon.bif
projectile:CHROMORB,shadow-animation,SPCHRORB,BAM,BAM,yes,data/SPELAnim.bif
projectile:CHROMORB,travel-animation,SPCHRORB,BAM,BAM,yes,data/SPELAnim.bif
projectile:CLOUD,spread-animation,SPCLOUDS,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:CLOUD,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:CLOUDKIL,spread-animation,SPCLOUDK,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:CLOUDKIL,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:CLOUDPC,spread-animation,SPCLOUDK,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:CLOUDPC,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:COMET,explosion-animation,SPCOMEX,VEF;VVC;BAM,VEF,yes,data/Patch2.bif
projectile:COMET,travel-animation,SPCOMTRV,BAM,BAM,yes,data/25SpelAn.bif
projectile:DAGGER,travel-animation,DAGGER,BAM,BAM,yes,data/OBJAnim.bif
projectile:DAGGEREX,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:DAGGEREX,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:DAGGEREX,travel-animation,DAGGER,BAM,BAM,yes,data/OBJAnim.bif
projectile:DART,travel-animation,DART,BAM,BAM,yes,data/OBJAnim.bif
projectile:DARTEX,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:DARTEX,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:DARTEX,travel-animation,DART,BAM,BAM,yes,data/OBJAnim.bif
projectile:DBFIREBL,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:DBFIREBL,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:DBFIREBL,travel-animation,FIREBAT,BAM,BAM,yes,data/PATCH26.BIF
projectile:DDBREAT,ring-animation,HDFBRER,VEF;VVC;BAM,BAM,yes,data/Patch25.bif
projectile:DFIREBL,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:DFIREBL,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:DFIREBL,travel-animation,FIREBAT,BAM,BAM,yes,data/PATCH26.BIF
projectile:DRAGBLCK,travel-animation,SPSDRABU,BAM,BAM,yes,data/PATCH26.BIF
projectile:DRAGGREE,palette,SPGDRABU,BMP,BMP,yes,data/25Deflt.bif
projectile:DRAGGREE,travel-animation,SPRDRABU,BAM,BAM,yes,data/SPELAnim.bif
projectile:DRAGRED,travel-animation,SPRDRABU,BAM,BAM,yes,data/SPELAnim.bif
projectile:DRAGSILV,travel-animation,SPSDBUR,BAM,BAM,yes,data/SPELAnim.bif
projectile:ENTANG2,travel-animation,WEBENTT,BAM,BAM,yes,data/SPELAnim.bif
projectile:FBFLAMES,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:FBFLAMES,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:FBFLAMGR,explosion-animation,FIREBGRX,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:FBFLAMGR,ring-animation,FIREBGRR,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:FBFLAMIC,explosion-animation,FIREBICX,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:FBFLAMIC,ring-animation,FIREBICR,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:FDAWN,explosion-animation,FDAWNX,VEF;VVC;BAM,VEF,yes,data/PATCH26.BIF
projectile:FDAWN,spread-animation,FDAWNA,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:FIREBALL,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:FIREBALL,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:FIREBALL,travel-animation,SPFIREBL,BAM,BAM,yes,data/SPELAnim.bif
projectile:FIREBLGR,explosion-animation,FIREBGRX,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:FIREBLGR,ring-animation,FIREBGRR,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:FIREBLGR,travel-animation,FIREBGRT,BAM,BAM,yes,data/PATCH26.BIF
projectile:FIREBLIC,explosion-animation,FIREBICX,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:FIREBLIC,ring-animation,FIREBICR,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:FIREBLIC,travel-animation,FIREBICT,BAM,BAM,yes,data/PATCH26.BIF
projectile:FIREBLNS,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:FIREBLNS,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:FIREBLNS,travel-animation,SPFIREBL,BAM,BAM,yes,data/SPELAnim.bif
projectile:FIREBOLT,travel-animation,SPFIREBL,BAM,BAM,yes,data/SPELAnim.bif
projectile:FIREBTBL,travel-animation,SPFIREBL,BAM,BAM,yes,data/SPELAnim.bif
projectile:FIRESTOR,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:FIRESTOR,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:FIRESTOR,travel-animation,SPFIREBL,BAM,BAM,yes,data/SPELAnim.bif
projectile:GOLCLOUD,spread-animation,SPCLOUDK,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:GOLCLOUD,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:GREASE,travel-animation,ACIDBLOB,BAM,BAM,yes,data/SPELAnim.bif
projectile:GREEHIT,explosion-animation,SPBDIMSP,VEF;VVC;BAM,BAM,yes,data/SPELAnim.bif
projectile:GREEHIT,spread-animation,SPBDRAE2,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:HOLD,palette,STTRAVL2,BMP,BMP,yes,data/SPELAnim.bif
projectile:HOLD,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:HOLDNECR,palette,STTRAVL7,BMP,BMP,yes,data/SPELAnim.bif
projectile:HOLDNECR,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:HOLDSUMM,palette,STTRAVL4,BMP,BMP,yes,data/SPELAnim.bif
projectile:HOLDSUMM,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:HOLYAREA,explosion-animation,SPHOLY,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:ICEGLYP,explosion-animation,ICSPAIN,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:ICEGLYP,travel-animation,SPGLYPTI,BAM,BAM,yes,data/SPELAnim.bif
projectile:ICESTORM,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:ICGHIT,travel-animation,SPSPAINI,BAM,BAM,yes,data/SPELAnim.bif
projectile:INMED,palette,STTRAVL8,BMP,BMP,yes,data/SPELAnim.bif
projectile:INSEC1,travel-animation,SPIPLARI,BAM,BAM,yes,data/SPELAnim.bif
projectile:INSEC2,explosion-animation,SPIPLAUI,VEF;VVC;BAM,BAM,yes,data/SPELAnim.bif
projectile:INSEC2,ring-animation,SPIPLARI,VEF;VVC;BAM,BAM,yes,data/SPELAnim.bif
projectile:INSEC2,travel-animation,SPIPLARI,BAM,BAM,yes,data/SPELAnim.bif
projectile:INSEC3,explosion-animation,SPIPLAUI,VEF;VVC;BAM,BAM,yes,data/SPELAnim.bif
projectile:INSEC3,ring-animation,SPIPLARI,VEF;VVC;BAM,BAM,yes,data/SPELAnim.bif
projectile:INSEC3,travel-animation,SPINSECT,BAM,BAM,yes,data/GUIIcon.bif
projectile:INSEC4,travel-animation,SPINSECT,BAM,BAM,yes,data/GUIIcon.bif
projectile:LIGHTB,travel-animation,SPLIGHTB,BAM,BAM,yes,data/SPELAnim.bif
projectile:LIGHTBLT,travel-animation,SPLIGHTB,BAM,BAM,yes,data/SPELAnim.bif
projectile:LIGHTCHA,trailing-animation-1,SPCHLGT1,BAM,BAM,yes,data/SPELAnim.bif
projectile:LIGHTCHA,trailing-animation-2,SPCHLGT2,BAM,BAM,yes,data/SPELAnim.bif
projectile:LIGHTCHA,trailing-animation-3,SPCHLGT3,BAM,BAM,yes,data/SPELAnim.bif
projectile:LIGHTGRN,travel-animation,SPLIGHTB,BAM,BAM,yes,data/SPELAnim.bif
projectile:LIGHTNB,travel-animation,SPLIGHTB,BAM,BAM,yes,data/SPELAnim.bif
projectile:LIGHTSTO,travel-animation,MAGMIS,BAM,,no,
projectile:MAGICMIS,travel-animation,SPMAGMIS,BAM,BAM,yes,data/SPELAnim.bif
projectile:METSWARM,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:NEWBOLT1,trailing-animation-1,SPCHLGT2,BAM,BAM,yes,data/SPELAnim.bif
projectile:OHBICEW,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:OHCL937,palette,STTRAVL2,BMP,BMP,yes,data/SPELAnim.bif
projectile:OHCL937,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:OHDETEVL,travel-animation,SPFIREBL,BAM,BAM,yes,data/SPELAnim.bif
projectile:OHSYMBOL,explosion-animation,ICSPAIN,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:OHSYMBOL,travel-animation,SPGLYPTI,BAM,BAM,yes,data/SPELAnim.bif
projectile:PCOMETT,travel-animation,SPCOMETT,BAM,BAM,yes,data/SPELAnim.bif
projectile:PFIELD,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:PFIRE2,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:PFIRE2,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:PFIRE2,travel-animation,FIREBAT,BAM,BAM,yes,data/PATCH26.BIF
projectile:PFIRE3,travel-animation,SPFIRSED,BAM,BAM,yes,data/SPELAnim.bif
projectile:PSKULLT,travel-animation,SPSKULLT,BAM,BAM,yes,data/SPELAnim.bif
projectile:PSPEART,travel-animation,SPSPEART,BAM,BAM,yes,data/SPELAnim.bif
projectile:PWILT,explosion-animation,SPHORWIL,VEF;VVC;BAM,BAM,yes,data/SPELAnim.bif
projectile:PWILT,spread-animation,SPHORWIA,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
projectile:PWILT,travel-animation,STNKCLDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:REDHIT,explosion-animation,SPRDRAIM,VEF;VVC;BAM,BAM,yes,data/SPELAnim.bif
projectile:REDHIT,spread-animation,SPRDRAE2,VEF;VVC;BAM,BAM,yes,data/SPELAnim.bif
projectile:SAFEFIRE,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:SAFEFIRE,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:SAFEFIRE,travel-animation,FIREBAT,BAM,BAM,yes,data/PATCH26.BIF
projectile:SCORCHER,travel-animation,SPSCORCH,BAM,BAM,yes,data/SPELAnim.bif
projectile:SKYBOLT,travel-animation,SKYBOLT,BAM,BAM,yes,data/SPELAnim.bif
projectile:SLEEP,palette,STTRAVL2,BMP,BMP,yes,data/SPELAnim.bif
projectile:SLEEP,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARBKNP,explosion-animation,SHAREAB,VEF;VVC;BAM,VVC,yes,data/PATCH26.BIF
projectile:SPARBKNP,travel-animation,TRAVELB,BAM,BAM,yes,data/PATCH26.BIF
projectile:SPARBKPA,explosion-animation,SHAREAB,VEF;VVC;BAM,VVC,yes,data/PATCH26.BIF
projectile:SPARBKPA,travel-animation,TRAVELB,BAM,BAM,yes,data/PATCH26.BIF
projectile:SPARBLNP,palette,STTRAVL1,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARBLNP,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARBLPA,palette,STTRAVL1,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARBLPA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARCHNP,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARCHPA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARGONP,palette,STTRAVL2,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARGONP,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARGOPA,palette,STTRAVL2,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARGOPA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARGRNP,palette,STTRAVL3,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARGRNP,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARGRPA,palette,STTRAVL3,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARGRPA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARICNP,explosion-animation,SHAREAW,VEF;VVC;BAM,VVC,yes,data/PATCH26.BIF
projectile:SPARICNP,palette,STTRAVL7,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARICNP,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARICPA,explosion-animation,SHAREAW,VEF;VVC;BAM,VVC,yes,data/PATCH26.BIF
projectile:SPARICPA,palette,STTRAVL7,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARICPA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARKLBK,travel-animation,TRAVELB,BAM,BAM,yes,data/PATCH26.BIF
projectile:SPARKLBL,palette,STTRAVL1,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARKLBL,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARKLCH,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARKLGO,palette,STTRAVL2,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARKLGO,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARKLGR,palette,STTRAVL3,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARKLGR,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARKLIC,palette,STTRAVL7,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARKLIC,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARKLMA,palette,STTRAVL4,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARKLMA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARKLOR,palette,STTRAVL8,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARKLOR,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARKLPU,palette,STTRAVL5,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARKLPU,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARKLRE,palette,STTRAVL6,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARKLRE,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARKLST,palette,STTRAVL9,BMP,BMP,yes,data/PATCH26.BIF
projectile:SPARKLST,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARMANP,palette,STTRAVL4,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARMANP,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARMAPA,palette,STTRAVL4,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARMAPA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARORNP,palette,STTRAVL8,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARORNP,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARORPA,palette,STTRAVL8,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARORPA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARPUNP,palette,STTRAVL5,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARPUNP,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARPUPA,palette,STTRAVL5,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARPUPA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARRENP,palette,STTRAVL6,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARRENP,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARREPA,palette,STTRAVL6,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPARREPA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARSTNP,palette,STTRAVL9,BMP,BMP,yes,data/PATCH26.BIF
projectile:SPARSTNP,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPARSTPA,palette,STTRAVL9,BMP,BMP,yes,data/PATCH26.BIF
projectile:SPARSTPA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPATTCK2,shadow-animation,SPSHADOW,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPATTCK2,travel-animation,SPATTCK2,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPBEHBLA,travel-animation,SPBEHBLA,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPCL236,travel-animation,SPCL236,BAM,BAM,yes,data/GUIIcon.bif
projectile:SPCL239,explosion-animation,SPCL239X,VEF;VVC;BAM,VVC,yes,data/Patch25.bif
projectile:SPCL239,ring-animation,SPCL239R,VEF;VVC;BAM,BAM,yes,data/Patch25.bif
projectile:SPCL239,spread-animation,SPCL239R,VEF;VVC;BAM,BAM,yes,data/Patch25.bif
projectile:SPDRBRTH,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:SPEAR,travel-animation,SPEAR,BAM,BAM,yes,data/OBJAnim.bif
