area_id,campaign,name_fr,name_en,name_source,name_strref,name_confidence,location_group,accessible_from,resolution_x1,resolution_x1_mpx,split_seedvr,map_variants_count,workload_mpx,workload_done_mpx,x1_tuiles_principales,x1_tuiles_secondaires,runs,build,status,has_night_variant,x1_tuiles_principales_nuit,x1_tuiles_secondaires_nuit,runs_nuit,build_nuit,status_nuit,spline_fit_1_0,notes
AR0022,SoA,,Crooked Crane 2nd Floor,BGEE.LUA-cheatAreas,AR0022,confirmed,,AR0021,16x12 tuiles (1024x768px),0.79,1 - direct,1,0.79,0.79,yes,yes,seedvr2-7b-int8-lab-direct-x4,yes,validated-installed,no,,,,,,,"Crooked Crane, 1er etage (quartier Portes de la ville, AR0020) - SeedVR2 7B INT8 x4/LAB direct; pas de secondaire distinct (SECONDARY_TILE_PIPELINE.md, map_variants_count=1); 192 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 4 pages 2048; PSNR 36.18 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19."
AR0041,SoA,,Random Encounter City,BGEE.LUA-cheatAreas,AR0041,,,,20x15 tuiles (1280x960px),1.23,1 - direct,2,2.46,2.46,yes,yes,upscale-01-jour,yes,validated-installed,yes,yes,yes,upscale-01-nuit,yes,validated-installed,,"Random Encounter City - nom non retenu comme fiable (libelle cheatAreas partage avec AR0045). Jour et nuit traites separement (DAY_NIGHT_MAP_PIPELINE.md). Jour : SeedVR2 7B INT8 x4/LAB direct; 300 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 7 pages 2048; PSNR 32.78 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20. Nuit : SeedVR2 7B INT8 x4/LAB direct; 300 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 7 pages 2048 (plafond 100 pour prefixe nuit 'A0041N'); PSNR 37.12 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0042,SoA,,Random Encounter Outdoor,BGEE.LUA-cheatAreas,AR0042,confirmed,,,20x15 tuiles (1280x960px),1.23,1 - direct,1,1.23,1.23,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"Random Encounter Outdoor - SeedVR2 7B INT8 x4/LAB direct; pas de secondaire distinct; 300 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 7 pages 2048; PSNR 34.58 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0043,SoA,,Random Encounter Outdoor (With rocks),BGEE.LUA-cheatAreas,AR0043,confirmed,,,20x15 tuiles (1280x960px),1.23,1 - direct,1,1.23,1.23,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"Random Encounter Outdoor (With rocks) - SeedVR2 7B INT8 x4/LAB direct; pas de secondaire distinct; 300 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 7 pages 2048; PSNR 33.43 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0044,SoA,,Random Encounter Outdoor (sand),BGEE.LUA-cheatAreas,AR0044,confirmed,,,20x15 tuiles (1280x960px),1.23,1 - direct,1,1.23,1.23,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"Random Encounter Outdoor (sand) - SeedVR2 7B INT8 x4/LAB direct; pas de secondaire distinct; 300 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 7 pages 2048; PSNR 34.48 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0045,SoA,,Random Encounter City,BGEE.LUA-cheatAreas,AR0045,,,,20x15 tuiles (1280x960px),1.23,1 - direct,2,2.46,2.46,yes,yes,upscale-01-jour,yes,validated-installed,yes,yes,yes,upscale-01-nuit,yes,validated-installed,,"Random Encounter City - nom non retenu comme fiable (libelle cheatAreas partage avec AR0041). Jour et nuit traites separement (DAY_NIGHT_MAP_PIPELINE.md). Jour : SeedVR2 7B INT8 x4/LAB direct; 300 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 7 pages 2048; PSNR 33.02 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20. Nuit : SeedVR2 7B INT8 x4/LAB direct; 300 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 7 pages 2048 (plafond 100 pour prefixe nuit 'A0045N'); PSNR 36.61 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0046,SoA,,Random Encounter City (bridge),BGEE.LUA-cheatAreas,AR0046,confirmed,,,20x15 tuiles (1280x960px),1.23,1 - direct,4,4.92,4.92,yes,yes,upscale-01-jour,yes,validated-installed,yes,yes,yes,upscale-01-nuit,yes,validated-installed,,"Random Encounter City (bridge) - nom non retenu comme fiable (libelle cheatAreas partage avec AR0041/AR0045). Zone d'eau WTLAKE reutilisee depuis l'override (jamais reconstruite), 18 bases opaques liberees (--transparent-full-water-base --soften-water-contours). Jour et nuit traites separement (DAY_NIGHT_MAP_PIPELINE.md). Preflight initialement bloque : overlay WTLAKE absent d'override apres reinstallation du jeu, restaure depuis l'archive maps/technical-overlays/WTLAKE/ et enregistre comme composant partage du manifeste de release. Jour : SeedVR2 7B INT8 x4/LAB direct; 330 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT5 (alpha eau detectee); 7 pages 2048; PSNR 34.44 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20. Defaut connu, non bloquant : tuiles d'eau visibles en pause (pipeline/PROBLEMES_A_RESOUDRE.md, section dediee avec AR0204/AR0300/AR0900). Nuit : SeedVR2 7B INT8 x4/LAB direct; 330 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT5 (alpha eau detectee); 7 pages 2048 (plafond 100 pour prefixe nuit 'A0046N'); PSNR 37.30 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0069,SoA,,Government Building (Cowled Cutscene -- 'Why is this man not gagged?'),BGEE.LUA-cheatAreas,AR0069,confirmed,,,25x21 tuiles (1600x1344px),2.15,2 - --split-rows,1,2.15,2.15,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"Government Building (Cowled Cutscene) - hauteur 1344px (21 tuiles, nombre impair) incompatible avec --split-rows : contournement --split-grid 1 2 (meme cas qu'AR0305); SeedVR2 7B INT8 x4/LAB; pas de secondaire distinct; 525 tuiles upscalees (269 upscale + 256 sentinelles noires), 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 6 pages 2048; PSNR 38.21 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0070,SoA,,Spellhold (Irenicus Cutscene -- 'I cannot be caged...'),BGEE.LUA-cheatAreas,AR0070,confirmed,,,31x25 tuiles (1984x1600px),3.17,2 - --split-rows,2,6.34,6.34,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"Spellhold (Irenicus Cutscene) - hauteur 1600px (25 tuiles, nombre impair) incompatible avec --split-rows : contournement --split-grid 1 2 (meme cas qu'AR0305); SeedVR2 7B INT8 x4/LAB; primaire et secondaire inferes; 822 tuiles upscalees (478 upscale + 344 sentinelles noires), 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 10 pages 2048; PSNR 39.17 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0071,SoA,,"Spellhold (Imoen Soultheft Cutscene -- 'Silence do, you have no purpose...')",BGEE.LUA-cheatAreas,AR0071,confirmed,,,35x28 tuiles (2240x1792px),4.01,4 - --split-grid 2 2,2,8.02,8.02,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"Spellhold (Imoen Soultheft Cutscene) - SeedVR2 7B INT8 x4/LAB, grille 2x2 (4 morceaux); primaire et secondaire inferes; 1060 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 22 pages 2048; PSNR 37.02 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0072,SoA,,"Ust Natha Temple (Irenicus/Bodhi, Ardula/Phaere Cutscene)",BGEE.LUA-cheatAreas,AR0072,confirmed,,,40x30 tuiles (2560x1920px),4.92,4 - --split-grid 2 2,2,9.84,9.84,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"Ust Natha Temple (Irenicus/Bodhi, Ardula/Phaere Cutscene) - SeedVR2 7B INT8 x4/LAB, grille 2x2 (4 morceaux); primaire et secondaire inferes; 1211 tuiles upscalees (844 upscale + 367 sentinelles noires), 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 18 pages 2048; PSNR 38.35 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0082,SoA,,Lich Grave in Bridge District Inn,BGEE.LUA-cheatAreas,AR0082,confirmed,,AR0021,13x10 tuiles (832x640px),0.53,1 - direct,2,1.06,1.06,yes,yes,seedvr2-7b-int8-lab-direct-x4,yes,validated-installed,no,,,,,,,"Lich Grave (accessible depuis AR0021, Crooked Crane) - nom source ""Lich Grave in Bridge District Inn"" evoquant a tort le quartier du Pont, mais graphe accessible_from ferme sur AR0020/AR0021/AR0022/AR0082 (meme cas de figure qu'AR1008/Twisted Rune) ; traitee avec le lot Portes de la ville a la demande de l'utilisateur. SeedVR2 7B INT8 x4/LAB direct; primaire et secondaire (2 cellules) inferes; 132 tuiles upscalees (42 upscale + 90 sentinelles noires), 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 1 page 2048; PSNR 44.03 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19."
AR0201,SoA,,Leading to ghoul village and beholder lair (Temple District),BGEE.LUA-cheatAreas,AR0201,confirmed,,AR0202;AR0205;AR0206,35x31 tuiles (2240x1984px),4.44,4 - --split-grid 2 2,1,4.44,4.44,yes,yes,seedvr2-7b-int8-lab-split-grid-2x2-x4,yes,validated-installed,no,,,,,,,"Passage goules/beholder (intrigue Unseeing Eye, district du Temple) - SeedVR2 7B INT8 x4/LAB, grille 2x2 (4 morceaux); pas de secondaire distinct; assemblage verifie a 8960x7936 = 2240x1984 x4 exact. 1085 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 23 pages 2048; PSNR 37.98 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19."
AR0202,SoA,,The Unseeing Eye Cult Hideout,BGEE.LUA-cheatAreas,AR0202,confirmed,,AR0204;AR0205;AR0701,61x39 tuiles (3904x2496px),9.74,6 - --split-grid 2 3,2,19.48,19.48,yes,yes,seedvr2-7b-int8-lab-split-grid-2x3-x4,yes,validated-installed,no,,,,,,,"Repaire du culte de l'Oeil Invisible (intrigue Unseeing Eye) - SeedVR2 7B INT8 x4/LAB, grille 2x3 (6 morceaux); primaire et secondaire (18 tuiles) inferes; assemblage verifie a 15616x9984 = 3904x2496 x4 exact. 2397 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 25 pages 2048; PSNR 43.34 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19."
AR0203,SoA,,Temple of the Forgotten God -- Amaunator (Unseeing Eye Plot),BGEE.LUA-cheatAreas,AR0203,confirmed,,AR0204,19x14 tuiles (1216x896px),1.09,1 - direct,1,1.09,1.09,yes,yes,seedvr2-7b-int8-lab-direct-x4,yes,validated-installed,no,,,,,,,"Temple du Dieu Oublie -- Amaunator (intrigue Unseeing Eye) - SeedVR2 7B INT8 x4/LAB direct; pas de secondaire distinct; 266 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 4 pages 2048; PSNR 40.65 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19."
AR0204,SoA,,The Forgotten Believers -- Temple City (Unseeing Eye Plot),BGEE.LUA-cheatAreas,AR0204,confirmed,,AR0202;AR0203,65x55 tuiles (4160x3520px),14.64,10 - --split-grid 2 5,2,29.28,29.28,yes,yes,seedvr2-7b-int8-lab-split-grid-2x5-x4,yes,validated-installed,no,,,,,,,"Cite du Temple -- Croyants Oublies (intrigue Unseeing Eye) - SeedVR2 7B INT8 x4/LAB, grille 2x5 (10 morceaux, la plus grosse zone de ce lot); primaire et secondaire inferes; eau WTLAKE reutilisee depuis l'override, 218 bases opaques liberees (--transparent-full-water-base); assemblage verifie a 16640x14080 = 4160x3520 x4 exact. 4031 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT5 (alpha detecte); 47 pages 2048; PSNR 41.06 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19. Crenelage leger signale en QA, ajoute au suivi de pipeline/PROBLEMES_A_RESOUDRE.md (section AR0604/AR0413). Bug distinct egalement signale : tuiles d'eau visibles en pause (nouvelle section dediee dans PROBLEMES_A_RESOUDRE.md, avec AR0300 et AR0900), sans bloquer la validation."
AR0205,SoA,,The Beholder Hideout (Unseeing Eye Plot),BGEE.LUA-cheatAreas,AR0205,confirmed,,AR0201;AR0202,53x40 tuiles (3392x2560px),8.68,6 - --split-grid 2 3,1,8.68,8.68,yes,yes,seedvr2-7b-int8-lab-split-grid-2x3-x4,yes,validated-installed,no,,,,,,,"Repaire du beholder (intrigue Unseeing Eye) - SeedVR2 7B INT8 x4/LAB, grille 2x3 (6 morceaux); pas de secondaire distinct; assemblage verifie a 13568x10240 = 3392x2560 x4 exact. 2120 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 20 pages 2048; PSNR 38.05 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19. Animation a upscaler signalee en QA (a l'instar d'AR0516/AR0309), sans bloquer la validation."
AR0206,SoA,,Ghoul village (Temple District),BGEE.LUA-cheatAreas,AR0206,confirmed,,AR0201,26x24 tuiles (1664x1536px),2.56,2 - --split-rows,1,2.56,2.56,yes,yes,seedvr2-7b-int8-lab-split-rows-x4,yes,validated-installed,no,,,,,,,"Village de goules (intrigue Unseeing Eye) - SeedVR2 7B INT8 x4/LAB, deux moities horizontales avec recouvrement; pas de secondaire distinct; assemblage verifie a 6656x6144 = 1664x1536 x4 exact. 624 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 11 pages 2048; PSNR 38.77 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19."
AR0300,SoA,Les quais,Docks,WORLDMAP,23726,official,,AR0301;AR0302;AR0303;AR0304;AR0305;AR0306;AR0307;AR0308;AR0309;AR0313;AR0314;AR0315;AR0318;AR0319;AR0325;AR0330;AR0332;AR0334;AR0335;AR0407;AR0415,80x60 tuiles (5120x3840px),19.66,10 - --split-grid 2 5,4,78.64,78.64,yes,yes,seedvr2-7b-int8-lab-grid-2x5-x4-jour,yes,validated-installed,yes,yes,yes,seedvr2-7b-int8-lab-grid-2x5-x4-nuit,yes,validated-installed,,"Grande zone d'eau exterieure (Les Docks), WED jour/nuit ; SeedVR2 7B INT8 LAB x4 grille 2x5 (dix morceaux). Jour et nuit upscales en entier (principale+secondaire, 0 resample, 0 OOB), --transparent-full-water-base --soften-water-contours, DXT5, overlay WTLAKE/WLAKE00 reutilise (non touche). Jour PSNR 36.57 dB, nuit PSNR 37.86 dB (coherent avec la reference historique AR0300 36.85 dB). Ancien build x2 remplace ; AR0300N jamais installe avant. Injecte le 2026-08-17, backups horodates dans backups/maps/AR0300-*/ et AR0300N-*/. QA en jeu validee jour et nuit par l'utilisateur le 2026-08-17. Variante nuit rebuildee le 2026-08-18 avec le correctif de pagination PVRZ : l'ancien build 109 pages produisait des resrefs a 9 caracteres (A0300N100..108), au-dessus de la limite de 8 octets de CResRef — meme defaut que le crash confirme sur AR0900N, jamais declenche ici seulement parce que la QA n'avait pas croise ces tuiles. Nouveau build actif : 05_build/x4-page4096/ (24 pages de 4096, resref le plus long A0300N23, 8 car.). Contenu pixel inchange (PSNR 37.86 dB), 0 tuile hors limites, 0 resampled, DXT5. Anciens fichiers conserves dans backups/maps/AR0300N-page-overflow-revert-20260818-205035/. Injection SHA validee (0 divergence). QA en jeu de la variante nuit validee par l'utilisateur le 2026-08-18 : plus aucun crash, aucun defaut visuel. Bug tuiles d'eau visibles en pause signale en QA le 2026-08-19, ajoute au suivi de pipeline/PROBLEMES_A_RESOUDRE.md (section dediee, avec AR0204) sans bloquer la validation."
AR0301,SoA,,Mae'Var's Hide Out,BGEE.LUA-cheatAreas,AR0301,confirmed,,AR0300;AR0302,23x16 tuiles (1472x1024px),1.51,1 - direct,2,3.02,3.02,yes,yes,seedvr2-7b-int8-lab-direct-x4,yes,validated-installed,no,,,,,,,Repaire/Auberge de Mae'Var - Hide Out; SeedVR2 7B INT8 x4/LAB (seedvr2-7b-int8-lab-direct-x4); 0 tuile hors limites; DXT1 automatique (zone opaque) (5 pages 2048); PSNR 40.79 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19.
AR0302,SoA,,Mae'Var's Inn 1st Floor -- Entrance,BGEE.LUA-cheatAreas,AR0302,confirmed,,AR0300;AR0301;AR0303,20x16 tuiles (1280x1024px),1.31,1 - direct,2,2.62,2.62,yes,yes,seedvr2-7b-int8-lab-direct-x4,yes,validated-installed,no,,,,,,,Repaire/Auberge de Mae'Var - Inn 1st Floor - Entrance; SeedVR2 7B INT8 x4/LAB (seedvr2-7b-int8-lab-direct-x4); 0 tuile hors limites; DXT1 automatique (zone opaque) (4 pages 2048); PSNR 40.42 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19.
AR0303,SoA,,Mae'Var's Inn 2nd Floor -- Training Area,BGEE.LUA-cheatAreas,AR0303,confirmed,,AR0300;AR0302;AR0304,20x16 tuiles (1280x1024px),1.31,1 - direct,2,2.62,2.62,yes,yes,seedvr2-7b-int8-lab-direct-x4,yes,validated-installed,no,,,,,,,Repaire/Auberge de Mae'Var - Inn 2nd Floor - Training Area; SeedVR2 7B INT8 x4/LAB (seedvr2-7b-int8-lab-direct-x4); 0 tuile hors limites; DXT1 automatique (zone opaque) (4 pages 2048); PSNR 39.09 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19.
AR0304,SoA,,Mae'Var's Inn 3rd Floor -- Edwin,BGEE.LUA-cheatAreas,AR0304,confirmed,,AR0300;AR0303,20x16 tuiles (1280x1024px),1.31,1 - direct,2,2.62,2.62,yes,yes,seedvr2-7b-int8-lab-direct-x4,yes,validated-installed,no,,,,,,,"Repaire/Auberge de Mae'Var - Inn 3rd Floor - Edwin; SeedVR2 7B INT8 x4/LAB (seedvr2-7b-int8-lab-direct-x4); 0 tuile hors limites; DXT1 automatique (zone opaque) (4 pages 2048); PSNR 39.31 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19. Zone noire signalee en premiere QA : comparee cote a cote avec le rendu vanille en jeu (fichiers temporairement retires d'override puis restaures, SHA re-verifie) ; confirmee conforme, validee par l'utilisateur le 2026-08-19."
AR0305,SoA,,Shadow Thieves Guild Entrance,BGEE.LUA-cheatAreas,AR0305,confirmed,,AR0300;AR0306;AR0307,26x17 tuiles (1664x1088px),1.81,2 - --split-rows,2,3.62,3.62,yes,yes,seedvr2-7b-int8-lab-split-rows-x4,yes,validated-installed,no,,,,,,,"Voleurs de l'Ombre - Guild Entrance, hauteur 1088px (17 tuiles, nombre impair) incompatible avec --split-rows : contournement --split-grid 1 2; SeedVR2 7B INT8 x4/LAB (seedvr2-7b-int8-lab-split-rows-x4); 0 tuile hors limites; DXT1 automatique (zone opaque) (5 pages 2048); PSNR 39.74 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19."
