area_id,occurrence_index,instance_name,resource_resref,resource_kind,x,y,cell_x,cell_y,sequence,initial_frame,flags_hex,palette_mode,palette_resref
AR0526,2,AM0202FL,AM0202FL,BAM,614,395,9,6,0,0,0x00001043,embedded,
AR0526,3,AM0202FL,AM0202FL,BAM,829,414,12,6,0,0,0x00001043,embedded,
AR0526,4,AM0202FL,AM0202FL,BAM,881,451,13,7,0,0,0x00001043,embedded,
AR0526,5,AM0202FL,AM0202FL,BAM,402,790,6,12,0,0,0x00001003,embedded,
AR0526,6,AM0202FL,AM0202FL,BAM,350,752,5,11,0,0,0x00001003,embedded,
AR0205,0,AM0205A,AM0205A,BAM,307,1147,4,17,0,0,0x00001101,embedded,
AR0205,1,AM0205B,AM0205B,BAM,2027,401,31,6,0,0,0x00001101,embedded,
AR0205,2,AM0205C,AM0205C,BAM,3076,1586,48,24,0,0,0x00001101,embedded,
AR0205,3,AM0205D,AM0205D,BAM,1295,2360,20,36,0,0,0x00001101,embedded,
AR0205,4,AM0205E,AM0205E,BAM,1661,1387,25,21,0,0,0x00001101,embedded,
AR0300,7,AM0300A,AM0300A,BAM,3826,2647,59,41,0,0,0x000010C1,embedded,
AR0307,36,AM0307BH,AM0307BH,BAM,4624,1904,72,29,0,0,0x00001101,embedded,
AR0329,5,AM0307BH,AM0307BH,BAM,4624,1904,72,29,0,0,0x00001101,embedded,
AR0308,0,AM0308A,AM0308A,BAM,842,428,13,6,0,0,0x00001043,embedded,
AR0308,1,AM0308A,AM0308A,BAM,976,524,15,8,0,0,0x00001043,embedded,
AR0308,2,AM0308A,AM0308A,BAM,1109,617,17,9,0,0,0x00001043,embedded,
AR0308,3,AM0308A,AM0308A,BAM,502,1047,7,16,0,0,0x00001043,embedded,
AR0308,4,AM0308A,AM0308A,BAM,369,952,5,14,0,0,0x00001043,embedded,
AR0308,5,AM0308A,AM0308A,BAM,239,861,3,13,0,0,0x00001043,embedded,
AR0308,6,AM0308A,AM0308A,BAM,636,1140,9,17,0,0,0x00001043,embedded,
AR0308,7,AM0308A,AM0308A,BAM,1244,713,19,11,0,0,0x00001043,embedded,
AR0309,11,AM0309A,AM0309A,BAM,945,763,14,11,0,0,0x00001101,embedded,
AR0302,0,AM0322A,AM0322A,BAM,800,257,12,4,0,0,0x00001101,embedded,
AR0322,0,AM0322A,AM0322A,BAM,800,259,12,4,0,0,0x00001101,embedded,
AR0302,1,AM0322B,AM0322B,BAM,1017,408,15,6,0,0,0x00001101,embedded,
AR0322,1,AM0322B,AM0322B,BAM,1017,408,15,6,0,0,0x00001101,embedded,
AR0303,8,AM0323A,AM0323A,BAM,795,251,12,3,0,0,0x00001101,embedded,
AR0323,0,AM0323A,AM0323A,BAM,795,251,12,3,0,0,0x00001101,embedded,
AR0406,50,AM0406A,AM0406A,BAM,1019,1764,15,27,0,0,0x00001011,embedded,
AR0406,51,AM0406B,AM0406B,BAM,1090,1651,17,25,0,0,0x00001000,embedded,
AR0406,52,AM0406B,AM0406B,BAM,1090,1651,17,25,0,0,0x00001011,embedded,
AR0411,16,AM0411RN,AM0411RN,BAM,1407,1316,21,20,0,0,0x00001043,embedded,
OH5400,0,Portal,AM0411RN,BAM,924,350,14,5,0,0,0x00000003,embedded,
OH5500,0,Portal1A,AM0411RN,BAM,524,3139,8,49,0,0,0x00001003,embedded,
OH5500,2,Portal2A,AM0411RN,BAM,1101,3367,17,52,0,0,0x00001003,embedded,
OH5500,4,Portal3A,AM0411RN,BAM,229,3088,3,48,0,0,0x00001003,embedded,
OH5500,6,Portal4A,AM0411RN,BAM,822,3238,12,50,0,0,0x00001003,embedded,
OH5500,8,Portal5A,AM0411RN,BAM,1534,3697,23,57,0,0,0x00001003,embedded,
OH5500,10,Portal6A,AM0411RN,BAM,1324,3507,20,54,0,0,0x00001003,embedded,
AR0504,74,AM0504SB,AM0504SB,BAM,1084,1518,16,23,0,0,0x00001003,embedded,
AR0504,75,AM0504SB,AM0504SB,BAM,1029,1481,16,23,0,0,0x00001003,embedded,
AR0504,76,AM0504SB,AM0504SB,BAM,919,1637,14,25,0,0,0x00001003,embedded,
AR0504,77,AM0504SB,AM0504SB,BAM,864,1595,13,24,0,0,0x00001003,embedded,
AR0504,78,AM0504SB,AM0504SB,BAM,903,1541,14,24,0,0,0x00001003,embedded,
AR0504,79,AM0504SB,AM0504SB,BAM,959,1499,14,23,0,0,0x00001003,embedded,
AR0510,33,AM0510A,AM0510A,BAM,839,397,13,6,0,0,0x00001141,embedded,
AR0516,6,AM0516LA,AM0516LA,BAM,1233,1095,19,17,0,0,0x00001141,embedded,
AR0516,7,AM0516LB,AM0516LB,BAM,1515,1072,23,16,0,0,0x00001141,embedded,
AR0516,5,AM0516LC,AM0516LC,BAM,3395,1390,53,21,0,0,0x00001141,embedded,
AR0516,8,AM0516LD,AM0516LD,BAM,2489,2047,38,31,0,0,0x00001141,embedded,
AR0602,26,AM0602AA,AM0602AA,BAM,2376,914,37,14,0,0,0x00001041,embedded,
AR0602,19,AM0602AB,AM0602AB,BAM,2269,1011,35,15,0,0,0x00001041,embedded,
AR0602,25,AM0602AC,AM0602AC,BAM,2401,929,37,14,0,0,0x00001041,embedded,
AR0602,14,AM0602B,AM0602B,BAM,3865,1003,60,15,0,0,0x000011C1,embedded,
AR0602,27,AM0602C,AM0602C,BAM,1866,2440,29,38,0,0,0x000011D1,embedded,
AR0602,28,AM0602D,AM0602D,BAM,2061,2440,32,38,0,0,0x000011D1,embedded,
AR0602,17,AM0602E,AM0602E,BAM,1584,2597,24,40,0,0,0x000011C1,embedded,
AR0602,20,AM0602F,AM0602F,BAM,2645,3262,41,50,0,0,0x000011C1,embedded,
AR0602,18,AM0602G,AM0602G,BAM,2413,2801,37,43,0,0,0x000011C1,embedded,
AR0601,1,AM0602J,AM0602J,BAM,1273,1111,19,17,0,0,0x000011C1,embedded,
AR0601,2,AM0602K1,AM0602K1,BAM,111,1164,1,18,0,0,0x000011D1,embedded,
AR0601,6,AM0602K2,AM0602K2,BAM,249,1163,3,18,0,0,0x000011D1,embedded,
AR0601,4,AM0602L1,AM0602L1,BAM,1965,1139,30,17,0,0,0x000011D1,embedded,
AR0601,5,AM0602L2,AM0602L2,BAM,1965,1139,30,17,0,0,0x000011D1,embedded,
AR0601,3,AM0602M,AM0602M,BAM,2425,1294,37,20,0,0,0x000011C1,embedded,
AR0603,11,AM0603A,AM0603A,BAM,2866,786,44,12,0,0,0x000011C1,embedded,
AR0603,12,AM0603B,AM0603B,BAM,2865,942,44,14,0,0,0x000011C1,embedded,
AR0603,14,AM0603C1,AM0603C1,BAM,2945,1306,46,20,0,0,0x00001181,embedded,
AR0603,15,AM0603C2,AM0603C2,BAM,2793,1192,43,18,0,0,0x00001181,embedded,
AR0603,16,AM0603D1,AM0603D1,BAM,1132,2904,17,45,0,0,0x000011C1,embedded,
AR0603,17,AM0603D2,AM0603D2,BAM,1271,2812,19,43,0,0,0x000011C1,embedded,
AR0603,18,AM0603D3,AM0603D3,BAM,1436,2695,22,42,0,0,0x000011C1,embedded,
AR0603,13,AM0603H,AM0603H,BAM,3211,1004,50,15,0,0,0x000011C1,embedded,
AR0603,19,AM0603I,AM0603I,BAM,3114,1105,48,17,0,0,0x000011C1,embedded,
AR0604,0,AM0604A,AM0604A,BAM,734,806,11,12,0,0,0x00001141,embedded,
AR0700,0,AM0700A,AM0700A,BAM,981,1026,15,16,0,0,0x00001145,embedded,
AR0700,2,AM0700B,AM0700B,BAM,981,1026,15,16,0,0,0x00001145,embedded,
AR0700,1,AM0700C,AM0700C,BAM,313,3766,4,58,0,0,0x00001145,embedded,
AR0700,3,AM0700D,AM0700D,BAM,313,3766,4,58,0,0,0x00001145,embedded,
AR0801,3,AM0801A,AM0801A,BAM,390,815,6,12,0,0,0x00001101,embedded,
AR0808,3,AM0801A,AM0801A,BAM,390,815,6,12,0,0,0x00001101,embedded,
AR0801,4,AM0801B1,AM0801B1,BAM,2848,663,44,10,0,0,0x00001101,embedded,
AR0808,4,AM0801B1,AM0801B1,BAM,2848,663,44,10,0,0,0x00001101,embedded,
AR0801,5,AM0801B2,AM0801B2,BAM,2848,663,44,10,0,0,0x00001101,embedded,
AR0808,5,AM0801B2,AM0801B2,BAM,2848,663,44,10,0,0,0x00001101,embedded,
AR0803,0,AM0803A,AM0803A,BAM,1355,508,21,7,0,0,0x00001101,embedded,
AR0809,0,AM0803A,AM0803A,BAM,1355,508,21,7,0,0,0x00001141,embedded,
AR0803,1,AM0803B,AM0803B,BAM,1355,322,21,5,0,0,0x00001101,embedded,
AR0809,1,AM0803B,AM0803B,BAM,1355,322,21,5,0,0,0x00001141,embedded,
AR0803,2,AM0803C,AM0803C,BAM,1598,492,24,7,0,0,0x00001101,embedded,
AR0809,2,AM0803C,AM0803C,BAM,1598,492,24,7,0,0,0x00001101,embedded,
AR0803,3,AM0803D,AM0803D,BAM,1362,626,21,9,0,0,0x00001101,embedded,
AR0809,3,AM0803D,AM0803D,BAM,1362,626,21,9,0,0,0x00001101,embedded,
AR0803,4,AM0803E,AM0803E,BAM,1109,504,17,7,0,0,0x00001101,embedded,
AR0809,4,AM0803E,AM0803E,BAM,1109,504,17,7,0,0,0x00001101,embedded,
AR0900,0,AM0900DM,AM0900DM,BAM,1689,2662,26,41,0,0,0x00001003,embedded,
AR0900,1,AM0900DM,AM0900DM,BAM,2246,2187,35,34,0,0,0x00001003,embedded,
AR0902,0,AM0902L,AM0902L,BAM,1171,811,18,12,0,0,0x00001351,embedded,
AR0905,0,AM1001A,AM1001A,BAM,915,533,14,8,0,0,0x00001141,embedded,
AR1001,0,AM1001A,AM1001A,BAM,915,533,14,8,0,0,0x00001141,embedded,
AR1006,0,AM1001A,AM1001A,BAM,915,533,14,8,0,0,0x00001141,embedded,
AR1007,0,AM1001A,AM1001A,BAM,915,533,14,8,0,0,0x00001141,embedded,
AR1009,0,AM1001A,AM1001A,BAM,915,533,14,8,0,0,0x00001141,embedded,
AR0506,0,AM1003A,AM1003A,BAM,567,333,8,5,0,0,0x00001041,embedded,
AR1003,0,AM1003A,AM1003A,BAM,567,333,8,5,0,0,0x00001141,embedded,
AR2011,0,AM1003A,AM1003A,BAM,567,333,8,5,0,0,0x00001141,embedded,
AR5010,7,AM1003A,AM1003A,BAM,567,332,8,5,0,0,0x00001101,embedded,
AR1004,9,AM1004A,AM1004A,BAM,526,730,8,11,0,0,0x00001141,embedded,
AR1601,0,AM1004A,AM1004A,BAM,526,730,8,11,0,0,0x00001141,embedded,
AR2012,0,AM1004A,AM1004A,BAM,526,730,8,11,0,0,0x00001141,embedded,
AR1008,1,AM1008B,AM1008B,BAM,1330,423,20,6,0,0,0x00001001,embedded,
AR1008,0,AM1008BL,AM1008BL,BAM,758,185,11,2,0,0,0x00001001,embedded,
AR1101,0,AM1101A,AM1101A,BAM,571,379,8,5,0,0,0x00001101,embedded,
AR1103,0,AM1104A,AM1104A,BAM,281,229,4,3,0,0,0x00001001,embedded,
AR1104,0,AM1104B,AM1104B,BAM,372,246,5,3,0,0,0x00001001,embedded,
AR1400,5,AM1400A,AM1400A,BAM,4001,644,62,10,0,0,0x00001145,embedded,
AR1400,6,AM1400N,AM1400N,BAM,3997,644,62,10,0,0,0x00001145,embedded,
AR1512,14,AM1512PA,AM1512PA,BAM,208,487,3,7,0,0,0x00001101,embedded,
AR1516,12,AM1516PT,AM1516PT,BAM,2026,1411,31,22,0,0,0x00001101,embedded,
AR2000,33,AM2000A,AM2000A,BAM,1769,1223,27,19,0,0,0x00001355,embedded,
AR2000,34,AM2000B,AM2000B,BAM,1769,1223,27,19,0,0,0x00001355,embedded,
AR1010,0,AM2008A,AM2008A,BAM,593,503,9,7,0,0,0x00001043,embedded,
AR2008,0,AM2008A,AM2008A,BAM,593,503,9,7,0,0,0x00001043,embedded,
OH5120,0,Fiery_Boil,AM2008A,BAM,780,480,12,7,0,0,0x00001212,embedded,
AR2100,0,AM2100PA,AM2100PA,BAM,877,2822,13,44,0,0,0x00001101,embedded,
AR2100,1,AM2100PB,AM2100PB,BAM,2772,2946,43,46,0,0,0x00001101,embedded,
AR2100,2,AM2100PC,AM2100PC,BAM,2442,3221,38,50,0,0,0x00001101,embedded,
AR2201,0,AM2201A,AM2201A,BAM,933,457,14,7,0,0,0x00001143,embedded,
AR2201,1,AM2201B,AM2201B,BAM,1251,705,19,11,0,0,0x00001001,embedded,
AR2201,2,AM2201B,AM2201B,BAM,966,782,15,12,0,0,0x00001101,embedded,
AR2201,3,AM2201B,AM2201B,BAM,1394,1294,21,20,0,0,0x00001141,embedded,
AR2201,4,AM2201B,AM2201B,BAM,1678,956,26,14,0,0,0x00001141,embedded,
AR2201,5,AM2201B,AM2201B,BAM,872,1172,13,18,0,0,0x00001141,embedded,
AR2300,0,AM2300A,AM2300A,BAM,3590,2171,56,33,0,0,0x00001101,embedded,
AR2300,1,AM2300A,AM2300A,BAM,3939,1819,61,28,0,0,0x00001101,embedded,
AR2300,2,AM2300A,AM2300A,BAM,4116,1641,64,25,0,0,0x00001101,embedded,
AR2801,0,AM2801A,AM2801A,BAM,547,516,8,8,0,0,0x00001101,embedded,
AR2808,0,AM2801A,AM2801A,BAM,547,516,8,8,0,0,0x00001101,embedded,
AR2809,0,AM2801A,AM2801A,BAM,547,516,8,8,0,0,0x00001101,embedded,
AR2802,0,AM2802A,AM2802A,BAM,260,469,4,7,0,0,0x00001101,embedded,
AR2810,0,AM2802A,AM2802A,BAM,260,469,4,7,0,0,0x00001101,embedded,
AR2811,0,AM2802A,AM2802A,BAM,260,469,4,7,0,0,0x00001101,embedded,
AR2804,0,AM2805A,AM2805A,BAM,240,614,3,9,0,0,0x00001141,embedded,
AR2805,0,AM2805A,AM2805A,BAM,240,614,3,9,0,0,0x00001141,embedded,
AR2804,1,AM2805B,AM2805B,BAM,483,368,7,5,0,0,0x00001151,embedded,
AR2804,2,AM2805B,AM2805B,BAM,483,368,7,5,0,0,0x00001000,embedded,
AR2804,3,AM2805C,AM2805C,BAM,483,553,7,8,0,0,0x00001151,embedded,
AR3000,0,AM3000A,AM3000A,BAM,945,590,14,9,0,0,0x00001044,embedded,
AR3000,1,DoorMist03,AM3000E,BAM,396,1169,6,18,1,0,0x00001403,external,PLT_MAGE
AR3000,2,DoorMist04,AM3000E,BAM,640,1521,10,23,1,0,0x00001403,external,PLT_MAGE
AR3000,3,DoorMist05,AM3000E,BAM,899,1853,14,28,1,0,0x00001403,external,PLT_MAGE
AR3000,4,DoorMist02,AM3000E,BAM,447,2006,6,31,1,0,0x00001403,external,PLT_MAGE
AR3000,5,DoorMist01,AM3000E,BAM,194,1670,3,26,1,0,0x00001403,external,PLT_MAGE
AR3000,15,AMB_Helm2,AM3000H,BAM,1672,1923,26,30,0,0,0x00001045,embedded,
AR3001,2,AM3001D,AM3001D,BAM,271,1092,4,17,0,0,0x00001100,embedded,
AR3001,3,AM3001F,AM3001F,BAM,2090,847,32,13,0,0,0x000010C3,embedded,
AR3001,4,AM3001F,AM3001F,BAM,2335,1041,36,16,0,0,0x000010C3,embedded,
AR3001,5,AM3001F,AM3001F,BAM,1253,839,19,13,0,0,0x000010C3,embedded,
AR3001,6,AM3001F,AM3001F,BAM,1528,1034,23,16,0,0,0x000010C3,embedded,
AR3001,7,AM3001F,AM3001F,BAM,1830,1247,28,19,0,0,0x000010C3,embedded,
AR3001,8,AMB_Portal,AM3001G,BAM,1457,1160,22,18,0,0,0x00001001,embedded,
AR3011,2,AM3011A,AM3011A,BAM,796,362,12,5,0,0,0x00001101,embedded,
AR3011,3,AM3011B,AM3011B,BAM,798,364,12,5,0,0,0x00001003,embedded,
AR3016,2,AMB_Lightning1,AM3016A,BAM,1748,365,27,5,1,0,0x00001082,embedded,
AR3016,3,AMB_Lightning2,AM3016A,BAM,2356,368,36,5,2,0,0x00001082,embedded,
AR3016,4,AMB_Lightning3,AM3016B,BAM,2048,630,32,9,2,0,0x000010C2,embedded,
AR3016,5,AM3016D,AM3016D,BAM,425,1717,6,26,0,0,0x000010C3,embedded,
AR3016,6,AM3016D,AM3016D,BAM,182,1501,2,23,1,0,0x000010C3,embedded,
AR3016,7,AM3016D,AM3016D,BAM,473,1342,7,20,2,0,0x000010C3,embedded,
AR3016,8,AM3016E,AM3016E,BAM,449,1638,7,25,0,0,0x00001181,embedded,
AR3016,9,AM3016G,AM3016G,BAM,3640,1635,56,25,0,0,0x00001181,embedded,
AR3016,10,AM3016I,AM3016I,BAM,3651,1390,57,21,0,0,0x00001001,embedded,
AR3016,11,AM3016J,AM3016J,BAM,3363,1561,52,24,0,0,0x00001001,embedded,
AR3016,12,AM3016K,AM3016K,BAM,3915,1575,61,24,0,0,0x00001041,embedded,
AR3016,13,AM3016L,AM3016L,BAM,3633,1773,56,27,0,0,0x00001001,embedded,
AR3016,17,AM3016N,AM3016N,BAM,2094,2485,32,38,0,0,0x00001003,embedded,
AR3016,18,AM3016N,AM3016N,BAM,2298,2759,35,43,0,0,0x00001003,embedded,
AR3016,19,AM3016N,AM3016N,BAM,1818,2745,28,42,0,0,0x00001803,embedded,
AR3016,14,AM3016P,AM3016P,BAM,2082,2575,32,40,0,0,0x00001101,embedded,
AR3016,15,AM3016Q,AM3016Q,BAM,2280,2844,35,44,0,0,0x00001101,embedded,
AR3016,16,AM3016R,AM3016R,BAM,1829,2828,28,44,0,0,0x00001101,embedded,
AR3016,20,AM3016T,AM3016T,BAM,2053,241,32,3,0,0,0x00001100,embedded,
AR3017,6,AMB_Arm1,AM3017A,BAM,3068,1878,47,29,0,0,0x00001141,embedded,
AR3017,7,AMB_Arm2,AM3017B,BAM,3300,1886,51,29,0,0,0x00001141,embedded,
AR3017,8,AMB_Arm3,AM3017C,BAM,3068,2053,47,32,0,0,0x00001141,embedded,
AR3017,9,AMB_Arm4,AM3017D,BAM,3180,2058,49,32,0,0,0x00001141,embedded,
AR3017,26,AM3017E,AM3017E,BAM,2429,1940,37,30,0,0,0x00001101,embedded,
AR3017,27,AM3017F,AM3017F,BAM,3008,1528,47,23,0,0,0x00001101,embedded,
AR3017,28,AM3017G,AM3017G,BAM,3183,2597,49,40,0,0,0x00001101,embedded,
AR3017,29,AM3017H,AM3017H,BAM,3597,2501,56,39,0,0,0x00001101,embedded,
AR3017,30,AM3017Z,AM3017Z,BAM,4468,1082,69,16,0,0,0x00001101,embedded,
AR3019,2,AMB_FinalSeal,AM3019A,BAM,2277,1802,35,28,0,0,0x00001012,embedded,
AR3020,2,AM3020D,AM3020D,BAM,604,771,9,12,0,0,0x00001101,embedded,
AR3021,0,AM3021D,AM3021D,BAM,487,995,7,15,0,0,0x00001141,embedded,
AR3021,1,AM3021E,AM3021E,BAM,650,1165,10,18,0,0,0x00001141,embedded,
AR3021,2,AM3021F,AM3021F,BAM,353,1186,5,18,0,0,0x00001141,embedded,
AR3022,0,AM3022D,AM3022D,BAM,1550,1690,24,26,0,0,0x00001101,embedded,
AR0307,31,AM307RED,AM307RED,BAM,3553,299,55,4,0,0,0x00001001,embedded,
AR0329,0,AM307RED,AM307RED,BAM,3553,299,55,4,0,0,0x00001001,embedded,
AR0307,35,AM307TT1,AM307TT1,BAM,2083,2673,32,41,0,0,0x00001141,embedded,
AR0329,4,AM307TT1,AM307TT1,BAM,2083,2673,32,41,0,0,0x00001141,embedded,
AR0307,32,AM307UR1,AM307UR1,BAM,3015,726,47,11,0,0,0x00001101,embedded,
AR0329,1,AM307UR1,AM307UR1,BAM,3015,726,47,11,0,0,0x00001101,embedded,
AR0307,33,AM307UR2,AM307UR2,BAM,3174,677,49,10,0,0,0x00001101,embedded,
AR0329,2,AM307UR2,AM307UR2,BAM,3174,679,49,10,0,0,0x00001101,embedded,
AR0307,34,AM307UR3,AM307UR3,BAM,3440,503,53,7,0,0,0x00001101,embedded,
AR0329,3,AM307UR3,AM307UR3,BAM,3440,503,53,7,0,0,0x00001101,embedded,
AR4000,0,AMB_HEAD1L,AM4000Z,BAM,1560,190,24,2,0,0,0x00001053,embedded,
AR4000,1,AMB_HEAD1R,AM4000Z,BAM,1620,198,25,3,0,0,0x00001053,embedded,
AR4000,2,AMB_HEAD2L,AM4000Z,BAM,2110,1222,32,19,0,0,0x00001053,embedded,
AR4000,3,AMB_HEAD2R,AM4000Z,BAM,2135,1254,33,19,0,0,0x00001053,embedded,
AR4000,4,AMB_HEAD3L,AM4000Z,BAM,410,1393,6,21,0,0,0x00001053,embedded,
AR4000,5,AMB_HEAD3R,AM4000Z,BAM,469,1377,7,21,0,0,0x00001053,embedded,
AR4000,6,AMB_HEAD4L,AM4000Z,BAM,2042,248,31,3,0,0,0x00001053,embedded,
AR4000,7,AMB_HEAD4R,AM4000Z,BAM,2091,232,32,3,0,0,0x00001053,embedded,
AR4000,8,AMB_HEAD5L,AM4000Z,BAM,1038,1182,16,18,0,0,0x00001053,embedded,
AR4000,9,AMB_HEAD5R,AM4000Z,BAM,1106,1200,17,18,0,0,0x00001053,embedded,
AR0411,15,AM411MAC,AM411MAC,BAM,1727,549,26,8,0,0,0x00001141,embedded,
AR0414,26,AM414E11,AM414E11,BAM,2547,2895,39,45,0,0,0x00001001,embedded,
AR0414,29,AM414E11,AM414E11,BAM,2547,2895,39,45,0,0,0x00001001,embedded,
AR0414,30,AM414E11,AM414E11,BAM,2547,2895,39,45,0,0,0x00001000,embedded,
AR0414,27,AM414E12,AM414E12,BAM,2702,2895,42,45,0,0,0x00001001,embedded,
AR0414,31,AM414E12,AM414E12,BAM,2702,2895,42,45,0,0,0x00001001,embedded,
AR0414,32,AM414E12,AM414E12,BAM,2702,2895,42,45,0,0,0x00001000,embedded,
AR0414,28,AM414EY2,AM414EY2,BAM,2964,2794,46,43,0,0,0x00001001,embedded,
AR0414,33,AM414EY2,AM414EY2,BAM,2964,2794,46,43,0,0,0x00001001,embedded,
AR0414,34,AM414EY2,AM414EY2,BAM,2964,2794,46,43,0,0,0x00001000,embedded,
AR4500,0,AMB_Door01,AM4500A,BAM,1473,1204,23,18,0,0,0x00001003,embedded,
AR4500,1,AMB_Door02,AM4500B,BAM,2562,1226,40,19,0,0,0x00001103,embedded,
AR4500,2,AMB_Door05,AM4500C,BAM,1334,1697,20,26,0,0,0x00001003,embedded,
AR4500,3,AMB_Door04,AM4500D,BAM,1687,2009,26,31,0,0,0x00001003,embedded,
AR4500,4,AMB_Door03,AM4500E,BAM,2655,1684,41,26,0,0,0x00001003,embedded,
AR5000,17,AM5000A,AM5000A,BAM,1861,1109,29,17,0,0,0x00001045,embedded,
AR5000,18,AM5000B,AM5000B,BAM,2253,1378,35,21,0,0,0x00001045,embedded,
AR5201,16,IceWall1B,AM5201A,BAM,1062,1706,16,26,0,0,0x00001003,embedded,
AR5201,17,IceWall2B,AM5201A,BAM,1724,2036,26,31,0,0,0x00001003,embedded,
AR5201,0,AM5201B,AM5201B,BAM,289,2174,4,33,0,0,0x00001083,embedded,
AR5201,1,AM5201B,AM5201B,BAM,512,2584,8,40,0,0,0x00001083,embedded,
AR5201,2,AM5201B,AM5201B,BAM,791,2315,12,36,0,0,0x00001083,embedded,
AR5201,3,AM5201B,AM5201B,BAM,936,2796,14,43,0,0,0x00001083,embedded,
AR5201,4,AM5201B,AM5201B,BAM,1204,2517,18,39,0,0,0x00001083,embedded,
AR5201,5,AM5201B,AM5201B,BAM,1568,2825,24,44,0,0,0x00001083,embedded,
AR5202,8,AM5202B,AM5202B,BAM,601,560,9,8,0,0,0x00001003,embedded,
AR5204,2,AM5204A,AM5204A,BAM,2075,1071,32,16,0,0,0x00001003,embedded,
AR5204,1,AM5204C,AM5204C,BAM,2075,1102,32,17,0,0,0x00001103,embedded,
OH4210,38,Fireplace,AM5204C,BAM,1597,194,24,3,0,0,0x00001103,embedded,
AR5201,6,AM5204D,AM5204D,BAM,1536,2619,24,40,0,0,0x00001003,embedded,
AR5201,7,AM5204D,AM5204D,BAM,764,2156,11,33,0,0,0x00001003,embedded,
AR5201,8,AM5204D,AM5204D,BAM,260,1987,4,31,0,0,0x00001003,embedded,
