area_id,animation_occurrences,distinct_animation_resources,animation_resrefs,bam_occurrences,distinct_bams,bam_resrefs,wbm_occurrences,distinct_wbms,wbm_resrefs,pvrz_occurrences,distinct_pvrzs,pvrz_resrefs,external_palette_occurrences,palette_resrefs
AR0601,7,7,AM0602J;AM0602K1;AM0602K2;AM0602L1;AM0602L2;AM0602M;FPIT1S,7,7,AM0602J;AM0602K1;AM0602K2;AM0602L1;AM0602L2;AM0602M;FPIT1S,0,0,,0,0,,0,
AR0602,30,13,AM0602AA;AM0602AB;AM0602AC;AM0602B;AM0602C;AM0602D;AM0602E;AM0602F;AM0602G;BUBBLES2;FLAME2S;PORTL1A;PORTL1B,30,13,AM0602AA;AM0602AB;AM0602AC;AM0602B;AM0602C;AM0602D;AM0602E;AM0602F;AM0602G;BUBBLES2;FLAME2S;PORTL1A;PORTL1B,0,0,,0,0,,0,
AR0603,20,11,AM0603A;AM0603B;AM0603C1;AM0603C2;AM0603D1;AM0603D2;AM0603D3;AM0603H;AM0603I;BUBBLES2;PORTL2A,20,11,AM0603A;AM0603B;AM0603C1;AM0603C2;AM0603D1;AM0603D2;AM0603D3;AM0603H;AM0603I;BUBBLES2;PORTL2A,0,0,,0,0,,0,
AR0604,1,1,AM0604A,1,1,AM0604A,0,0,,0,0,,0,
AR0700,55,6,AM0700A;AM0700B;AM0700C;AM0700D;FIRE_1;FIRE_4,55,6,AM0700A;AM0700B;AM0700C;AM0700D;FIRE_1;FIRE_4,0,0,,0,0,,0,
AR0704,26,2,FIRE_4;FLAME2S,26,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR0705,6,1,FLAME2S,6,1,FLAME2S,0,0,,0,0,,0,
AR0706,5,3,FIRE_4;FLAME2S;FPIT1S,5,3,FIRE_4;FLAME2S;FPIT1S,0,0,,0,0,,0,
AR0709,18,2,FIRE_4;FLAME2S,18,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR0710,6,2,AM0033AB;FLAME2S,6,2,AM0033AB;FLAME2S,0,0,,0,0,,0,
AR0712,3,1,FLAME2S,3,1,FLAME2S,0,0,,0,0,,0,
AR0713,1,1,AM003XA,1,1,AM003XA,0,0,,0,0,,0,
AR0800,39,3,BUTRFLY;FIRE_4;FLAME2M,39,3,BUTRFLY;FIRE_4;FLAME2M,0,0,,0,0,,0,
AR0801,26,5,AM0801A;AM0801B1;AM0801B2;FIRE_4;FLAME2S,26,5,AM0801A;AM0801B1;AM0801B2;FIRE_4;FLAME2S,0,0,,0,0,,0,
AR0802,27,3,FIRE_1;FIRE_4;FLAME2S,27,3,FIRE_1;FIRE_4;FLAME2S,0,0,,0,0,,0,
AR0803,13,6,AM0803A;AM0803B;AM0803C;AM0803D;AM0803E;FIRE_4,13,6,AM0803A;AM0803B;AM0803C;AM0803D;AM0803E;FIRE_4,0,0,,0,0,,0,
AR0805,1,1,FIRE_1,1,1,FIRE_1,0,0,,0,0,,0,
AR0808,26,5,AM0801A;AM0801B1;AM0801B2;FIRE_4;FLAME2S,26,5,AM0801A;AM0801B1;AM0801B2;FIRE_4;FLAME2S,0,0,,0,0,,0,
AR0809,13,6,AM0803A;AM0803B;AM0803C;AM0803D;AM0803E;FIRE_4,13,6,AM0803A;AM0803B;AM0803C;AM0803D;AM0803E;FIRE_4,0,0,,0,0,,0,
AR0810,1,1,FIRE_1,1,1,FIRE_1,0,0,,0,0,,0,
AR0811,2,2,FIRE_1;OHHPORT,2,2,FIRE_1;OHHPORT,0,0,,0,0,,0,
AR0900,6,2,AM0900DM;FLAME2M,6,2,AM0900DM;FLAME2M,0,0,,0,0,,0,
AR0902,1,1,AM0902L,1,1,AM0902L,0,0,,0,0,,0,
AR0903,61,1,FLAME2S,61,1,FLAME2S,0,0,,0,0,,0,
AR0904,8,5,AM904TL1;AM904TL2;AM904TL3;AM904TL4;FIRE_4,8,5,AM904TL1;AM904TL2;AM904TL3;AM904TL4;FIRE_4,0,0,,0,0,,0,
AR0905,11,2,AM1001A;FLAME2S,11,2,AM1001A;FLAME2S,0,0,,0,0,,0,
AR0906,88,3,FIRE_3;FIRE_4;FLAME2S,88,3,FIRE_3;FIRE_4;FLAME2S,0,0,,0,0,,0,
AR0907,57,3,FIRE_4;FLAME2M;FLAME2S,57,3,FIRE_4;FLAME2M;FLAME2S,0,0,,0,0,,0,
AR1000,2,1,FOUNT1,2,1,FOUNT1,0,0,,0,0,,0,
AR1001,11,2,AM1001A;FLAME2S,11,2,AM1001A;FLAME2S,0,0,,0,0,,0,
AR1002,10,1,FIRE_4,10,1,FIRE_4,0,0,,0,0,,0,
AR1003,9,3,AM1003A;FLAME2S;STEAM2,9,3,AM1003A;FLAME2S;STEAM2,0,0,,0,0,,0,
AR1004,13,3,AM1004A;FLAME2S;SMOKE,13,3,AM1004A;FLAME2S;SMOKE,0,0,,0,0,,0,
AR1005,13,1,FIRE_4,13,1,FIRE_4,0,0,,0,0,,0,
AR1006,11,2,AM1001A;FLAME2S,11,2,AM1001A;FLAME2S,0,0,,0,0,,0,
AR1007,11,2,AM1001A;FLAME2S,11,2,AM1001A;FLAME2S,0,0,,0,0,,0,
AR1008,14,3,AM1008B;AM1008BL;FLM2PUR,14,3,AM1008B;AM1008BL;FLM2PUR,0,0,,0,0,,0,
AR1009,11,2,AM1001A;FLAME2S,11,2,AM1001A;FLAME2S,0,0,,0,0,,0,
AR1010,7,2,AM2008A;FIRE_4,7,2,AM2008A;FIRE_4,0,0,,0,0,,0,
AR1100,36,6,BUTRFLY;CHIMSMK;DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESL,36,6,BUTRFLY;CHIMSMK;DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESL,0,0,,0,0,,0,
AR1101,1,1,AM1101A,1,1,AM1101A,0,0,,0,0,,0,
AR1103,3,3,AM1104A;FIRE_4;FLAME2S,3,3,AM1104A;FIRE_4;FLAME2S,0,0,,0,0,,0,
AR1104,7,3,AM1104B;FIRE_4;FLAME2S,7,3,AM1104B;FIRE_4;FLAME2S,0,0,,0,0,,0,
AR1105,4,2,FIRE_4;FLAME2S,4,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR1107,4,1,FIRE_4,4,1,FIRE_4,0,0,,0,0,,0,
AR1200,37,5,BUTRFLY;DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESL,37,5,BUTRFLY;DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESL,0,0,,0,0,,0,
AR1201,3,1,FIRE_4,3,1,FIRE_4,0,0,,0,0,,0,
AR1202,27,2,FIRE_4;FLAME2S,27,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR1204,1,1,FIRE_4,1,1,FIRE_4,0,0,,0,0,,0,
AR1301,9,1,FIRE_4,9,1,FIRE_4,0,0,,0,0,,0,
AR1302,28,4,FIRE_4;FLAME2S;FLIESL;FLIESS,28,4,FIRE_4;FLAME2S;FLIESL;FLIESS,0,0,,0,0,,0,
AR1303,31,1,FLAME2S,31,1,FLAME2S,0,0,,0,0,,0,
AR1305,9,1,FLAME2S,9,1,FLAME2S,0,0,,0,0,,0,
AR1306,25,2,FIRE_4;FLAME2S,25,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR1307,32,1,FLAME2S,32,1,FLAME2S,0,0,,0,0,,0,
AR1400,7,7,1400T001;1400T002;1400T003;1400T004;1400T005;AM1400A;AM1400N,7,7,1400T001;1400T002;1400T003;1400T004;1400T005;AM1400A;AM1400N,0,0,,0,0,,0,
AR1401,7,1,FIRE_4,7,1,FIRE_4,0,0,,0,0,,0,
AR1404,5,5,1400T001;1400T002;1400T003;1400T004;1400T005,5,5,1400T001;1400T002;1400T003;1400T004;1400T005,0,0,,0,0,,0,
AR1511,4,2,FIRE_4;FLAME2S,4,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR1512,16,2,AM1512PA;FIRE_4,16,2,AM1512PA;FIRE_4,0,0,,0,0,,0,
AR1513,18,1,FIRE_4,18,1,FIRE_4,0,0,,0,0,,0,
AR1514,26,1,FIRE_4,26,1,FIRE_4,0,0,,0,0,,0,
AR1516,13,2,AM1516PT;FIRE_4,13,2,AM1516PT;FIRE_4,0,0,,0,0,,0,
AR1600,35,4,DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESL,35,4,DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESL,0,0,,0,0,,0,
AR1601,13,3,AM1004A;FLAME2S;SMOKE,13,3,AM1004A;FLAME2S;SMOKE,0,0,,0,0,,0,
AR1603,6,3,FIRE_4;FLAME2S;FPIT1S,6,3,FIRE_4;FLAME2S;FPIT1S,0,0,,0,0,,0,
AR1604,22,1,FIRE_4,22,1,FIRE_4,0,0,,0,0,,0,
AR1606,3,2,FIRE_4;FLAME2S,3,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR1608,6,1,FIRE_4,6,1,FIRE_4,0,0,,0,0,,0,
AR1609,12,1,FLAME2S,12,1,FLAME2S,0,0,,0,0,,0,
AR1611,1,1,AM003XA,1,1,AM003XA,0,0,,0,0,,0,
AR1613,2,2,FIRE_4;FLAME2S,2,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR1700,22,5,BUTRFLY;DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESL,22,5,BUTRFLY;DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESL,0,0,,0,0,,0,
AR1800,13,2,BUTRFLY;FLIESL,13,2,BUTRFLY;FLIESL,0,0,,0,0,,0,
AR1900,41,1,FLIESL,41,1,FLIESL,0,0,,0,0,,0,
AR2000,35,6,AM2000A;AM2000B;BUTRFLY;CHIMSMK;FLIESL;FLIESS,35,6,AM2000A;AM2000B;BUTRFLY;CHIMSMK;FLIESL;FLIESS,0,0,,0,0,,0,
AR2001,6,3,FIRE_4;FLAME2S;FPIT1S,6,3,FIRE_4;FLAME2S;FPIT1S,0,0,,0,0,,0,
AR2002,3,2,FIRE_4;FLAME2S,3,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR2007,24,2,FIRE_4;FLAME2S,24,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR2008,7,2,AM2008A;FIRE_4,7,2,AM2008A;FIRE_4,0,0,,0,0,,0,
AR2009,5,1,FIRE_4,5,1,FIRE_4,0,0,,0,0,,0,
AR2011,8,2,AM1003A;FLAME2S,8,2,AM1003A;FLAME2S,0,0,,0,0,,0,
AR2012,13,3,AM1004A;FLAME2S;SMOKE,13,3,AM1004A;FLAME2S;SMOKE,0,0,,0,0,,0,
AR2013,1,1,FIRE_1,1,1,FIRE_1,0,0,,0,0,,0,
AR2014,1,1,FPIT1S,1,1,FPIT1S,0,0,,0,0,,0,
AR2016,1,1,FPIT1S,1,1,FPIT1S,0,0,,0,0,,0,
AR2017,1,1,FPIT1S,1,1,FPIT1S,0,0,,0,0,,0,
AR2018,1,1,FPIT1S,1,1,FPIT1S,0,0,,0,0,,0,
AR2100,3,3,AM2100PA;AM2100PB;AM2100PC,3,3,AM2100PA;AM2100PB;AM2100PC,0,0,,0,0,,0,
AR2201,6,2,AM2201A;AM2201B,6,2,AM2201A;AM2201B,0,0,,0,0,,0,
AR2208,4,2,FIRE_4;FLAME2S,4,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR2300,14,12,AM2300A;FALL1A;FALL1B;FALL2;FALL3;FALL4;FALL5A;FALL5B;FALL5C;FALL6;FALLA1;FALLA2,14,12,AM2300A;FALL1A;FALL1B;FALL2;FALL3;FALL4;FALL5A;FALL5B;FALL5C;FALL6;FALLA1;FALLA2,0,0,,0,0,,0,
AR2801,1,1,AM2801A,1,1,AM2801A,0,0,,0,0,,0,
AR2802,1,1,AM2802A,1,1,AM2802A,0,0,,0,0,,0,
AR2804,4,3,AM2805A;AM2805B;AM2805C,4,3,AM2805A;AM2805B;AM2805C,0,0,,0,0,,0,
AR2805,1,1,AM2805A,1,1,AM2805A,0,0,,0,0,,0,
AR2808,1,1,AM2801A,1,1,AM2801A,0,0,,0,0,,0,
AR2809,1,1,AM2801A,1,1,AM2801A,0,0,,0,0,,0,
AR2810,1,1,AM2802A,1,1,AM2802A,0,0,,0,0,,0,
AR2811,1,1,AM2802A,1,1,AM2802A,0,0,,0,0,,0,
AR2903,3,1,BUBBLEA,3,1,BUBBLEA,0,0,,0,0,,0,
AR3000,16,9,AM3000A;AM3000E;AM3000H;BUTRFLY;FISH1L;FISH1S;FISH2L;FISH2S;FISH3S,16,9,AM3000A;AM3000E;AM3000H;BUTRFLY;FISH1L;FISH1S;FISH2L;FISH2S;FISH3S,0,0,,0,0,,5,PLT_MAGE
AR3001,9,4,AM3001D;AM3001F;AM3001G;FIRE_3,9,4,AM3001D;AM3001F;AM3001G;FIRE_3,0,0,,0,0,,0,
AR3003,4,1,AMWRPGT1,4,1,AMWRPGT1,0,0,,0,0,,0,
AR3004,4,1,AMWRPGT1,4,1,AMWRPGT1,0,0,,0,0,,0,
AR3005,4,1,AMWRPGT1,4,1,AMWRPGT1,0,0,,0,0,,0,
AR3006,4,1,AMWRPGT1,4,1,AMWRPGT1,0,0,,0,0,,0,
AR3007,4,1,AMWRPGT1,4,1,AMWRPGT1,0,0,,0,0,,0,
AR3008,4,1,AMWRPGT1,4,1,AMWRPGT1,0,0,,0,0,,0,
AR3009,4,1,AMWRPGT1,4,1,AMWRPGT1,0,0,,0,0,,0,
AR3010,4,1,AMWRPGT1,4,1,AMWRPGT1,0,0,,0,0,,0,
AR3011,4,3,AM3011A;AM3011B;AMWRPGT1,4,3,AM3011A;AM3011B;AMWRPGT1,0,0,,0,0,,0,
AR3012,2,1,AMWRPGT1,2,1,AMWRPGT1,0,0,,0,0,,0,
AR3013,2,1,AMWRPGT1,2,1,AMWRPGT1,0,0,,0,0,,0,
AR3014,2,1,AMWRPGT1,2,1,AMWRPGT1,0,0,,0,0,,0,
AR3015,2,1,AMWRPGT1,2,1,AMWRPGT1,0,0,,0,0,,0,
AR3016,21,15,AM3016A;AM3016B;AM3016D;AM3016E;AM3016G;AM3016I;AM3016J;AM3016K;AM3016L;AM3016N;AM3016P;AM3016Q;AM3016R;AM3016T;AMWRPGT1,21,15,AM3016A;AM3016B;AM3016D;AM3016E;AM3016G;AM3016I;AM3016J;AM3016K;AM3016L;AM3016N;AM3016P;AM3016Q;AM3016R;AM3016T;AMWRPGT1,0,0,,0,0,,0,
AR3017,31,13,AM3017A;AM3017B;AM3017C;AM3017D;AM3017E;AM3017F;AM3017G;AM3017H;AM3017Z;AMSTEAM1;AMSTEAM2;AMWRPGT1;FIRE_2B,31,13,AM3017A;AM3017B;AM3017C;AM3017D;AM3017E;AM3017F;AM3017G;AM3017H;AM3017Z;AMSTEAM1;AMSTEAM2;AMWRPGT1;FIRE_2B,0,0,,0,0,,0,
AR3019,3,2,AM3019A;AMWRPGT1,3,2,AM3019A;AMWRPGT1,0,0,,0,0,,0,
AR3020,3,2,AM3020D;AMWRPGT1,3,2,AM3020D;AMWRPGT1,0,0,,0,0,,0,
AR3021,3,3,AM3021D;AM3021E;AM3021F,3,3,AM3021D;AM3021E;AM3021F,0,0,,0,0,,0,
AR3022,1,1,AM3022D,1,1,AM3022D,0,0,,0,0,,0,
AR3026,6,2,AM0033AB;FLAME2S,6,2,AM0033AB;FLAME2S,0,0,,0,0,,0,
AR3027,1,1,FIRE_1,1,1,FIRE_1,0,0,,0,0,,0,
AR4000,10,1,AM4000Z,10,1,AM4000Z,0,0,,0,0,,0,
AR4500,5,5,AM4500A;AM4500B;AM4500C;AM4500D;AM4500E,5,5,AM4500A;AM4500B;AM4500C;AM4500D;AM4500E,0,0,,0,0,,0,
AR5000,42,12,AM5000A;AM5000B;FIRE_1;FIRE_3;FIRE_4;FISH1L;FISH2L;FISH2S;FISH3L;FISH3S;FLIESL;FLIESS,42,12,AM5000A;AM5000B;FIRE_1;FIRE_3;FIRE_4;FISH1L;FISH2L;FISH2S;FISH3L;FISH3S;FLIESL;FLIESS,0,0,,0,0,,0,
AR5006,13,1,FIRE_4,13,1,FIRE_4,0,0,,0,0,,0,
AR5007,9,1,FIRE_4,9,1,FIRE_4,0,0,,0,0,,0,
AR5008,19,1,FLAME2S,19,1,FLAME2S,0,0,,0,0,,0,
AR5009,12,1,FLAME2S,12,1,FLAME2S,0,0,,0,0,,0,
AR5010,8,2,AM1003A;FLAME2S,8,2,AM1003A;FLAME2S,0,0,,0,0,,0,
AR5011,10,1,FLAME2S,10,1,FLAME2S,0,0,,0,0,,0,
AR5012,7,2,FIRE_4;FLAME2S,7,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR5015,1,1,AM003XA,1,1,AM003XA,0,0,,0,0,,0,
AR5016,5,1,FIRE_4,5,1,FIRE_4,0,0,,0,0,,0,
AR5200,8,3,DSTDVL1A;DSTDVL1B;DSTDVL1C,8,3,DSTDVL1A;DSTDVL1B;DSTDVL1C,0,0,,0,0,,0,
AR5201,18,3,AM5201A;AM5201B;AM5204D,18,3,AM5201A;AM5201B;AM5204D,0,0,,0,0,,0,
AR5202,9,3,AM5202B;FIRE_4;FPIT1S,9,3,AM5202B;FIRE_4;FPIT1S,0,0,,0,0,,0,
AR5203,7,2,FLIESL;FPIT1L,7,2,FLIESL;FPIT1L,0,0,,0,0,,0,
AR5204,6,3,AM5204A;AM5204C;AM5204D,6,3,AM5204A;AM5204C;AM5204D,0,0,,0,0,,0,
AR5500,64,6,AM5500A;AM5500D;BUTRFLY;DSTDVL1A;DSTDVL1B;DSTDVL1C,64,6,AM5500A;AM5500D;BUTRFLY;DSTDVL1A;DSTDVL1B;DSTDVL1C,0,0,,0,0,,0,
AR5501,8,2,AM5508C;AM5508D,8,2,AM5508C;AM5508D,0,0,,0,0,,0,
AR5502,6,4,AM5502D;AM5502F;AM5508C;AM5508D,6,4,AM5502D;AM5502F;AM5508C;AM5508D,0,0,,0,0,,0,
AR5503,7,4,AM5503A;AM5503C;AM5503D;FIRE_4,7,4,AM5503A;AM5503C;AM5503D;FIRE_4,0,0,,0,0,,0,
AR5506,4,2,AM5508C;AM5508D,4,2,AM5508C;AM5508D,0,0,,0,0,,0,
AR5507,4,2,AM5508C;AM5508D,4,2,AM5508C;AM5508D,0,0,,0,0,,0,
AR5508,4,2,AM5508C;AM5508D,4,2,AM5508C;AM5508D,0,0,,0,0,,0,
AR6001,9,1,AM6004A,9,1,AM6004A,0,0,,0,0,,0,
AR6003,8,1,AM6004B,8,1,AM6004B,0,0,,0,0,,0,
AR6004,11,1,AM6004B,11,1,AM6004B,0,0,,0,0,,0,
AR6005,22,2,AM6004A;AM6005A,22,2,AM6004A;AM6005A,0,0,,0,0,,0,
AR6012,6,2,AM0033AB;FLAME2S,6,2,AM0033AB;FLAME2S,0,0,,0,0,,0,
AR6108,1,1,SPDIMNDR,1,1,SPDIMNDR,0,0,,0,0,,0,
AR6111,1,1,FPIT1M,1,1,FPIT1M,0,0,,0,0,,0,
AR6200,9,9,AM6200A;AM6200B;AM6200E;AM6200F;AM6200G;AM6200H;AM6200I;AM6200J;MMELSPIN,9,9,AM6200A;AM6200B;AM6200E;AM6200F;AM6200G;AM6200H;AM6200I;AM6200J;MMELSPIN,0,0,,0,0,,0,
AR6300,18,5,DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESL;FLIESS,18,5,DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESL;FLIESS,0,0,,0,0,,0,
AR6400,15,3,BUTRFLY;FLIESL;FLIESS,15,3,BUTRFLY;FLIESL;FLIESS,0,0,,0,0,,0,
OH4000,14,3,BUTRFLY;FIRE;FPIT1M,14,3,BUTRFLY;FIRE;FPIT1M,0,0,,0,0,,0,
OH4101,42,1,FIRE_3GS,42,1,FIRE_3GS,0,0,,0,0,,0,
OH4200,23,9,FIRE;FIRE_3;FPIT1M;OH4200MD;OH4200MN;OH4200RD;OH4200RN;OH4200WD;OH4200WN,17,3,FIRE;FIRE_3;FPIT1M,6,6,OH4200MD;OH4200MN;OH4200RD;OH4200RN;OH4200WD;OH4200WN,0,0,,0,
OH4210,47,6,AM5204C;FIREBRN;FIRE_3;FIRE_4;FIRE_4GS;FLM2PUR,47,6,AM5204C;FIREBRN;FIRE_3;FIRE_4;FIRE_4GS;FLM2PUR,0,0,,0,0,,1,PLT_PURP
OH4220,24,3,FIRE_3;FLAME2L;OHRSGATE,24,3,FIRE_3;FLAME2L;OHRSGATE,0,0,,0,0,,0,
OH4230,1,1,OHRSGATE,1,1,OHRSGATE,0,0,,0,0,,0,
OH5000,61,1,FLAME2S,61,1,FLAME2S,0,0,,0,0,,0,
OH5100,2,2,OH5100RD;OH5100RN,0,0,,2,2,OH5100RD;OH5100RN,0,0,,0,
OH5120,1,1,AM2008A,1,1,AM2008A,0,0,,0,0,,0,
OH5200,4,4,OH5200MD;OH5200MN;OH5200RD;OH5200RN,0,0,,4,4,OH5200MD;OH5200MN;OH5200RD;OH5200RN,0,0,,0,
