nom,base,taille,ressource,largeur,hauteur,mode,bif_source,sha256,creatures,autres_noms
Thraxis Gall,QUAYLE,moyen,QUAYLEM,169,266,RGB,data/Portrait.bif,7989de146c7306c7f323bb570f202c6d0f1ef3940a4dee4fc4b6c8451fe2839a,1,
Thraxis Gall,QUAYLE,petit,QUAYLES,54,84,RGB,data/Portrait.bif,f8af1541e48e30c4b36faab2e7575b282090a543f0855438d52377499c2d6ffe,1,
Mireille,SAFANA,grand,SAFANAL,210,330,RGB,data/Portrait.bif,1d96a0bd1a84edab2a67c98fd45461165d8d7f00bb4ed3d62f18e11b095028dd,1,
Mireille,SAFANA,moyen,SAFANAM,169,266,RGB,data/Portrait.bif,1cfa21da262147f7f7ed92fde6e5b8bf98145774f6aa7f341c8a7e2b508ceca6,1,
Mireille,SAFANA,petit,SAFANAS,54,84,RGB,data/Portrait.bif,976652bf37ed7facebcdcb0140b20aba905d3f61213b609d1372233d0cb1a487,1,
Sendaï,SENDAI,petit,SENDAIS,54,84,RGB,data/25Portrt.bif,fbde9e233af743ede3a0ccce1f22287cdc6f32bd77a74847e10cc238248800ee,1,
Nalia,SKIE,grand,SKIEL,210,330,RGB,data/Portrait.bif,6b62ffcf90ed8b0d221b57395e8979bef2e914b5453089bb8afa9eff7e75a7eb,1,
Nalia,SKIE,moyen,SKIEM,169,266,RGB,data/Portrait.bif,2d37c20543653c88ba153c869bf6aebf7709fd462a6a7e8057ed2be34374075d,1,
Nalia,SKIE,petit,SKIES,54,84,RGB,data/Portrait.bif,8c04e33475ba90d2bbf2de2da306bc6a45cf7c8df035269ac8adbc3bf68d84d6,1,
Solaire,SOLAR,petit,SOLARS,54,84,RGB,data/25Portrt.bif,8278116acc21a9395e90eae50d5a7ad9a0be9796356bb43ba5a5ca3ff1c64a96,2,
Vidania,WOMAN1,grand,WOMAN1L,210,330,RGB,data/Portrait.bif,e88e534e63cc598d33d2d1b3ed34f05c02529cbd0baa8b4d04158fff416e6906,1,
Vidania,WOMAN1,moyen,WOMAN1M,169,266,RGB,data/Portrait.bif,f2cc43c7e09e0c75db0dba52b440e3e0a91ebfc3f214e8835b298ee0cf643046,1,
Vidania,WOMAN1,petit,WOMAN1S,54,84,RGB,data/Portrait.bif,47f78ce4d9e6c4d7fb298d081aa7bd2f866aa054418cc4632d18d6bd858b5fee,1,
Yaga-Shura,YAGASHR,petit,YAGASHRS,54,84,RGB,data/25Portrt.bif,cca52742a5041d733b460319a4a608bd9696926211bc17bc3c72692aaef0c88d,2,
