asset_key,resref,role,locale,source_kind,source_path,source_bif,locator,source_size,source_sha256,width,height,frame_rate,duration_ms,video_codec,audio_codec,extracted_path
movie:default:LOGO,LOGO,cinematic,default,loose-file,movies/logo.wbm,,,2687283,5B0C8EEE77DAAE848861B47C4360E777F01E95DB2F971EB2EAE80D0D597AA99B,1280,720,30000/1001,10115,vp8,vorbis,video/logo/logo.wbm
movie:default:MANAFORG,MANAFORG,cinematic,default,loose-file,movies/manaforg.wbm,,,4357634,4788BE474A9B7988782456A79B8B6095E416CCBC4FE48786B54DD16D2AE9FE5D,1280,720,15/1,18286,vp8,vorbis,video/manaforg/manaforg.wbm
movie:default:MELISSAN,MELISSAN,cinematic,default,loose-file,movies/melissan.wbm,,,9243155,049D4D5D017DF9787F21AE2DBA0807D170277F9729B3954B9EEB406E1EF08566,1280,720,15/1,37088,vp8,vorbis,video/melissan/melissan.wbm
movie:default:NEERAES,NEERAES,cinematic,default,loose-file,movies/neeraes.wbm,,,2912406,240960FDE2DD0FABAE332A7BA2FE3D7D3C081236211FD65F61366133D82714B3,1280,720,2997/100,16896,vp8,vorbis,video/neeraes/neeraes.wbm
movie:default:NITEDAY,NITEDAY,cinematic,default,loose-file,movies/niteday.wbm,,,2668595,7E45BD2942940F8B6EBCADDC06B1BC39F95187424C302D43F1C49E7B8FFF57FE,1280,720,15/1,10942,vp8,vorbis,video/niteday/niteday.wbm
movie:default:OUTRO,OUTRO,cinematic,default,loose-file,movies/outro.wbm,,,20390800,AF6AE520D04FCBC5E9F1333FBCDB8860BC672468418A77172C24F594DF12DCBC,1280,720,15/1,81666,vp8,,video/outro/outro.wbm
movie:default:POCKETZZ,POCKETZZ,cinematic,default,loose-file,movies/pocketzz.wbm,,,1459588,3241409B883A01C7D603D92CFA57C15CFC8D438C4C9DD29967570E928738C7AA,1280,720,15/1,6473,vp8,vorbis,video/pocketzz/pocketzz.wbm
movie:default:RASAADMI,RASAADMI,cinematic,default,loose-file,movies/rasaadmi.wbm,,,3036654,35C5B94529AB59C95C074C80D579F6F7713CD0958303068B991BF003563ED088,1280,720,2997/100,16127,vp8,vorbis,video/rasaadmi/rasaadmi.wbm
movie:default:RASAADTE,RASAADTE,cinematic,default,loose-file,movies/rasaadte.wbm,,,3720392,0EA04DBEDD453A33B2A275118D78462D254034D72B65F357813052C2C491E557,1280,720,2997/100,19964,vp8,vorbis,video/rasaadte/rasaadte.wbm
movie:default:REST,REST,cinematic,default,loose-file,movies/rest.wbm,,,3216075,5B8B5A0B9128AF2E11D38344C51E1F7DA6DB92862DF6C3CD14B608117EC56D0D,1280,720,15/1,11999,vp8,vorbis,video/rest/rest.wbm
movie:default:RESTDUNG,RESTDUNG,cinematic,default,loose-file,movies/restdung.wbm,,,1499772,5EA4565B2A7959A89D3671987AFA5EF9B639527C1578B0666D421EED29C133E3,1280,720,15/1,7053,vp8,vorbis,video/restdung/restdung.wbm
movie:default:RESTINN,RESTINN,cinematic,default,loose-file,movies/restinn.wbm,,,1567105,2827B234474FD2B45C7838B888224988E78DF6ACF07C039FF6C75F98B8830CDE,1280,720,15/1,7053,vp8,vorbis,video/restinn/restinn.wbm
movie:default:SARADUSH,SARADUSH,cinematic,default,loose-file,movies/saradush.wbm,,,5575999,B5A84D2C08CA8BC88DE4685A136BFAF60F53368D422E2B38DF9D4208B8BD78FE,1280,720,15/1,23133,vp8,vorbis,video/saradush/saradush.wbm
movie:it_IT:END15FPS,END15FPS,cinematic,it_IT,loose-file,lang/it_IT/movies/end15fps.wbm,,,32015452,E4AAE02AD13096EFEF638DF2FDBED89111EB7D1568B79D2EAFABA9ADA139FD57,1280,720,15/1,121980,vp8,vorbis,video/it_IT_end15fps/it_IT_end15fps.wbm
movie:it_IT:INTRO15F,INTRO15F,cinematic,it_IT,loose-file,lang/it_IT/movies/intro15f.wbm,,,49757549,E71B8633305A1F8DA2A1CA2751446CC4769CB063717CB6672B4284FCFB34FBF5,1280,720,15/1,171625,vp8,vorbis,video/it_IT_intro15f/it_IT_intro15f.wbm
movie:pl_PL:END15FPS,END15FPS,cinematic,pl_PL,loose-file,lang/pl_PL/movies/END15FPS.wbm,,,28379198,1C1D2181D4C57141EBB67D772477BC723EA56008B512055CAE9765E13D4E831A,1280,720,16305/1088,122901,vp8,vorbis,video/pl_PL_end15fps/pl_PL_END15FPS.wbm
movie:pl_PL:INTRO,INTRO,cinematic,pl_PL,loose-file,lang/pl_PL/movies/INTRO.wbm,,,30489394,DF4A980AA22733EB37C71EBF68804C18C003A2FD6A25EB347F67A7938ED32DED,1280,720,16305/1088,115834,vp8,vorbis,video/pl_PL_intro/pl_PL_INTRO.wbm
movie:pl_PL:INTRO15F,INTRO15F,cinematic,pl_PL,loose-file,lang/pl_PL/movies/INTRO15F.wbm,,,45993779,81852332CD82E09FBB7FB3D887D3D7A35F82894DA2537B758415C4627DC1BE47,1280,720,16305/1088,172615,vp8,vorbis,video/pl_PL_intro15f/pl_PL_INTRO15F.wbm
movie:pl_PL:MELISSAN,MELISSAN,cinematic,pl_PL,loose-file,lang/pl_PL/movies/MELISSAN.wbm,,,9831180,B2F3A1252A36458C68076FFF2803E69F8D61D45E3AC381572C0CCB4D7B8258FD,1280,720,16305/1088,38102,vp8,vorbis,video/pl_PL_melissan/pl_PL_MELISSAN.wbm
tutorial:engine:TUT01,TUT01,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000C1,850034,6D735E8F54456D2393938C5CC241D4707096EE22C6F7411CD434D8CCD6247E1B,384,480,30/1,45466,vp8,,video/tutorials/tut01/tut01.wbm
tutorial:engine:TUT03,TUT03,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000C2,639268,43E2F453899D82D244949F977574B2277F5270838FBA9A0177F3FD218073C1C5,384,480,30/1,31233,vp8,,video/tutorials/tut03/tut03.wbm
tutorial:engine:TUT04,TUT04,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000C3,512751,29A76478A39D521E64B3D902327A995B6B6FD698B6A383EFE9BD34E9D3E561F8,384,480,30/1,24900,vp8,,video/tutorials/tut04/tut04.wbm
tutorial:engine:TUT05,TUT05,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000C4,1051922,219F4BF05E5F6CAFA971C5F480C84B3C89FD00143CD063CABBDB949E30366A6D,384,480,30/1,52600,vp8,,video/tutorials/tut05/tut05.wbm
tutorial:engine:TUT06,TUT06,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000C5,1037701,37B7A4FFBC2BADAF81ABA96998D2C06EF03BACA7747AA7D4B8416505F73272DA,384,480,30/1,54000,vp8,,video/tutorials/tut06/tut06.wbm
tutorial:engine:TUT07,TUT07,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000C6,808197,96DBC53B224596B7600C309F17B614E471E2D91EA7B0E57EF13B50546E356D4F,384,480,30/1,38466,vp8,,video/tutorials/tut07/tut07.wbm
tutorial:engine:TUT08,TUT08,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000C7,660865,22F4A2B7D04F6732575A98FF5F4B9AD1A7460AFAFA38A1217313501779FCE8D0,384,480,30/1,32400,vp8,,video/tutorials/tut08/tut08.wbm
tutorial:engine:TUT09,TUT09,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000C8,490331,F1718D894FF9AC275405BA5C48CEDB07184C0BBCFC2F0DB1ABB1A74D3C2F08CE,384,480,30/1,25000,vp8,,video/tutorials/tut09/tut09.wbm
tutorial:engine:TUT10,TUT10,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000C9,827170,3D4046AC748AA846AF853BFF0937532CA1DC2B3E6455182E6F3F5BAB4C2C4A43,384,480,30/1,42500,vp8,,video/tutorials/tut10/tut10.wbm
tutorial:engine:TUT11,TUT11,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000CA,838344,8556B9448A24B2A0C60AAB46D0014F42884F198F3A5C181DFFB76ABA1B3CEFA4,384,480,30/1,41300,vp8,,video/tutorials/tut11/tut11.wbm
tutorial:engine:TUT12,TUT12,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000CB,580128,C25615498AB34B8EE3B5EAEE60400186418266838AA999E2EE0A542B511C6210,384,480,30/1,29433,vp8,,video/tutorials/tut12/tut12.wbm
tutorial:engine:TUT13,TUT13,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000CC,761759,E4D9CCDF0FEB762D64C721B4CE2E3F5546A8A477A3661E19737C85031A91213C,384,480,30/1,44633,vp8,,video/tutorials/tut13/tut13.wbm
tutorial:engine:TUT14,TUT14,tutorial-clip,engine,key-bif,,data/ee.bif,0x0B5000CD,984259,134D88EE3A2F822D742F9C2C512402805414EEE4F4B36B77D68CA0CE328D2D1D,384,480,30/1,46433,vp8,,video/tutorials/tut14/tut14.wbm
