asset_key,relation,dependency_resref,allowed_formats,resolved_format,present,source_bif
effect:vvc:SPBEHRAY,animation,SPBEHRAY,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPBGBFS1,animation,SPBGBFST,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPBGBFS2,animation,SPBGBFST,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPBGBFST,animation,SPBGBFST,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPBLDBTM,animation,SPBLBBTM,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPBLDTOP,animation,SPBLBTOP,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPBOLTGL,animation,MMAGICH,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPCAUSEW,animation,SPCAUSEW,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:SPCHLGT1,animation,SPCHLGT1,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPCHLGT2,animation,SPCHLGT2,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPCHLGT3,animation,SPCHLGT3,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPCL236,animation,SPIPLAAI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPCL239,animation,SPCL239,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:SPCL239X,animation,SPCL239X,BAM,BAM,yes,data/Patch25.bif
effect:vvc:SPCLOUD1,animation,SPCLOUD1,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:SPCLOUD2,animation,SPCLOUD2,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:SPCLOUD3,animation,SPCLOUD3,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:SPCOMEND,animation,SPCOMEND,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPCOMEX1,animation,SPCOMEXP,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPCOMEX2,animation,SPCOMEXP,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPCOMSTT,animation,SPCOMSTT,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPCOMTRV,animation,SPCOMTRV,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPCONFUS,animation,SPCONFUS,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPCONTIN,animation,SPCONTIN,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPCRTWPN,animation,SPCRTWPN,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPDEATH3,animation,SPFDEATH,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPDHRMNY,animation,SPDHRMNY,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:SPDIMNDR,animation,SPDIMNDR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPDISPM2,animation,SPDISPMA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPDISPMA,animation,SPDISPMA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPDIVINA,animation,SPDIVINA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPDRGNBR,animation,SPDRGNBR,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPDUSTY2,animation,SPDUSTY2,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPELEMND,animation,SPMINDAT,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPENTANG,animation,SPENTAAI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFDAWN,animation,SPFLAST1,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFEARE2,animation,SPFEAREF,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFEAREF,animation,SPFEAREF,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFINGER,animation,SPFDEATH,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFIREPI,animation,SPFIREPI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFIRESA,animation,SPFIRESB,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFIRESB,animation,SPFIRESB,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFIRESG,animation,SPFIRESG,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:SPFIRESH,animation,SPFIRESG,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:SPFIRESR,animation,SPFIRESR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFIREST,animation,SPFIRESR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFIRSD2,animation,SPFIRSDI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFLAMES,animation,SPFLAMES,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFLASNC,animation,SPFLAST2,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFLAST2,animation,SPFLAST2,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFLAYER,animation,SPMINDAT,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFLBLAD,animation,SPFLMBLD,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFLESH2,animation,SPFLESHS,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFLESHS,animation,SPFLESHS,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFLMBLD,animation,SPFLMBLD,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFLSRIN,animation,SPFLSRIN,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPFRIEND,animation,SPNWCHRM,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPGFLSH1,animation,SPGFLSH1,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPGLBBLD,animation,SPGLBBLD,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPGREORB,animation,SPGREORB,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPGRWHRL,animation,SPGRWHRL,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPGSUNSR,animation,SPGSUNSR,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:SPGSUNST,animation,SPGSUNSR,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:SPH1HI01,animation,SPHLEFT,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPHANDA2,animation,SPHANDAT,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPHANDAT,animation,SPHANDAT,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPHEALIN,animation,SPHEALIN,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPHEART,animation,SPHEART,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPHLHI02,animation,SPHRIGHT,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPHLYBLS,animation,SPHLYBLS,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPHOLY,animation,SPHOLLYW,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPHOLYMT,animation,SPHOLYMT,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPILLUS,animation,SPILLUS,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPIMPFR,animation,SPIMPFR,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPMAGGLO,animation,SPMAGGLO,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPMAZE1,animation,SPCAGEMZ,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPMAZE2,animation,SPCAGEMZ,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPMELBD1,animation,SPMELBD1,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPMELBD2,animation,SPMELBD2,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPMETSW2,animation,SPMETSWA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPMETSW3,animation,SPMETSWA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPMETSWA,animation,SPMETSWA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPMINDAT,animation,SPMINDAT,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPMONSUM,animation,SPMONSUM,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPNECRO1,animation,SPNECRO1,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPNWCHRM,animation,SPNWCHRM,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPPLANAR,animation,SPPLANAR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPPOLYMP,animation,SPPOLYMP,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPPORTAL,animation,SPPORTAL,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPPOWATK,animation,SPPOWATK,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPPOWRRD,animation,SPBASERD,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPPOWWRD,animation,SPPOWWRD,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPPROIMG,animation,SPPROIMG,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPPROTEC,animation,SPPROTEC,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPRAISED,animation,SPRAISED,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPRES01,animation,SPRESIST,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPRES02,animation,SPRESIST,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPRMCURS,animation,SPHEALIN,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPROTECT,animation,SPROTECT,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPSARMOR,animation,SPSARMOR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPSDIMPA,animation,SPSDIMPA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPSETSCD,animation,SPSETSCD,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPSETTID,animation,SPSETTID,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPSETTIH,animation,SPSETTIH,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPSHKIMP,animation,SPSHKIMP,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPSOLBRD,animation,SPSOLBRD,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPSPEV,animation,SPSPEV,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPSPMAZE,animation,SPSPMAZE,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPSTONES,animation,SPSTONES,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPSTRENH,animation,SPSTRENH,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPSTRMVA,animation,SPSTRMVA,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPSTRMVB,animation,SPSTRMVB,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPSTURNI,animation,SPSTURNI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPSUMGTE,animation,SPSUMGTE,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPSUMP,animation,SPSUMP,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPSUMPLN,animation,SPSUMPLN,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPSUNRAY,animation,SPSUNRAY,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPTENSTB,animation,SPPOLYMP,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPTENSTT,animation,SPPOLYMP,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPTRAPBB,animation,SPTRAPBB,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPTRUSEE,animation,SPTRUSEE,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPTURNI2,animation,SPTURNI2,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPUNHOLY,animation,SPUNHOLY,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPUSEANY,animation,SPUSEANY,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPWHIRL,animation,SPWHIRL,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPWM104,animation,SPFLESHS,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPWOOD,animation,SPSUMMON,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPWRDFLD,animation,SPWRDFLD,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:TRGOOYAA,animation,TRGOOYAA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:TRGOOYBB,animation,TRGOOYBB,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:TRSPEART,animation,TRSPEART,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:TRVENTAA,animation,TRVENTAA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:TRVENTBB,animation,TRVENTBB,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:WONDER,animation,SPWRDFLD,BAM,BAM,yes,data/SPELAnim.bif
