animation_id,animation_id_decimal,ids_symbol,ids_present,ini_present,symbol_class,symbol_gender,symbol_race,symbol_variant,animation_family,animation_type,engine_section,ini_resref,ini_source_bif,ini_sha256,split_bams,false_color,can_lie_down,detected_by_infravision,equip_helmet,resref,resref_paperdoll,resref_armor_base,resref_armor_specific,armor_max_code,height_code,height_code_helmet,height_code_shield,resref_weapon1,resref_weapon2,ini_sections_json,runtime_profile,runtime_supported,family_count,pipeline_ready_family_count,override_collision,blocker
0x0300,768,SMOKE_PUFF_LARGE,yes,no,SMOKE_PUFF_LARGE,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0301,769,SMOKE_PUFF_SMALL,yes,no,SMOKE_PUFF_SMALL,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0400,1024,TRAP_SKULL,yes,no,TRAP_SKULL,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0410,1040,TRAP_GLYPH,yes,yes,TRAP_GLYPH,,,,0x0000,0000,effect,0410.INI,data/Patch2.bif,4848EDF9A1F2216556FA5177B1BD3E185F81636BBE2339FFF52F7CAA21D90444,,,,,,SPGLYPHI,,,,,,,,,,"{""effect"":{""alt_palette"":"""",""delta_z"":""0"",""palletized"":""1"",""random_render"":""1"",""resref"":""SPGLYPHI"",""shadow"":""""},""general"":{""animation_type"":""0000"",""brightest"":""1"",""cast_frame"":""4"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""0"",""light_source"":""1"",""move_scale"":""0"",""multiply_blend"":""1"",""personal_space"":""3"",""sound_freq"":""-1""},""sounds"":{""attack"":"""",""attack_backslash"":"""",""attack_backslash_frame"":""0"",""attack_frame"":""0"",""attack_jab"":"""",""attack_jab_frame"":""0"",""attack_slash"":"""",""attack_slash_frame"":""0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":"""",""battle_cry_frame"":""0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":"""",""damage_frame"":""0"",""die"":"""",""die_frame"":""0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""blank"",""fall_frame"":""0"",""head_turn"":"""",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":"""",""selection_frame"":""0"",""shoot"":"""",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x0500,1280,CLOUD_TRAVEL,yes,no,CLOUD_TRAVEL,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0510,1296,CLOUD_STATIC,yes,no,CLOUD_STATIC,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0600,1536,STORM_TRAVEL,yes,no,STORM_TRAVEL,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0610,1552,STORM_STATIC,yes,no,STORM_STATIC,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0700,1792,GREASE_TRAVEL,yes,no,GREASE_TRAVEL,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0710,1808,GREASE_STATIC,yes,no,GREASE_STATIC,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0800,2048,WEB_TRAVEL,yes,no,WEB_TRAVEL,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0810,2064,WEB_STATIC,yes,no,WEB_STATIC,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x1000,4096,WYVERN_BIG,yes,yes,WYVERN_BIG,,,,0x1000,1000,monster_quadrant,1000.INI,data/Patch2.bif,20F0FED91DA8B467FFA5B7757B57BEAD452DF72ABD5B7F998741EEA07B0F01E5,,0,,,,MWYV,,,,,,,,,,"{""general"":{""animation_type"":""1000"",""cast_frame"":""4"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""24"",""move_scale"":""8"",""personal_space"":""4"",""sound_freq"":""8""},""monster_quadrant"":{""caster"":""0"",""extend_direction"":""0"",""extend_direction_test"":""9"",""false_color"":""0"",""path_smooth"":""1"",""quadrants"":""4"",""resref"":""MWYV""},""sounds"":{""attack"":""wyver03,wyver05,blank,blank"",""attack_backslash"":""wyver05,blank"",""attack_backslash_frame"":""0,0"",""attack_frame"":""0,0,0,0"",""attack_jab"":""wyver06"",""attack_jab_frame"":""0"",""attack_slash"":""wyver03,blank"",""attack_slash_frame"":""0,0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":""wyver01,wyver02"",""battle_cry_frame"":""0,0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":""wyver07,wyver08"",""damage_frame"":""0,0"",""die"":""wyver09,wyver04"",""die_frame"":""0,0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""fal_03b"",""fall_frame"":""0"",""head_turn"":""wyver10"",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":""wyver03"",""selection_frame"":""0"",""shoot"":""wyver06"",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x1003,4099,WYVERN_WHITE_BIG,yes,yes,WYVERN_WHITE_BIG,,,,0x1000,1000,monster_quadrant,1003.INI,data/Patch2.bif,3621F86F6B64966A256582FE15C2A2D23C1594341A6E04E8E35D8B424DC28A2A,,0,,,,MWYV,,,,,,,,,,"{""general"":{""animation_type"":""1000"",""cast_frame"":""4"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""24"",""move_scale"":""8"",""new_palette"":""MWYV_WH"",""personal_space"":""4"",""sound_freq"":""8""},""monster_quadrant"":{""caster"":""0"",""extend_direction"":""0"",""extend_direction_test"":""9"",""false_color"":""0"",""path_smooth"":""1"",""quadrants"":""4"",""resref"":""MWYV""},""sounds"":{""attack"":""wyvrb03,wyver05,blank,blank"",""attack_backslash"":""wyver05,blank"",""attack_backslash_frame"":""0,0"",""attack_frame"":""0,0,0,0"",""attack_jab"":""wyver06"",""attack_jab_frame"":""0"",""attack_slash"":""wyvrb03,blank"",""attack_slash_frame"":""0,0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":""wyvrb01,wyvrb02"",""battle_cry_frame"":""0,0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":""wyvrb06"",""damage_frame"":""0,0"",""die"":""wyvrb07"",""die_frame"":""0,0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""fal_03b"",""fall_frame"":""0"",""head_turn"":""wyver10"",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":""wyvrb03"",""selection_frame"":""0"",""shoot"":""wyver06"",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x1004,4100,WYRMLING_ALBINO,yes,yes,WYRMLING_ALBINO,,,,0x1000,1000,monster_quadrant,1004.INI,data/Patch2.bif,9505BFDCED5A45D1CA0FE7986EAA6CF931911EF4C45F6FA401A2BE2590184626,,0,,,,MWYV,,,,,,,,,,"{""general"":{""animation_type"":""1000"",""cast_frame"":""4"",""color_blood"":""47"",""color_chunks"":""0"",""ellipse"":""24"",""move_scale"":""8"",""new_palette"":""MWYV_AL"",""personal_space"":""4"",""sound_freq"":""8""},""monster_quadrant"":{""caster"":""0"",""extend_direction"":""0"",""extend_direction_test"":""9"",""false_color"":""0"",""path_smooth"":""1"",""quadrants"":""4"",""resref"":""MWYV""},""sounds"":{""attack"":""wyvrb03,wyver05,blank,blank"",""attack_backslash"":""wyver05,blank"",""attack_backslash_frame"":""0,0"",""attack_frame"":""0,0,0,0"",""attack_jab"":""wyver06"",""attack_jab_frame"":""0"",""attack_slash"":""wyvrb03,blank"",""attack_slash_frame"":""0,0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":""wyvrb01,wyvrb02"",""battle_cry_frame"":""0,0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":""wyvrb06"",""damage_frame"":""0,0"",""die"":""wyvrb07"",""die_frame"":""0,0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""fal_03b"",""fall_frame"":""0"",""head_turn"":""wyver10"",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":""wyvrb03"",""selection_frame"":""0"",""shoot"":""wyver06"",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x1100,4352,TANARRI,yes,yes,TANARRI,,,,0x1000,1000,monster_quadrant,1100.INI,data/Patch2.bif,6BE047312FD85E5E8CEF1D82F6115D7CD2EC1CAEC097A63A9E1CAB842D193519,,0,,,,MTAN,,,,,,,,,,"{""general"":{""animation_type"":""1000"",""cast_frame"":""4"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""32"",""move_scale"":""8"",""personal_space"":""5"",""sound_freq"":""8""},""monster_quadrant"":{""caster"":""1"",""extend_direction"":""1"",""extend_direction_test"":""9"",""false_color"":""0"",""path_smooth"":""0"",""quadrants"":""4"",""resref"":""MTAN""},""sounds"":{""attack"":""tanar04,blank,blank"",""attack_backslash"":""tanar03,blank,blank"",""attack_backslash_frame"":""0,0,0"",""attack_frame"":""0,0,0"",""attack_jab"":""tanar04,blank,blank"",""attack_jab_frame"":""0,0,0"",""attack_slash"":""tanar03,blank,blank"",""attack_slash_frame"":""0,0,0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":""tanar01a,tanar02a"",""battle_cry_frame"":""0,0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":""tanar06"",""damage_frame"":""0"",""die"":""tanar07a"",""die_frame"":""0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""fal_03b"",""fall_frame"":""0"",""head_turn"":"""",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":""tanar01a"",""selection_frame"":""0"",""shoot"":"""",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x1101,4353,DRAGON_WHITE,yes,yes,DRAGON_WHITE,,,,0x1000,1000,monster_quadrant,1101.INI,data/Patch2.bif,8234DA0D75F3AB0B9AACD366CEACEF3CF21CCCC768BBB96A0E4E21DD51E34CFF,,0,,,,MWDR,,,,,,,,,,"{""general"":{""animation_type"":""1000"",""cast_frame"":""4"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""72"",""move_scale"":""12"",""personal_space"":""7"",""sound_freq"":""9""},""monster_quadrant"":{""caster"":""0"",""extend_direction"":""1"",""extend_direction_test"":""9"",""false_color"":""0"",""path_smooth"":""0"",""quadrants"":""4"",""resref"":""MWDR""},""sounds"":{""attack"":""dragon03"",""attack_backslash"":""tanar03,blank,blank"",""attack_backslash_frame"":""0,0,0"",""attack_frame"":""0,0,0"",""attack_jab"":""tanar04,blank,blank"",""attack_jab_frame"":""0,0,0"",""attack_slash"":""dragon03"",""attack_slash_frame"":""0,0,0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":""dragon01,dragon02"",""battle_cry_frame"":""0,0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":""dragon07,dragon08"",""damage_frame"":""0"",""die"":""dragon09"",""die_frame"":""0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""fal_03b"",""fall_frame"":""0"",""head_turn"":"""",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":""tanar01"",""selection_frame"":""0"",""shoot"":"""",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x1102,4354,FIEND_BLUE,yes,yes,FIEND_BLUE,,,,0x1000,1000,monster_quadrant,1102.INI,data/Patch2.bif,E488759175119F302B5826A693DED12F6C02FC3CC47B46006B398217E3DCB63A,,0,,,,MTAN,,,,,,,,,,"{""general"":{""animation_type"":""1000"",""cast_frame"":""4"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""32"",""move_scale"":""8"",""new_palette"":""MTAN_BL"",""personal_space"":""5"",""sound_freq"":""8""},""monster_quadrant"":{""caster"":""1"",""extend_direction"":""1"",""extend_direction_test"":""9"",""false_color"":""0"",""path_smooth"":""0"",""quadrants"":""4"",""resref"":""MTAN""},""sounds"":{""attack"":""tanar04,blank,blank"",""attack_backslash"":""tanar03,blank,blank"",""attack_backslash_frame"":""0,0,0"",""attack_frame"":""0,0,0"",""attack_jab"":""tanar04,blank,blank"",""attack_jab_frame"":""0,0,0"",""attack_slash"":""tanar03,blank,blank"",""attack_slash_frame"":""0,0,0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":""tanar01a,tanar02a"",""battle_cry_frame"":""0,0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":""tanar06"",""damage_frame"":""0"",""die"":""tanar07a"",""die_frame"":""0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""fal_03b"",""fall_frame"":""0"",""head_turn"":"""",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":""tanar01a"",""selection_frame"":""0"",""shoot"":"""",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x1103,4355,FIEND_GREEN,yes,yes,FIEND_GREEN,,,,0x1000,1000,monster_quadrant,1103.INI,data/Patch2.bif,129896FF7B1F522D146101477D76DBFD7883757EF27AD470B179F03B7327DB09,,0,,,,MTAN,,,,,,,,,,"{""general"":{""animation_type"":""1000"",""cast_frame"":""4"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""32"",""move_scale"":""8"",""new_palette"":""MTAN_GR"",""personal_space"":""5"",""sound_freq"":""8""},""monster_quadrant"":{""caster"":""1"",""extend_direction"":""1"",""extend_direction_test"":""9"",""false_color"":""0"",""path_smooth"":""0"",""quadrants"":""4"",""resref"":""MTAN""},""sounds"":{""attack"":""tanar04,blank,blank"",""attack_backslash"":""tanar03,blank,blank"",""attack_backslash_frame"":""0,0,0"",""attack_frame"":""0,0,0"",""attack_jab"":""tanar04,blank,blank"",""attack_jab_frame"":""0,0,0"",""attack_slash"":""tanar03,blank,blank"",""attack_slash_frame"":""0,0,0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":""tanar01a,tanar02a"",""battle_cry_frame"":""0,0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":""tanar06"",""damage_frame"":""0"",""die"":""tanar07a"",""die_frame"":""0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""fal_03b"",""fall_frame"":""0"",""head_turn"":"""",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":""tanar01a"",""selection_frame"":""0"",""shoot"":"""",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x1104,4356,FIEND_RED,yes,yes,FIEND_RED,,,,0x1000,1000,monster_quadrant,1104.INI,data/Patch2.bif,BF12E98AE21B1622AFB78D0B82CE6BC50635F1AA88A32B104CC9525485143834,,0,,,,MTAN,,,,,,,,,,"{""general"":{""animation_type"":""1000"",""cast_frame"":""4"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""32"",""move_scale"":""8"",""new_palette"":""MTAN_RD"",""personal_space"":""5"",""sound_freq"":""8""},""monster_quadrant"":{""caster"":""1"",""extend_direction"":""1"",""extend_direction_test"":""9"",""false_color"":""0"",""path_smooth"":""0"",""quadrants"":""4"",""resref"":""MTAN""},""sounds"":{""attack"":""tanar04,blank,blank"",""attack_backslash"":""tanar03,blank,blank"",""attack_backslash_frame"":""0,0,0"",""attack_frame"":""0,0,0"",""attack_jab"":""tanar04,blank,blank"",""attack_jab_frame"":""0,0,0"",""attack_slash"":""tanar03,blank,blank"",""attack_slash_frame"":""0,0,0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":""tanar01a,tanar02a"",""battle_cry_frame"":""0,0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":""tanar06"",""damage_frame"":""0"",""die"":""tanar07a"",""die_frame"":""0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""fal_03b"",""fall_frame"":""0"",""head_turn"":"""",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":""tanar01a"",""selection_frame"":""0"",""shoot"":"""",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x1105,4357,DRAGON_GREEN_IWD,yes,yes,DRAGON_GREEN_IWD,,,,0x1000,1000,monster_quadrant,1105.INI,data/Patch2.bif,EBC2478B588C2B4B8901EC01AEF886037BA7E9F82E6BFAC7A06A06BD1CD84C23,,0,,,,MWDR,,,,,,,,,,"{""general"":{""animation_type"":""1000"",""cast_frame"":""4"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""72"",""move_scale"":""12"",""new_palette"":""MWDR_GR"",""personal_space"":""7"",""sound_freq"":""9""},""monster_quadrant"":{""caster"":""0"",""extend_direction"":""1"",""extend_direction_test"":""9"",""false_color"":""0"",""path_smooth"":""0"",""quadrants"":""4"",""resref"":""MWDR""},""sounds"":{""attack"":""dragon03"",""attack_backslash"":""tanar03,blank,blank"",""attack_backslash_frame"":""0,0,0"",""attack_frame"":""0,0,0"",""attack_jab"":""tanar04,blank,blank"",""attack_jab_frame"":""0,0,0"",""attack_slash"":""dragon03"",""attack_slash_frame"":""0,0,0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":""dragon01,dragon02"",""battle_cry_frame"":""0,0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":""dragon07,dragon08"",""damage_frame"":""0"",""die"":""dragon09"",""die_frame"":""0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""fal_03b"",""fall_frame"":""0"",""head_turn"":"""",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":""tanar01"",""selection_frame"":""0"",""shoot"":"""",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x1200,4608,DRAGON_RED,yes,yes,DRAGON_RED,,,,0x1000,1000,multi_new,1200.INI,data/Patch2.bif,ED6D3B45A706B01335D03FE95380BAC11BDD25B8E8A8F714D573CC06FD5AA1EF,1,0,1,1,,MDR1,,,,,,,,,,"{""general"":{""animation_type"":""1000"",""cast_frame"":""9"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""72"",""move_scale"":""14"",""personal_space"":""13"",""sound_freq"":""8""},""multi_new"":{""can_lie_down"":""1"",""detected_by_infravision"":""1"",""false_color"":""0"",""path_smooth"":""1"",""quadrants"":""9"",""resref"":""MDR1"",""split_bams"":""1""},""sounds"":{""attack"":""red01,blank"",""attack_backslash"":""red04,blank"",""attack_backslash_frame"":""2,0"",""attack_frame"":""2,0"",""attack_jab"":""red05,blank"",""attack_jab_frame"":""2,0"",""attack_slash"":""red03,blank"",""attack_slash_frame"":""2,0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":""red01,red02"",""battle_cry_frame"":""0,0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":""red06"",""damage_frame"":""0"",""die"":""red07"",""die_frame"":""0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""fal_03b"",""fall_frame"":""0"",""head_turn"":"""",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":""red01"",""selection_frame"":""0"",""shoot"":"""",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
