asset_key,asset_id,family_id,variant_id,asset_directory,source_set_sha256,production_run,production_run_sha256,production_state,selected_run,selected_run_sha256,qa_state,qa_evidence,installation_state,installation_receipt,catalog_generation,release_state,release_candidate,notes
sprites:family:0x4001:body:base-resref:SNONE:SNONE:x2-nearest,sprites:family:0x4001:body:base-resref:SNONE:SNONE,0x4001:body:base-resref:SNONE:SNONE,x2-nearest,sprite/families/ambient-static/town-static/40xx/4001-snone-null-animation,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4002:body:base-resref:SNOMM:SNOMM:x2-nearest,sprites:family:0x4002:body:base-resref:SNOMM:SNOMM,0x4002:body:base-resref:SNOMM:SNOMM,x2-nearest,sprite/families/ambient-static/town-static/40xx/4002-snomm-static-noble-man-matte,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4010:body:base-resref:SNOWC:SNOWC:x2-nearest,sprites:family:0x4010:body:base-resref:SNOWC:SNOWC,0x4010:body:base-resref:SNOWC:SNOWC,x2-nearest,sprite/families/ambient-static/town-static/40xx/4010-snowc-static-noble-woman-chair,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4012:body:base-resref:SNOWM:SNOWM:x2-nearest,sprites:family:0x4012:body:base-resref:SNOWM:SNOWM,0x4012:body:base-resref:SNOWM:SNOWM,x2-nearest,sprite/families/ambient-static/town-static/40xx/4012-snowm-static-noble-woman-matte,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4100:body:base-resref:SSIMC:SSIMC:x2-nearest,sprites:family:0x4100:body:base-resref:SSIMC:SSIMC,0x4100:body:base-resref:SSIMC:SSIMC,x2-nearest,sprite/families/ambient-static/town-static/41xx/4100-ssimc-static-peasant-man-chair,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4101:body:base-resref:SSIMS:SSIMS:x2-nearest,sprites:family:0x4101:body:base-resref:SSIMS:SSIMS,0x4101:body:base-resref:SSIMS:SSIMS,x2-nearest,sprite/families/ambient-static/town-static/41xx/4101-ssims-static-peasant-man-stool,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4102:body:base-resref:SSIMM:SSIMM:x2-nearest,sprites:family:0x4102:body:base-resref:SSIMM:SSIMM,0x4102:body:base-resref:SSIMM:SSIMM,x2-nearest,sprite/families/ambient-static/town-static/41xx/4102-ssimm-static-peasant-man-matte,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4110:body:base-resref:SSIWC:SSIWC:x2-nearest,sprites:family:0x4110:body:base-resref:SSIWC:SSIWC,0x4110:body:base-resref:SSIWC:SSIWC,x2-nearest,sprite/families/ambient-static/town-static/41xx/4110-ssiwc-static-peasant-woman-chair,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4112:body:base-resref:SSIWM:SSIWM:x2-nearest,sprites:family:0x4112:body:base-resref:SSIWM:SSIWM,0x4112:body:base-resref:SSIWM:SSIWM,x2-nearest,sprite/families/ambient-static/town-static/41xx/4112-ssiwm-static-peasant-woman-matte,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4200:body:base-resref:SHMCM:SHMCM:x2-nearest,sprites:family:0x4200:body:base-resref:SHMCM:SHMCM,0x4200:body:base-resref:SHMCM:SHMCM,x2-nearest,sprite/families/ambient-static/town-static/42xx/4200-shmcm-static-humancleric-man-chair,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4300:body:base-resref:MSPLG1:MSPLG1:x2-nearest,sprites:family:0x4300:body:base-resref:MSPLG1:MSPLG1,0x4300:body:base-resref:MSPLG1:MSPLG1,x2-nearest,sprite/families/ambient-static/town-static/43xx/4300-msplg1-static-spider-woman,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4400:body:base-resref:LHMC:LHMC:x2-nearest,sprites:family:0x4400:body:base-resref:LHMC:LHMC,0x4400:body:base-resref:LHMC:LHMC,x2-nearest,sprite/families/ambient-static/town-static/44xx/4400-lhmc-sleeping-man-human,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4410:body:base-resref:LHFC:LHFC:x2-nearest,sprites:family:0x4410:body:base-resref:LHFC:LHFC,0x4410:body:base-resref:LHFC:LHFC,x2-nearest,sprite/families/ambient-static/town-static/44xx/4410-lhfc-sleeping-woman-human,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4500:body:base-resref:LFAM:LFAM:x2-nearest,sprites:family:0x4500:body:base-resref:LFAM:LFAM,0x4500:body:base-resref:LFAM:LFAM,x2-nearest,sprite/families/ambient-static/town-static/45xx/4500-lfam-sleeping-fat-man-human,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4600:body:base-resref:LDMF:LDMF:x2-nearest,sprites:family:0x4600:body:base-resref:LDMF:LDMF,0x4600:body:base-resref:LDMF:LDMF,x2-nearest,sprite/families/ambient-static/town-static/46xx/4600-ldmf-sleeping-dwarf,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4700:body:base-resref:LEMF:LEMF:x2-nearest,sprites:family:0x4700:body:base-resref:LEMF:LEMF,0x4700:body:base-resref:LEMF:LEMF,x2-nearest,sprite/families/ambient-static/town-static/47xx/4700-lemf-sleeping-man-elf,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4710:body:base-resref:LEFF:LEFF:x2-nearest,sprites:family:0x4710:body:base-resref:LEFF:LEFF,0x4710:body:base-resref:LEFF:LEFF,x2-nearest,sprite/families/ambient-static/town-static/47xx/4710-leff-sleeping-woman-elf,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4800:body:base-resref:LIMC:LIMC:x2-nearest,sprites:family:0x4800:body:base-resref:LIMC:LIMC,0x4800:body:base-resref:LIMC:LIMC,x2-nearest,sprite/families/ambient-static/town-static/48xx/4800-limc-sleeping-man-halfling,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:body:armor-code:1:CHMB1:x2-nearest,sprites:family:0x5000:body:armor-code:1:CHMB1,0x5000:body:armor-code:1:CHMB1,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/chmb1,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:body:armor-code:2:CHMB2:x2-nearest,sprites:family:0x5000:body:armor-code:2:CHMB2,0x5000:body:armor-code:2:CHMB2,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/chmb2,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:body:armor-code:3:CHMB3:x2-nearest,sprites:family:0x5000:body:armor-code:3:CHMB3,0x5000:body:armor-code:3:CHMB3,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/chmb3,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:body:armor-code:4:CHMC4:x2-nearest,sprites:family:0x5000:body:armor-code:4:CHMC4,0x5000:body:armor-code:4:CHMC4,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/chmc4,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:H0:WQLH0:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:H0:WQLH0,0x5000:helmet:item-animation-code:H0:WQLH0,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/bdhelm09-wqlh0,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:H1:WQLH1:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:H1:WQLH1,0x5000:helmet:item-animation-code:H1:WQLH1,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/misc9p-wqlh1,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:H2:WQLH2:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:H2:WQLH2,0x5000:helmet:item-animation-code:H2:WQLH2,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/dhelm01-wqlh2,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:H5:WQLH5:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:H5:WQLH5,0x5000:helmet:item-animation-code:H5:WQLH5,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/ihelm10-wqlh5,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:J0:WQLJ0:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:J0:WQLJ0,0x5000:helmet:item-animation-code:J0:WQLJ0,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/helm15-wqlj0,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:J1:WQLJ1:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:J1:WQLJ1,0x5000:helmet:item-animation-code:J1:WQLJ1,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/chalhelm-wqlj1,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:J2:WQLJ2:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:J2:WQLJ2,0x5000:helmet:item-animation-code:J2:WQLJ2,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/helm21-wqlj2,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:J3:WQLJ3:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:J3:WQLJ3,0x5000:helmet:item-animation-code:J3:WQLJ3,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/helm02-wqlj3,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:J4:WQLJ4:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:J4:WQLJ4,0x5000:helmet:item-animation-code:J4:WQLJ4,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/helm16-wqlj4,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:J5:WQLJ5:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:J5:WQLJ5,0x5000:helmet:item-animation-code:J5:WQLJ5,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/helm13-wqlj5,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:J6:WQLJ6:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:J6:WQLJ6,0x5000:helmet:item-animation-code:J6:WQLJ6,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/helm01-wqlj6,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:J7:WQLJ7:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:J7:WQLJ7,0x5000:helmet:item-animation-code:J7:WQLJ7,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/helm07-wqlj7,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:J8:WQLJ8:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:J8:WQLJ8,0x5000:helmet:item-animation-code:J8:WQLJ8,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/helm03-wqlj8,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:J9:WQLJ9:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:J9:WQLJ9,0x5000:helmet:item-animation-code:J9:WQLJ9,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/compon05-wqlj9,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:JA:WQLJA:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:JA:WQLJA,0x5000:helmet:item-animation-code:JA:WQLJA,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/helm05-wqlja,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:JB:WQLJB:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:JB:WQLJB,0x5000:helmet:item-animation-code:JB:WQLJB,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/bdhelm16-wqljb,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:JC:WQLJC:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:JC:WQLJC,0x5000:helmet:item-animation-code:JC:WQLJC,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/helm12-wqljc,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:YW:WQLYW:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:YW:WQLYW,0x5000:helmet:item-animation-code:YW:WQLYW,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/wings01b-wqlyw,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:helmet:item-animation-code:ZW:WQLZW:x2-nearest,sprites:family:0x5000:helmet:item-animation-code:ZW:WQLZW,0x5000:helmet:item-animation-code:ZW:WQLZW,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/wings01-wqlzw,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:C0:WQLC0:x2-nearest,sprites:family:0x5000:shield:item-animation-code:C0:WQLC0,0x5000:shield:item-animation-code:C0:WQLC0,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/shld01-wqlc0,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:C1:WQLC1:x2-nearest,sprites:family:0x5000:shield:item-animation-code:C1:WQLC1,0x5000:shield:item-animation-code:C1:WQLC1,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/shld03-wqlc1,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:C2:WQLC2:x2-nearest,sprites:family:0x5000:shield:item-animation-code:C2:WQLC2,0x5000:shield:item-animation-code:C2:WQLC2,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/shld05-wqlc2,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:C3:WQLC3:x2-nearest,sprites:family:0x5000:shield:item-animation-code:C3:WQLC3,0x5000:shield:item-animation-code:C3:WQLC3,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/chalshld-wqlc3,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:C4:WQLC4:x2-nearest,sprites:family:0x5000:shield:item-animation-code:C4:WQLC4,0x5000:shield:item-animation-code:C4:WQLC4,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/ohshld50-wqlc4,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:C5:WQLC5:x2-nearest,sprites:family:0x5000:shield:item-animation-code:C5:WQLC5,0x5000:shield:item-animation-code:C5:WQLC5,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/shld26-wqlc5,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:C6:WQLC6:x2-nearest,sprites:family:0x5000:shield:item-animation-code:C6:WQLC6,0x5000:shield:item-animation-code:C6:WQLC6,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/shld07-wqlc6,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:C7:WQLC7:x2-nearest,sprites:family:0x5000:shield:item-animation-code:C7:WQLC7,0x5000:shield:item-animation-code:C7:WQLC7,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/dwshld01-wqlc7,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:D1:WQLD1:x2-nearest,sprites:family:0x5000:shield:item-animation-code:D1:WQLD1,0x5000:shield:item-animation-code:D1:WQLD1,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/bdshld01-wqld1,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:D2:WQLD2:x2-nearest,sprites:family:0x5000:shield:item-animation-code:D2:WQLD2,0x5000:shield:item-animation-code:D2:WQLD2,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/dshld01-wqld2,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:D3:WQLD3:x2-nearest,sprites:family:0x5000:shield:item-animation-code:D3:WQLD3,0x5000:shield:item-animation-code:D3:WQLD3,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/ishld03-wqld3,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:shield:item-animation-code:D4:WQLD4:x2-nearest,sprites:family:0x5000:shield:item-animation-code:D4:WQLD4,0x5000:shield:item-animation-code:D4:WQLD4,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/shld05a-wqld4,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:weapon:item-animation-code:AX:WQLAX:x2-nearest,sprites:family:0x5000:weapon:item-animation-code:AX:WQLAX,0x5000:weapon:item-animation-code:AX:WQLAX,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/ax1h01-wqlax,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x5000:weapon:item-animation-code:BS:WQLBS:x2-nearest,sprites:family:0x5000:weapon:item-animation-code:BS:WQLBS,0x5000:weapon:item-animation-code:BS:WQLBS,x2-nearest,sprite/families/playable-characters/5000-human-male-cleric-low/bow05-wqlbs,,,,ready,,,not-assessed,,not-installed,,,not-evaluated,,
