item_resref,item_type,item_type_symbol,visual_layer,animation_code_raw_hex,animation_code,animation_code_valid,body_armor_code,source_bif,locator,source_sha256,candidate_family_count,compatible_animation_count,compatible_animation_ids,candidate_bam_prefixes,resolved_bam_prefixes,unresolved_bam_prefixes,pipeline_ready_prefixes,override_collision,blocker
AERIEBAB,0,MISC,,2020,,no,,data/25Items.bif,0x08400002,0A7C4F36D8CE243C4F4E6C2DB051DB5B4796E5F28152456480F5CE61C93BD2D6,0,0,,,,,,no,
AIFAST,10,RING,,2020,,no,,data/Items.bif,0x00100008,81BA48BD8B6F253ECDC658524DCC840FB334AC8FEF4885DB981C50789B895514,0,0,,,,,,no,
ALDETH,10,RING,,2020,,no,,data/Items.bif,0x00100009,5E638A62836720E8B8187C80FA2868C5ACA2843D401311BF528E51CCF11EA43C,0,0,,,,,,no,
AMSOUL01,7,HELMET,helmet,2020,,no,,data/25Items.bif,0x08400003,D8BA45A7BF6704320FAD62EC2B83B2ED28FC5FEFAFE79F41D5598C53E4DAF238,0,0,,,,,,no,no-compatible-character-family;visual-animation-code-invalid
AMUL01,1,AMULET,,2020,,no,,data/Items.bif,0x0010000A,22C239D3E7671A43BCA97ABE2180450BA1B117B03D580317B7FD81F5C1A903A8,0,0,,,,,,no,
AMUL02,1,AMULET,,2020,,no,,data/Items.bif,0x0010000B,626D18DEB5BC8853797418A4AC8B6870D6508D27DEFE9654BAD38748C1C042F0,0,0,,,,,,no,
AMUL04,1,AMULET,,2020,,no,,data/Items.bif,0x0010000C,B825EA519A29CAF075CAD141CA612E4C2FAC7761ACB59234FEC5F8FF0C232E9E,0,0,,,,,,no,
AMUL05,1,AMULET,,2020,,no,,data/Items.bif,0x0010000D,BB687CB3DA655C1059235A134CC5FC582C5022E581C930E5DCDD0BEF071F4DF5,0,0,,,,,,no,
AMUL06,1,AMULET,,2020,,no,,data/Items.bif,0x0010000E,F19B7C0816BB9BC5B8768BFBE2E3230F3FAB5F0C2D02301E74D5F964824C482D,0,0,,,,,,no,
AMUL07,1,AMULET,,2020,,no,,data/Items.bif,0x0010000F,D1C04CA539CE15099B8B6A8E06659029F94DF12D592FA15E12EC4E84D626A657,0,0,,,,,,no,
AMUL08,1,AMULET,,2020,,no,,data/Items.bif,0x00100010,297057A4BB8581A2E547B540F82AD6D6DBC98BB1043763D35370416A0B8C6821,0,0,,,,,,no,
AMUL09,1,AMULET,,2020,,no,,data/Items.bif,0x00100011,2A9AF0C4D0377236CFBE21371AD123F2E84F6AFDB8F8197D2BB78EE0B1CD560B,0,0,,,,,,no,
AMUL10,1,AMULET,,2020,,no,,data/Items.bif,0x00100012,52A652710BB9DEE0785DA36BD637A5025DA8D785163B09FC6B83B8B8A5D79FB2,0,0,,,,,,no,
AMUL11,1,AMULET,,2020,,no,,data/Items.bif,0x00100013,942CE21EE5D5355EAF009DDC3ADAE4E1FE4DE52DB12EE77C326E97B7F87960C4,0,0,,,,,,no,
AMUL12,1,AMULET,,2020,,no,,data/Items.bif,0x00100014,8ABEBA58DEDD6CBD8DA2A258732FFCF05A6E59BF49C15BC374DC923FC91317C0,0,0,,,,,,no,
AMUL13,1,AMULET,,2020,,no,,data/Items.bif,0x00100015,24AC47A24B815A2615BC57CC245EC242938AD855C5D5462F6A26CC8FD568A41A,0,0,,,,,,no,
AMUL14,1,AMULET,,2020,,no,,data/Items.bif,0x00100016,5B99B582790DEFDF42B532A29014A25FC595216E724652750357C22860E7E5A2,0,0,,,,,,no,
AMUL15,1,AMULET,,2020,,no,,data/Items.bif,0x00100017,B7D8C203238C4EB69F7F8E663EF4A36B2569E37E462B906F861D42C9E83386FF,0,0,,,,,,no,
AMUL16,1,AMULET,,2020,,no,,data/Items.bif,0x00100018,605FCB7FAB49C44B4DDF42D09525F1C290AD4670BD89162BD71EECFD94D6AD25,0,0,,,,,,no,
AMUL17,1,AMULET,,2020,,no,,data/Items.bif,0x00100019,7B4E7FA432C172CB46ABC8A14B08882825E01796C80871ADE8D1FC1782A667F9,0,0,,,,,,no,
AMUL18,1,AMULET,,2020,,no,,data/Items.bif,0x0010001A,E50BF14CA3D441002FD8DCD5B6D37D6E9A9FF0AEA6F02582726FA4370E12407D,0,0,,,,,,no,
AMUL19,1,AMULET,,2020,,no,,data/Items.bif,0x0010001B,AAB16BA52A7467D5FFB1410F1C7FD1CA608AFF27C85442A0E13D69BEA78C6155,0,0,,,,,,no,
AMUL20,1,AMULET,,2020,,no,,data/Items.bif,0x0010001C,8CFE33CAC2B176EF489208ABDCE2546BBF375A6ACFA668C21B1BA5349D80C089,0,0,,,,,,no,
AMUL21,1,AMULET,,2020,,no,,data/Items.bif,0x0010001D,E04C693D33513EF0F61485BD9DA0BD628379AD3EED363D123BB1CB55C954B2E5,0,0,,,,,,no,
AMUL22,1,AMULET,,2020,,no,,data/Items.bif,0x0010001E,F335A07AAE5EB451F097DB802BEBB7062C3AF5BBD1D51FF2155E13A0A34DAAF8,0,0,,,,,,no,
AMUL23,1,AMULET,,2020,,no,,data/Items.bif,0x0010001F,920A21B05AE9AA57C41E6A6AB3E9524F24FDBD8A25DBE8676139BA25A27D0B34,0,0,,,,,,no,
AMUL24,1,AMULET,,2020,,no,,data/Items.bif,0x00100020,3FDD2B5E54580657073BAE5B33F2B3D12BEA4F26D629E6943D8AF5EE13D22343,0,0,,,,,,no,
AMUL25,1,AMULET,,2020,,no,,data/Items.bif,0x00100021,D90A9D18E212442E6DEE8EF10529699446F4EF8C8A08999290D1C989076EB376,0,0,,,,,,no,
AMUL26,1,AMULET,,2020,,no,,data/25Items.bif,0x08400004,D2C5088BC20690E797E082A6651E6A9BC6DD84E0E00DBDD4F8358F30B6511F03,0,0,,,,,,no,
AMUL27,1,AMULET,,2020,,no,,data/25Items.bif,0x08400005,AD96954D903B75713C0640FE9569BF11AFF9E114820FD6F827DC548DD8CD4D44,0,0,,,,,,no,
AMUL28,1,AMULET,,2020,,no,,data/25Items.bif,0x08400006,3C837DB1DEA5C10982AA60245B89CE12450AE5F4C6C6C6EA675A3BABFA139BFD,0,0,,,,,,no,
ANGAROW,5,ARROW,,2020,,no,,data/25Items.bif,0x08400007,4848408BFD947C83073069D5457430109A0CBDCE85CAD63572B2D4463D3DC31C,0,0,,,,,,no,
ANKACID,0,MISC,,2020,,no,,data/Items.bif,0x00100022,1A67A190C91C04272515AF2C34DAACA63F8210A1ED40F02F996EE9EA766DCEE5,0,0,,,,,,no,
ANKHEG1,0,MISC,,2020,,no,,data/Items.bif,0x00100023,1EBC17636AC89A67F9C4AB2276BF205E83A081AB418E00038442DAE77DEB6D5D,0,0,,,,,,no,
ANKHEG2,0,MISC,,2020,,no,,data/Items.bif,0x00100024,79633B28BC9A5C9BE7FD3F8036FF4C3718CFDF8E49FD8E0909244CA7BA6F5D66,0,0,,,,,,no,
ANTIWEB,1,AMULET,,0000,,no,,data/Items.bif,0x00100025,31926876C92D06337803848A5482AE385BBB7B83E58E37F65DFA278B41695B79,0,0,,,,,,no,
AROW01,5,ARROW,,2020,,no,,data/Items.bif,0x00100026,52209DCEDDF99FEC75E20A694B42906FA3F9EA74C6CACAD5D62D33EFF22F9D91,0,0,,,,,,no,
AROW02,5,ARROW,,2020,,no,,data/Items.bif,0x00100027,A37AE5D64A2B6E3EFDC4D67FCD6DE29F465DDBD22412FA46762B90B3E3791A0D,0,0,,,,,,no,
AROW03,5,ARROW,,2020,,no,,data/Items.bif,0x00100028,F706A75174B81F75D1044C90BAD2C6A535D1D386130082A714D9B068C4038CA9,0,0,,,,,,no,
AROW04,5,ARROW,,2020,,no,,data/Items.bif,0x00100029,BF9E67A9E6BFA4D6BABAD0EB3506EEDE546AE9775DEBA30857314A377E37383F,0,0,,,,,,no,
AROW05,5,ARROW,,2020,,no,,data/Items.bif,0x0010002A,9DCEB9E71D3464A33D1EEAED9CE9AA85ECBFF353D4A321DD2691EB66C6488AA6,0,0,,,,,,no,
AROW06,5,ARROW,,2020,,no,,data/Items.bif,0x0010002B,2C208CC633D6D869AB0B2E2C0BE5EEC38706459613F7EA326A99DEBD4B382B6B,0,0,,,,,,no,
AROW07,5,ARROW,,2020,,no,,data/Items.bif,0x0010002C,7235D9B3176B5F3BEE3868BFD247329D480EC7C59CC653DB3D4D49BC7C765013,0,0,,,,,,no,
AROW08,5,ARROW,,2020,,no,,data/Items.bif,0x0010002D,653759D0B2C5375219D1E20216422C6558EA1BF038785DBEECEBC2D515E8D07B,0,0,,,,,,no,
AROW09,5,ARROW,,2020,,no,,data/Items.bif,0x0010002E,EC4F5A74A993813AE11B6B99BB0C89CDFA8072D51133E7300C2FE25B0B222E5D,0,0,,,,,,no,
AROW10,5,ARROW,,2020,,no,,data/Items.bif,0x0010002F,6E789BEB6AE86CB2C99BEB31152EADE6A66DB6CEBDB4D770508E6A965268B839,0,0,,,,,,no,
AROW11,5,ARROW,,2020,,no,,data/Items.bif,0x00100030,D36AEB7088A4FA1C08EAF41B37E5F502EEF7BCF74BCBEFF9910E215F962B2D08,0,0,,,,,,no,
AROW12,5,ARROW,,2020,,no,,data/Items.bif,0x00100031,CC101A5B7E1195F62725B0C547936A34684E6636F0442E7C2F4426FBB682966B,0,0,,,,,,no,
AROW13,0,MISC,,2020,,no,,data/Items.bif,0x00100032,C27860FF35CEF6A631E73EED225CAFD89D66D87EA88698D4993C407D907ADB5A,0,0,,,,,,no,
AROW14,5,ARROW,,2020,,no,,data/Items.bif,0x00100033,3FC9304E6092C0D7B72962317AD41F9E3D28E8FD66FF2AF00A105641953BC28B,0,0,,,,,,no,
AROW15,5,ARROW,,2020,,no,,data/Items.bif,0x00100034,1869E4F9400DF9769A2EF98CD16C0A3E088F771E46C99F9141875C0D3870FA98,0,0,,,,,,no,
AROW16,5,ARROW,,2020,,no,,data/Items.bif,0x00100035,23A4C637C4EF1C2554065A2DAF3AC4EC374922B5F9A8CAB3CC5A50E2B32FB3AC,0,0,,,,,,no,
AROW1A,5,ARROW,,2020,,no,,data/Items.bif,0x00100036,1FB467B69BFC4FC6AFC5EFDACEF0A9C546C3261C67EF9456B435A32FFE13C1FE,0,0,,,,,,no,
AROWKC,5,ARROW,,2020,,no,,data/Items.bif,0x00100037,FE8059A1466B4B8A66596EA10FB40141E647AC978FC30EAB567FA62D110A5F57,0,0,,,,,,no,
ARROPHE2,5,ARROW,,2020,,no,,data/Items.bif,0x00100038,0A6422B2870327CD0B276DDE62FA45530FA5F3769380CAB572E0FAF269A99D2C,0,0,,,,,,no,
ARROPHEO,15,BOW,weapon,4257,BW,yes,,data/Items.bif,0x00100039,FA39672295A57C8382EEDDF00AEAD62D392D7105A8C78150DC0DD39F2DC34656,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLBW;WQMBW;WQNBW;WQSBW,WQLBW;WQMBW;WQNBW;WQSBW,,WQLBW;WQMBW;WQNBW;WQSBW,no,
AURSTAF,26,STAFF,weapon,2020,,no,,data/25Items.bif,0x08400008,63C8D3BF3047998B2E8BA64EB43432602C15D41C20F828B5A512A44C1A0A39A0,0,0,,,,,,no,no-compatible-character-family;visual-animation-code-invalid
AVATAR,10,RING,,2020,,no,,data/Items.bif,0x0010003A,A3B618D29589E4B9282BD752811969D066060971BADE7F7178E2EFC57EC96E7A,0,0,,,,,,no,
AX1H01,25,AXE,weapon,4158,AX,yes,,data/Items.bif,0x0010003B,6CAB3FBCE54986241CCBA7A242812F87921507819FDB4EB46211F9E90794433B,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLAX;WQMAX;WQNAX;WQSAX,WQLAX;WQMAX;WQNAX;WQSAX,,WQLAX;WQMAX;WQNAX;WQSAX,no,
AX1H02,25,AXE,weapon,4158,AX,yes,,data/Items.bif,0x0010003C,2B9DE067F497856B9D214F29019C243D88332CC7993A7E43C4354D13697737DF,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLAX;WQMAX;WQNAX;WQSAX,WQLAX;WQMAX;WQNAX;WQSAX,,WQLAX;WQMAX;WQNAX;WQSAX,no,
AX1H03,25,AXE,weapon,4158,AX,yes,,data/Items.bif,0x0010003D,00443E8C8DC6C8C0B15D29698C061F2D15501999791750F3B017FE708520D054,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLAX;WQMAX;WQNAX;WQSAX,WQLAX;WQMAX;WQNAX;WQSAX,,WQLAX;WQMAX;WQNAX;WQSAX,no,
AX1H04,25,AXE,weapon,4158,AX,yes,,data/Items.bif,0x0010003E,A0645460740E0E8B72B9243353982CDCD379844F05375FD7F16BF9637142F52F,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLAX;WQMAX;WQNAX;WQSAX,WQLAX;WQMAX;WQNAX;WQSAX,,WQLAX;WQMAX;WQNAX;WQSAX,no,
AX1H05,25,AXE,weapon,4158,AX,yes,,data/Items.bif,0x0010003F,F16D8C241040169D20A9437138BB8DB100C92FD3D98A9028FD38141B12B59416,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLAX;WQMAX;WQNAX;WQSAX,WQLAX;WQMAX;WQNAX;WQSAX,,WQLAX;WQMAX;WQNAX;WQSAX,no,
AX1H06,25,AXE,weapon,4158,AX,yes,,data/Items.bif,0x00100040,43A00A17BC00F7C40324AC6077635B34B6B7C1C45FEEC00857362AC402241A78,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLAX;WQMAX;WQNAX;WQSAX,WQLAX;WQMAX;WQNAX;WQSAX,,WQLAX;WQMAX;WQNAX;WQSAX,no,
AX1H07,25,AXE,weapon,4158,AX,yes,,data/Items.bif,0x00100041,FEA36638E97410919529C477A810F00833A04A290599B277BE0666777223FC8D,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLAX;WQMAX;WQNAX;WQSAX,WQLAX;WQMAX;WQNAX;WQSAX,,WQLAX;WQMAX;WQNAX;WQSAX,no,
AX1H08,25,AXE,weapon,4158,AX,yes,,data/Items.bif,0x00100042,9527897A6065B4BC162FFB28FDAEC38D11CF82921815E52790A1848712F41636,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLAX;WQMAX;WQNAX;WQSAX,WQLAX;WQMAX;WQNAX;WQSAX,,WQLAX;WQMAX;WQNAX;WQSAX,no,
AX1H09,25,AXE,weapon,4158,AX,yes,,data/Items.bif,0x00100043,9F897D00EDF3202741EF5E38BA459A97E219C5FB7743784F8FF3114D3306E7D4,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLAX;WQMAX;WQNAX;WQSAX,WQLAX;WQMAX;WQNAX;WQSAX,,WQLAX;WQMAX;WQNAX;WQSAX,no,
AX1H10,25,AXE,weapon,4158,AX,yes,,data/Items.bif,0x00100044,239ADEC078AF66D3E669471556C2F25F6289AAA7036521A7ED926BFEECBB8523,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLAX;WQMAX;WQNAX;WQSAX,WQLAX;WQMAX;WQNAX;WQSAX,,WQLAX;WQMAX;WQNAX;WQSAX,no,
