asset_key,resref,roles,usage_count,owner_count,bam_container,bam_version,frame_count,cycle_count,source_bif,locator,source_size,source_sha256,extracted_path
icon:1CLCK07B,1CLCK07B,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400024,2882,1A628A91393977A4AAF37D3B29177F0240D6AB482C8667C55E48DA2E59AAABD4,icons/source/1CLCK07B.bam
icon:1CLCK27B,1CLCK27B,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400025,2751,0488AED91470C8B9BA08F5E1065AA92251BDA25A140AA8A883D7302808D97F4A,icons/source/1CLCK27B.bam
icon:1CSHLDB1,1CSHLDB1,item-description,6,6,BAM,V2,1,1,data/GUIIcon.bif,0x00400027,216,FCB4D9BE53B62117CA0D94583D983F6BC8A060E6903FEA5127CD549FD3D22716,icons/source/1CSHLDB1.bam
icon:1CSHLDL1,1CSHLDL1,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400028,300,798372630B45782A277ABA865960E4436D4B18B689648BB0F2AE9A810BCE4F56,icons/source/1CSHLDL1.bam
icon:1CSHLDL2,1CSHLDL2,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400029,272,373B2C90CCCC6C9C3305F98876DA5FABE7CB12E25BCDAD33C59B495F362E0E8E,icons/source/1CSHLDL2.bam
icon:1CSHLDL3,1CSHLDL3,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040002A,216,CD9BC951F7A37E1AC870ADCA6CBFA3C092277ADFF8CCB70320CF9AE353557036,icons/source/1CSHLDL3.bam
icon:1CSHLDM2,1CSHLDM2,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040002D,328,5176C360A1D9E4B56EB470B189DEEB79DAC826CE4A3F1F4B11EFB2692B91F9BB,icons/source/1CSHLDM2.bam
icon:1CSTAFM,1CSTAFM,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400030,300,9CB4C1FBC97B6C9683D2FA62B93E69AC9F3672968442F4C56495806A6F8B7D79,icons/source/1CSTAFM.bam
icon:1GSTAFGS,1GSTAFGS,item-ground,3,3,BAMC,V1,1,1,data/GUIIcon.bif,0x00400032,1389,88B5F964FBD07A551E7AA5436DE826DCEC98BEED3DDD302AEE7A4EDCDB81542E,icons/source/1GSTAFGS.bam
icon:1HELM01,1HELM01,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400034,898,399CDB482FD6917FB9EC075E4F4B2746032555971ED938B2BD144B7D4F696E50,icons/source/1HELM01.bam
icon:1HELM02,1HELM02,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400035,1033,13E14BCD8CA5C1ECD5BD90B2D157EDAF03DBF8E24296E0BC39C6A0AE56B771D8,icons/source/1HELM02.bam
icon:1HELM03,1HELM03,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400036,842,E4075E04F0439FFC4F4C8236EA917CBB1DE31A3FDF01AF112CFF6FDE2255D9A8,icons/source/1HELM03.bam
icon:1HELM05,1HELM05,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400038,1166,F8FF30A7033D9802FB88B2D6D8C230001AEADC58B17E74F6443F8BE58A4B394B,icons/source/1HELM05.bam
icon:1HELM07,1HELM07,item-inventory,2,2,BAMC,V1,1,1,data/GUIIcon.bif,0x0040003A,1170,69733F897FA501F1F0A92B5B8DCA7022F0D62FBD5EE38844B23721FD972F97F5,icons/source/1HELM07.bam
icon:1HELM08,1HELM08,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x0040003B,687,764B22BC5C0EB348842A865CB711AA847F1B620C443C23076E60A36A613AD004,icons/source/1HELM08.bam
icon:1HELM12,1HELM12,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x0040003F,548,212A4DBDBC3B5D5C5DCC78F9EE2B9013685AA51CD3C6B818B9AB79DF7F716350,icons/source/1HELM12.bam
icon:1HELM15,1HELM15,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400042,510,50AD188E5771C3794B0B641B80029E91123EE80B1651637A5C5D6B45C73268B8,icons/source/1HELM15.bam
icon:1HELM16,1HELM16,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400043,704,E4C02EF0AA903A5B92FE21AB71EBD00569D0485A66C33FF801729D028AC1EE88,icons/source/1HELM16.bam
icon:1HELM17,1HELM17,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400044,1019,44E600B64BA5DB0920EA20422B959E12FDFBFEC34356A01EA28F261AFBF41045,icons/source/1HELM17.bam
icon:1HELM18,1HELM18,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400045,1123,B0B57E0DE71CBF56A724720F8D85EFA3032B19548B732A42682B7818A7DC22AE,icons/source/1HELM18.bam
icon:1HELM19,1HELM19,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400046,973,FE224729BB317F548FE125E832E508619CF3CD07BC0C42B5B65284F4423CF686,icons/source/1HELM19.bam
icon:1HELM20,1HELM20,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400047,1148,9F2ECD1840234BBEE3431666050D75A13F906313D4692DCDF32EB98C4A7CFFAE,icons/source/1HELM20.bam
icon:1HELM21,1HELM21,item-inventory,2,2,BAMC,V1,1,1,data/GUIIcon.bif,0x00400048,902,DD7CE1E348F7794BE45C3BECB2A4907244DDFEB2E1C892E3028F4750F847BA79,icons/source/1HELM21.bam
icon:1HELM22,1HELM22,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400049,686,B424EBC98414CB6DFFAF60B24DB5FA90F8CA9BE76AD1B93DCCABF48C0DAD120C,icons/source/1HELM22.bam
icon:1HELM24,1HELM24,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x0040004B,880,E4C8E369F9A688AC6228C9A602D3971A5692F9CEF8EC7A04B8C771F54B45E5EA,icons/source/1HELM24.bam
icon:1HELM26,1HELM26,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x0040004D,1106,47608C71F079FC783BCAE3D8AA66F8249124532D3FB4792CC7C2B8D9C92D844A,icons/source/1HELM26.bam
icon:1QBULL03,1QBULL03,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x0040005B,1697,3B7958FACAFFC9CBA34220A2E8C14276E8D7AAE82BC071BA9F9C1E7394035980,icons/source/1QBULL03.bam
icon:1QUIV02,1QUIV02,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x0040005D,1399,F25A10FB3FC3DE6097EA64D4245C2A4122FCFC03F93CC58BA2C8A76E03A5BFFA,icons/source/1QUIV02.bam
icon:1SHLDL02,1SHLDL02,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400061,823,B37CD0575055B2752FD979A62541CD9F9E27516B95F8501D69A1BAB0B9FBC23A,icons/source/1SHLDL02.bam
icon:1SHLDL03,1SHLDL03,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400062,1324,845437934F1167CD9402EA61C79A7E6F824EC8688EE0DB8324F7E1532674E868,icons/source/1SHLDL03.bam
icon:1SHLDL05,1SHLDL05,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400064,1576,F5761C37B3E5034D9DFCE071003183008FC151BC9AFE494651C7235F35C1070E,icons/source/1SHLDL05.bam
icon:1SHLDM02,1SHLDM02,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400066,1371,7B92000A9FD69D6BE03F9F5D1F4EF9BBAA12E8C10EEA5FDBE727894CB0D35B31,icons/source/1SHLDM02.bam
icon:1SWH00,1SWH00,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400069,888,5DADBC6B9F8414AEBBFC88F5DDB4F75830D2620128F9E4EAFE50F23AF306F821,icons/source/1SWH00.bam
icon:C6LANTHO,C6LANTHO,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400074,244,8D32746E8416E53C45B99BEDA14BFB958163CFE02F8AA65F4AEDDBA08D39429D,icons/source/C6LANTHO.bam
icon:CAMUL01,CAMUL01,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400075,328,C63A145769C830C6B26AF332519AEE0D4F0BBB677F0FC21D8AF3CEE846586AD5,icons/source/CAMUL01.bam
icon:CAMUL02,CAMUL02,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x00400076,356,980DF5DF54952299DC1CD80F0981728D06457BE9D09D2440F614627F090DD24B,icons/source/CAMUL02.bam
icon:CAMUL10,CAMUL10,item-description,13,13,BAM,V2,1,1,data/GUIIcon.bif,0x00400077,216,C3CD0F41ABA797305A817AC28D35B07B0F82080D5D67EB26395FDC3E4A8BD3D2,icons/source/CAMUL10.bam
icon:CAMUL14,CAMUL14,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x00400079,328,2D054361910F6E9956F6689AAAFD42CC2CC5CF23A9A050C6BFDEC4551C0F992F,icons/source/CAMUL14.bam
icon:CAMUL15,CAMUL15,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040007A,328,460F2D37F10511365F95D0ED299A8E5A76A001BB2CB49EA347C0F8C46DABCCFC,icons/source/CAMUL15.bam
icon:CAMUL16,CAMUL16,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040007B,356,DCB85A09D5D1ECB58D6112EF5328EFF4424E76C0F150EF4459D4C50086B2937E,icons/source/CAMUL16.bam
icon:CAMUL17,CAMUL17,item-description,3,3,BAM,V2,1,1,data/GUIIcon.bif,0x0040007C,300,8768088CBCA1221D84C7930482BD98DE470641BD1A3E01A2EFE3AA9BDA49149E,icons/source/CAMUL17.bam
icon:CAMUL19,CAMUL19,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040007D,216,F9041420F6FF1C8031F46231F943A8AFF62C2950E75C0D03D755319582EB9F79,icons/source/CAMUL19.bam
icon:CAMUL20,CAMUL20,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040007E,216,B52FFF49CD5DFDB0E235FDFDCAB5215C0D72962C55B6C891AAEEE85ECCB1A6B4,icons/source/CAMUL20.bam
icon:CAMUL21,CAMUL21,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x0040007F,216,2A2F01AF84D28D4F3D59B86D8D2A167E6CB9F2067CEA6E16515EB2E962A64AD4,icons/source/CAMUL21.bam
icon:CAMUL22,CAMUL22,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400080,188,07B951B3B5FD38FF8AC25155AF17AE437C2F2094C95030C84234F2AD05E7CAC0,icons/source/CAMUL22.bam
icon:CAMUL23,CAMUL23,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400081,300,90E7E6E7C83B89C6E04E6348D71C3B8BD678B4D493FE8EE1F6B9F2FD0F00273E,icons/source/CAMUL23.bam
icon:CAMUL24,CAMUL24,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400082,188,5552FE461FC28DE874830E23EE640341A14F664196C1E91B6D959BC5E67C0483,icons/source/CAMUL24.bam
icon:CAMUL25,CAMUL25,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400083,300,27F75F217DAACB4C4B758D794AE14C983E4990BCBC0A1457AD86A2B9C608FCDB,icons/source/CAMUL25.bam
icon:CAROW01,CAROW01,item-description,4,4,BAM,V2,1,1,data/GUIIcon.bif,0x00400085,244,FDE5F14B08C00868DD42D6C71DE5984236DCF30940DE9BF4339D2CC9AE7ED41C,icons/source/CAROW01.bam
icon:CAROW02,CAROW02,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400086,188,8CCD17F7836F83352CF8B68C3AFA15EDE4643A26235AE49270F5FED598DC1E8A,icons/source/CAROW02.bam
icon:CAROW03,CAROW03,item-description,1,1,BAM,V2,1,1,data/Patch25.bif,0x01000013,244,C1585B607D79401060111C04A1748CFACCE67084488B4CD6C0EA2622D63D0E9F,icons/source/CAROW03.bam
icon:CAROW04,CAROW04,item-description,1,1,BAM,V2,1,1,data/Patch25.bif,0x01000014,188,0E79FF50BC4BEE526267F34FFF56A55AD6BA356704C602BDDAE9343A83C3EBB1,icons/source/CAROW04.bam
icon:CAROW05,CAROW05,item-description,3,3,BAM,V2,1,1,data/GUIIcon.bif,0x00400087,216,DD64B5068D2C6185F59725EDA685FA37BD1604BB1547696A28F491A8F56C0999,icons/source/CAROW05.bam
icon:CAROW06,CAROW06,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400088,188,9970AE964202DEFE219C8D08EF090FF14EDD3118C7024E044782B847790F584C,icons/source/CAROW06.bam
icon:CAROW07,CAROW07,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400089,216,FF8AA4984D04872CF687EC73234A1304C2AEB3C42056A920F9B9CCBFAD0A1056,icons/source/CAROW07.bam
icon:CAROW08,CAROW08,item-description,4,4,BAM,V2,1,1,data/GUIIcon.bif,0x0040008A,188,79861D74C69A37E280A5C4EDEB203BEA5370E0CA2C63BEEA6A6B4CC424D6C693,icons/source/CAROW08.bam
icon:CAROW09,CAROW09,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x0040008B,188,C521C42A3007C83583459739873A8152A48BB7B58F23D67E0C4B4C01CF72CF94,icons/source/CAROW09.bam
icon:CAROW10,CAROW10,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040008C,188,DE196858882C606A027C4CDA559E58C52D2A9EB943694148FB0A2FCCE8439AD0,icons/source/CAROW10.bam
icon:CAROW11,CAROW11,item-description,1,1,BAM,V2,1,1,data/Patch25.bif,0x01000015,244,050D99ED724F57EADCAD3E18EFC136AA26656178E3474C7537DE2CF03B72AFDB,icons/source/CAROW11.bam
icon:CAX1H01,CAX1H01,item-description,10,10,BAM,V2,1,1,data/GUIIcon.bif,0x0040008E,216,E3E871D514A3CA1784993BB6E03B4BFAD34A6DEC63CFAD17D448EA18305700BA,icons/source/CAX1H01.bam
icon:CAX1H04,CAX1H04,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040008F,188,C6E7E40AF8022CA790F63E17AEAE7A94AB7DDB527A167C57582F6661CAE98A49,icons/source/CAX1H04.bam
icon:CAX1H05,CAX1H05,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x00400090,244,18664E7416136BCF8E5D0A9374E234B2AA94022C64F0EBE11E594CC3576CC9D6,icons/source/CAX1H05.bam
icon:CAX1H08,CAX1H08,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400091,244,5C5674CA27939E6DA278BEB2164338F68F2B7B93503A96704BC88BBEB28BF46A,icons/source/CAX1H08.bam
icon:CAX1H09,CAX1H09,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400092,216,291492B3A8B31339FA9637EEA01D24E03654F4EA347525061003C7B83C8AEF4E,icons/source/CAX1H09.bam
icon:CAX1H10,CAX1H10,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400093,244,638787FEF6F82FB388DAE658AACE72DE3EBDB586116AA9E80A933E8EF0568FA7,icons/source/CAX1H10.bam
icon:CAX1H11,CAX1H11,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x00400094,244,72A7A97C81998ECC6D71778F1E318C0267D1F24EA27F1925AC7ADB6EE82DD10D,icons/source/CAX1H11.bam
icon:CAX1H12,CAX1H12,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400095,244,D9F8B63580E5A6CECBF93090338AF145F243B99058BDC631E0FA807992DD9280,icons/source/CAX1H12.bam
icon:CAX1H13,CAX1H13,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400096,244,5A960BD393FBB225FE963370C6F6DF7DB89630DFA5874CD6E08F4D8C77FA9F84,icons/source/CAX1H13.bam
icon:CBAG02,CBAG02,item-description,11,11,BAM,V2,1,1,data/GUIIcon.bif,0x00400097,160,4D4DB822A74FCBE6C060EAC2F7D7B9DDB1BEDF6335299C792C8F6EA3613F7861,icons/source/CBAG02.bam
icon:CBAG03,CBAG03,item-description,9,9,BAM,V2,1,1,data/GUIIcon.bif,0x00400098,188,22D769FDDFA66A6487FF36290F60B984A44D3101F2142BDB978BECE9757D5B72,icons/source/CBAG03.bam
icon:CBAG04,CBAG04,item-description,20,20,BAM,V2,1,1,data/GUIIcon.bif,0x00400099,132,DCF38D76C58C16081458D0ACD85D58E26B2961A58398F800CE378733A098E9E1,icons/source/CBAG04.bam
icon:CBDAMU02,CBDAMU02,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040009A,328,F3A98BAF27EA0A04983556D6297847D980A2FE55B1B37DC17B6A554BFC04DDAD,icons/source/CBDAMU02.bam
icon:CBDBLN16,CBDBLN16,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040009B,272,4663C45F857903FF390176AC888A7DCA9AE5328B05EF6BA37D70D4B9A5289990,icons/source/CBDBLN16.bam
icon:CBDBRD03,CBDBRD03,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040009C,244,812C71A5425728A6B733AA4949622059F98BED820E8C5713671923721D3318DF,icons/source/CBDBRD03.bam
icon:CBDDUMPL,CBDDUMPL,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040009D,216,E1860E19D3284F6D87C20C2C6B0D151C653E0C1048F2689CF115CB7DEF78A945,icons/source/CBDDUMPL.bam
icon:CBDHEL11,CBDHEL11,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040009E,216,A2706047A7A9988156DAB5D8B433C534F5EE1123390A99119F3B476FE4E4FAB0,icons/source/CBDHEL11.bam
icon:CBDMSC5G,CBDMSC5G,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040009F,328,5C4E42F356CE8DAE496D2084290C698CA3BFEEECF7A7DA81AE8BBD6B5914886A,icons/source/CBDMSC5G.bam
icon:CBELT01,CBELT01,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x004000A0,188,588C49E3453558AE4AFBB34D93FCA6F85385EE93A584D62EEBC55E7D12112CD2,icons/source/CBELT01.bam
icon:CBELT02,CBELT02,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000A1,76,BD2471C449FBB953A09B11A4A034FCD3CD046FD71513D71AEA4F19F4B62DA447,icons/source/CBELT02.bam
icon:CBELT03,CBELT03,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000A2,160,3015449DD2F206B92E91A9E33B6BA89145B9C5C40D59B0F8A54B1A98F6D6C940,icons/source/CBELT03.bam
icon:CBELT04,CBELT04,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000A3,132,13682223EA8D61757FF0130A2B2F463235F5596E0E39D2807DAF302AF8351172,icons/source/CBELT04.bam
icon:CBELT05,CBELT05,item-description,6,6,BAM,V2,1,1,data/GUIIcon.bif,0x004000A4,160,2539A068F06A644F946DE1843DE9A1F8C93CFEF0C6D8893A82E92D149BB20B30,icons/source/CBELT05.bam
icon:CBELT06,CBELT06,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000A5,188,897B1CCDB1B7A4DC0739063D9BC41F64CFCD7AE4205C8A7FCDCA0ADC71C90E57,icons/source/CBELT06.bam
icon:CBELT07,CBELT07,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000A6,76,6FE407EE52D99BD904DA6111E949A66B481295C16B985D49267C4160E933ED22,icons/source/CBELT07.bam
icon:CBELT08,CBELT08,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000A7,76,AC5C30713FB33997DD3FC816DABFC605098A4F9EF37754F1C90AAEC2941FE0A8,icons/source/CBELT08.bam
icon:CBELT09,CBELT09,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000A8,188,6D0BA17A05B48AE92DC727A3D81F8466551A4F4511BE4F50BA36F52363D8D1DA,icons/source/CBELT09.bam
icon:CBELT10,CBELT10,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x004000A9,104,47A8E4F6390C8040C59D030CE524A9FC00D7225CE06D37710BB30289484653CE,icons/source/CBELT10.bam
icon:CBELTBW,CBELTBW,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000AA,244,A1A0B02F047B3639EFF63483BDAC2F8159CB74C58FD6E646DB5C6874E4AF9EB9,icons/source/CBELTBW.bam
icon:CBELTSH,CBELTSH,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000AB,328,3F4A8A83E5D4E3BB763C90004969808020996F1C8F342BC785E516C5BF4A1DC0,icons/source/CBELTSH.bam
icon:CBELTTY,CBELTTY,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000AC,244,F39D95A73DE30A45B89297FBD2F095467F23E9CB7B1400964A8573228600DD2E,icons/source/CBELTTY.bam
icon:CBLUN01,CBLUN01,item-description,89,89,BAM,V2,1,1,data/GUIIcon.bif,0x004000AD,188,915F90BDFFD0498747B433AE9F5045D081E832A45AF253ABBF3B5ED90DD58F1D,icons/source/CBLUN01.bam
icon:CBLUN02,CBLUN02,item-description,4,4,BAM,V2,1,1,data/GUIIcon.bif,0x004000AE,244,F3472FAB22319C021043D9620EE9E158BF94B6CE20F2CB0DFABF16CE188A4B60,icons/source/CBLUN02.bam
icon:CBLUN04,CBLUN04,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000B0,160,77D02CEC05918FE695850D95152BECF5CC799A8E25CF56B02DB54A36F007B34A,icons/source/CBLUN04.bam
icon:CBLUN05,CBLUN05,item-description,8,8,BAM,V2,1,1,data/GUIIcon.bif,0x004000B1,188,E78885E9D20EB8B8EB74828536BA2E7E548F5D46D06B4C672E96037A2EF209DA,icons/source/CBLUN05.bam
icon:CBLUN06,CBLUN06,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x004000B2,244,2F8371B95B35BEC3E04CABC8B714ECFE5C71BDE01A6ECE7095E0B25704603E4A,icons/source/CBLUN06.bam
icon:CBLUN07,CBLUN07,item-description,4,4,BAM,V2,1,1,data/GUIIcon.bif,0x004000B3,272,58646362329CEB6C6BB4B6DAD410CD817E1A8A75016393EC84637DCD39D542CA,icons/source/CBLUN07.bam
icon:CBLUN10,CBLUN10,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000B4,244,78EFD6D2172B58A07C8B59B4955618AA1F2A9C8AF631FA9DCFBDA055B94CB7BC,icons/source/CBLUN10.bam
icon:CBLUN12,CBLUN12,item-description,3,3,BAM,V2,1,1,data/GUIIcon.bif,0x004000B5,272,91D19CBEB4E594418019577BE3709A68BE4D5E027B08A89EC346C0CCBB8E3BB3,icons/source/CBLUN12.bam
icon:CBLUN13,CBLUN13,item-description,3,3,BAM,V2,1,1,data/GUIIcon.bif,0x004000B6,272,71CE37C30C73626CD5A0B29BE1A4E8B12B77FC1839C1B3B383C7007C887D7F94,icons/source/CBLUN13.bam
icon:CBLUN14,CBLUN14,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000B7,272,2E7BD034C7BCA5DD101CDCA862F5B8C517EFC4F6481FD4D3C3D79D7D8C8671AE,icons/source/CBLUN14.bam
icon:CBLUN14A,CBLUN14A,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x004000B8,188,7D84605F3C7216CB2CC0A7E300B23D55E61805B15E8952EF7A6D466F1129161B,icons/source/CBLUN14A.bam
