owner_format,owner_resref,role,icon_resref
ITM,ARROPHE2,item-description,CAROW08
ITM,AROW09,item-description,CAROW09
ITM,AROW16,item-description,CAROW09
ITM,AROW10,item-description,CAROW10
ITM,AROW11,item-description,CAROW11
ITM,AX1H01,item-description,CAX1H01
ITM,AX1H02,item-description,CAX1H01
ITM,AX1H03,item-description,CAX1H01
ITM,AX1H07,item-description,CAX1H01
ITM,BRUENAXE,item-description,CAX1H01
ITM,DAX1H01,item-description,CAX1H01
ITM,ENSW2H,item-description,CAX1H01
ITM,IAX1H01,item-description,CAX1H01
ITM,KORAX01,item-description,CAX1H01
ITM,WAAXE,item-description,CAX1H01
ITM,AX1H04,item-description,CAX1H04
ITM,AX1H05,item-description,CAX1H05
ITM,AX1H06,item-description,CAX1H05
ITM,AX1H08,item-description,CAX1H08
ITM,AX1H09,item-description,CAX1H09
ITM,AX1H10,item-description,CAX1H10
ITM,AX1H11,item-description,CAX1H11
ITM,AX1H17,item-description,CAX1H11
ITM,AX1H12,item-description,CAX1H12
ITM,AX1H13,item-description,CAX1H13
ITM,BAG02,item-description,CBAG02
ITM,BAG02B,item-description,CBAG02
ITM,BAG02C,item-description,CBAG02
ITM,BAG02D,item-description,CBAG02
ITM,BAG02E,item-description,CBAG02
ITM,BAG02F,item-description,CBAG02
ITM,BAG02G,item-description,CBAG02
ITM,BAG02H,item-description,CBAG02
ITM,BAG02I,item-description,CBAG02
ITM,CDBAG02I,item-description,CBAG02
ITM,CDBAG02J,item-description,CBAG02
ITM,BAG03,item-description,CBAG03
ITM,BAG03B,item-description,CBAG03
ITM,BAG03C,item-description,CBAG03
ITM,BAG03D,item-description,CBAG03
ITM,BAG03E,item-description,CBAG03
ITM,BAG03F,item-description,CBAG03
ITM,BAG03G,item-description,CBAG03
ITM,BAG03H,item-description,CBAG03
ITM,BAG03I,item-description,CBAG03
ITM,BAG04,item-description,CBAG04
ITM,BAG19,item-description,CBAG04
ITM,BAG19A,item-description,CBAG04
ITM,BAG19B,item-description,CBAG04
ITM,BAG19C,item-description,CBAG04
ITM,BAG19D,item-description,CBAG04
ITM,BAG19E,item-description,CBAG04
ITM,BAG20,item-description,CBAG04
ITM,BAG21,item-description,CBAG04
ITM,BAG22,item-description,CBAG04
ITM,BAG23,item-description,CBAG04
ITM,BAG24,item-description,CBAG04
ITM,BAG25,item-description,CBAG04
ITM,BAG26,item-description,CBAG04
ITM,BAG27,item-description,CBAG04
ITM,BAG27A,item-description,CBAG04
ITM,BAG28,item-description,CBAG04
ITM,BAG29,item-description,CBAG04
ITM,BAG30,item-description,CBAG04
ITM,BAG31,item-description,CBAG04
ITM,BDAMUL02,item-description,CBDAMU02
ITM,BLUN16,item-description,CBDBLN16
ITM,BDBRD03,item-description,CBDBRD03
ITM,BDDUMPL,item-description,CBDDUMPL
ITM,BDHELM09,item-description,CBDHEL09
ITM,BDHELM11,item-description,CBDHEL11
ITM,MISC5G,item-description,CBDMSC5G
ITM,BELT01,item-description,CBELT01
ITM,NEBELT01,item-description,CBELT01
ITM,BELT02,item-description,CBELT02
ITM,BELT03,item-description,CBELT03
ITM,BELT04,item-description,CBELT04
ITM,BELT05,item-description,CBELT05
ITM,BHAALHP1,item-description,CBELT05
ITM,BHAALIMM,item-description,CBELT05
ITM,IMOENHP1,item-description,CBELT05
ITM,MEL01,item-description,CBELT05
ITM,SAREVIMM,item-description,CBELT05
ITM,BELT06,item-description,CBELT06
ITM,BELT07,item-description,CBELT07
ITM,BELT08,item-description,CBELT08
ITM,BELT09,item-description,CBELT09
ITM,BDBELT02,item-description,CBELT10
ITM,BELT10,item-description,CBELT10
ITM,BELTBW,item-description,CBELTBW
ITM,BELTSH,item-description,CBELTSH
ITM,BELTTY,item-description,CBELTTY
ITM,BEARSPIR,item-description,CBLUN01
ITM,BLUN01,item-description,CBLUN01
ITM,BLUN31,item-description,CBLUN01
ITM,BRBLP,item-description,CBLUN01
ITM,BRBRP,item-description,CBLUN01
ITM,CDBRBRP,item-description,CBLUN01
ITM,CDBRBRP2,item-description,CBLUN01
ITM,CDSQUIRP,item-description,CBLUN01
ITM,CDWOLFM,item-description,CBLUN01
ITM,CRITICAL,item-description,CBLUN01
ITM,HARM,item-description,CBLUN01
ITM,HSWORD,item-description,CBLUN01
ITM,LIONSPIR,item-description,CBLUN01
ITM,OHBBLUN1,item-description,CBLUN01
ITM,OHBLUN50,item-description,CBLUN01
ITM,OHBLUN51,item-description,CBLUN01
ITM,PLYBASS,item-description,CBLUN01
ITM,PLYBEAR1,item-description,CBLUN01
ITM,PLYBEAR2,item-description,CBLUN01
ITM,PLYFIST,item-description,CBLUN01
ITM,PLYJELLO,item-description,CBLUN01
ITM,PLYJELLY,item-description,CBLUN01
ITM,PLYSPID,item-description,CBLUN01
ITM,PLYSPID2,item-description,CBLUN01
ITM,PLYWOLF1,item-description,CBLUN01
ITM,PLYWOLF2,item-description,CBLUN01
ITM,PLYWYVRN,item-description,CBLUN01
ITM,POLYCARR,item-description,CBLUN01
ITM,POLYRAT,item-description,CBLUN01
ITM,SERIOUS,item-description,CBLUN01
ITM,SGRASP01,item-description,CBLUN01
ITM,SGRASP02,item-description,CBLUN01
ITM,SGRASP03,item-description,CBLUN01
ITM,SGRASP04,item-description,CBLUN01
ITM,SGRASP05,item-description,CBLUN01
ITM,SGRASP06,item-description,CBLUN01
ITM,SGRASP07,item-description,CBLUN01
ITM,SGRASP08,item-description,CBLUN01
ITM,SGRASP09,item-description,CBLUN01
ITM,SGRASP10,item-description,CBLUN01
ITM,SGRASP11,item-description,CBLUN01
ITM,SGRASP12,item-description,CBLUN01
ITM,SGRASP13,item-description,CBLUN01
ITM,SGRASP14,item-description,CBLUN01
ITM,SGRASP15,item-description,CBLUN01
ITM,SGRASP16,item-description,CBLUN01
ITM,SGRASP17,item-description,CBLUN01
ITM,SGRASP18,item-description,CBLUN01
ITM,SGRASP19,item-description,CBLUN01
ITM,SGRASP20,item-description,CBLUN01
ITM,SGRASP21,item-description,CBLUN01
ITM,SGRASP22,item-description,CBLUN01
ITM,SGRASP23,item-description,CBLUN01
ITM,SGRASP24,item-description,CBLUN01
ITM,SGRASP25,item-description,CBLUN01
ITM,SGRASP26,item-description,CBLUN01
ITM,SGRASP27,item-description,CBLUN01
ITM,SGRASP28,item-description,CBLUN01
ITM,SGRASP29,item-description,CBLUN01
ITM,SGRASP30,item-description,CBLUN01
ITM,SGRASP31,item-description,CBLUN01
ITM,SGRASP32,item-description,CBLUN01
ITM,SHILLE,item-description,CBLUN01
ITM,SKELCLUB,item-description,CBLUN01
ITM,SLAYLIVE,item-description,CBLUN01
ITM,SNAKSPIR,item-description,CBLUN01
ITM,SPBATT1,item-description,CBLUN01
ITM,SPBATT2,item-description,CBLUN01
ITM,SPBATT3,item-description,CBLUN01
ITM,SPBATT4,item-description,CBLUN01
ITM,SPBATT5,item-description,CBLUN01
ITM,SPLATT1,item-description,CBLUN01
ITM,SPLATT2,item-description,CBLUN01
ITM,SPLATT3,item-description,CBLUN01
ITM,SPLATT4,item-description,CBLUN01
ITM,SPLATT5,item-description,CBLUN01
ITM,SPSATT1,item-description,CBLUN01
ITM,SPSATT2,item-description,CBLUN01
ITM,SPSATT3,item-description,CBLUN01
ITM,SPSATT4,item-description,CBLUN01
ITM,SPSATT5,item-description,CBLUN01
ITM,SPWATT1,item-description,CBLUN01
ITM,SPWATT2,item-description,CBLUN01
ITM,SPWATT3,item-description,CBLUN01
ITM,SPWATT4,item-description,CBLUN01
ITM,SPWATT5,item-description,CBLUN01
ITM,SQUIRP,item-description,CBLUN01
ITM,WOLFM,item-description,CBLUN01
ITM,WOLFSPIR,item-description,CBLUN01
ITM,BARLFL,item-description,CBLUN02
ITM,BLUN02,item-description,CBLUN02
ITM,BLUN03,item-description,CBLUN02
ITM,BLUN08,item-description,CBLUN02
ITM,STAF06,item-description,CBLUN04
ITM,BLUN04,item-description,CBLUN05
ITM,BLUN05,item-description,CBLUN05
ITM,BLUN19,item-description,CBLUN05
ITM,DEVA,item-description,CBLUN05
ITM,ENMACE,item-description,CBLUN05
ITM,FINSOL02,item-description,CBLUN05
ITM,IBLUN04,item-description,CBLUN05
ITM,RODMACE,item-description,CBLUN05
ITM,BLUN06,item-description,CBLUN06
ITM,PLYMSTAR,item-description,CBLUN06
ITM,BLUN07,item-description,CBLUN07
ITM,BLUN09,item-description,CBLUN07
ITM,BLUN35,item-description,CBLUN07
ITM,ENMORN,item-description,CBLUN07
ITM,BLUN10,item-description,CBLUN10
ITM,BLUN12,item-description,CBLUN12
ITM,BLUN25,item-description,CBLUN12
ITM,OHBDEVA,item-description,CBLUN12
ITM,BLUN13,item-description,CBLUN13
ITM,BLUN32,item-description,CBLUN13
ITM,WAFLAIL,item-description,CBLUN13
ITM,BLUN14,item-description,CBLUN14
ITM,BLUN14A,item-description,CBLUN14A
ITM,BLUN14B,item-description,CBLUN14B
ITM,BLUN14C,item-description,CBLUN14C
ITM,BLUN14D,item-description,CBLUN14D
ITM,BLUN14E,item-description,CBLUN14E
ITM,BLUN14F,item-description,CBLUN14F
ITM,BLUN14G,item-description,CBLUN14G
ITM,BLUN14H,item-description,CBLUN14H
ITM,BLUN14I,item-description,CBLUN14I
ITM,BLUN15,item-description,CBLUN15
ITM,BLUN34,item-description,CBLUN15
ITM,WASTAR,item-description,CBLUN15
ITM,BLUN17,item-description,CBLUN17
ITM,BLUN18,item-description,CBLUN18
ITM,BLUN20,item-description,CBLUN20
ITM,HLOLTH,item-description,CBLUN20
ITM,BLUN11,item-description,CBLUN21
ITM,BLUN21,item-description,CBLUN21
ITM,BLUN33,item-description,CBLUN21
ITM,WAMACE,item-description,CBLUN21
ITM,BLUN22,item-description,CBLUN22
ITM,BLUN23,item-description,CBLUN23
ITM,BLUN24,item-description,CBLUN24
ITM,BOLT01,item-description,CBOLT01
ITM,MDK2BUL2,item-description,CBOLT01
ITM,MDK2BULL,item-description,CBOLT01
ITM,MDK2MTOV,item-description,CBOLT01
ITM,BOLT02,item-description,CBOLT02
ITM,BOLT08,item-description,CBOLT02
ITM,KUOBOLT,item-description,CBOLT02
ITM,KUOBOLT2,item-description,CBOLT02
ITM,KUOBOLT3,item-description,CBOLT02
ITM,SAHBOLT,item-description,CBOLT02
ITM,BOLT03,item-description,CBOLT03
ITM,BOLT04,item-description,CBOLT04
ITM,BOLT05,item-description,CBOLT05
ITM,BOLT06,item-description,CBOLT06
ITM,BOOK01,item-description,CBOOK01
ITM,BOOK03,item-description,CBOOK01
ITM,BOOK04,item-description,CBOOK01
ITM,BOOK05,item-description,CBOOK01
ITM,BOOK06,item-description,CBOOK01
ITM,BOOK07,item-description,CBOOK01
ITM,BOOK08,item-description,CBOOK01
ITM,BOOK27,item-description,CBOOK01
ITM,BOOK39,item-description,CBOOK01
ITM,BOOK68,item-description,CBOOK01
ITM,BOOK70,item-description,CBOOK01
ITM,MISC1F,item-description,CBOOK01
ITM,MISC71,item-description,CBOOK01
ITM,MISC7I,item-description,CBOOK01
ITM,MISC7W,item-description,CBOOK01
ITM,MISCA3,item-description,CBOOK01
ITM,BOOK02,item-description,CBOOK02
ITM,OHHBOOK2,item-description,CBOOK02
ITM,OHHJOUR,item-description,CBOOK02
ITM,BOOK09,item-description,CBOOK09
ITM,BOOK10,item-description,CBOOK09
ITM,BOOK11,item-description,CBOOK09
ITM,BOOK12,item-description,CBOOK09
ITM,BOOK13,item-description,CBOOK09
ITM,BOOK14,item-description,CBOOK09
ITM,BOOK15,item-description,CBOOK09
ITM,BOOK16,item-description,CBOOK09
ITM,BOOK17,item-description,CBOOK09
ITM,BOOK18,item-description,CBOOK09
ITM,BOOK19,item-description,CBOOK09
ITM,BOOK20,item-description,CBOOK09
ITM,BOOK21,item-description,CBOOK09
ITM,BOOK22,item-description,CBOOK09
ITM,BOOK23,item-description,CBOOK09
ITM,BOOK24,item-description,CBOOK09
ITM,BOOK25,item-description,CBOOK09
ITM,BOOK26,item-description,CBOOK09
ITM,BOOK28,item-description,CBOOK09
ITM,BOOK29,item-description,CBOOK09
ITM,BOOK30,item-description,CBOOK09
ITM,BOOK31,item-description,CBOOK09
ITM,BOOK32,item-description,CBOOK09
ITM,BOOK33,item-description,CBOOK09
ITM,BOOK34,item-description,CBOOK09
ITM,BOOK35,item-description,CBOOK09
ITM,BOOK36,item-description,CBOOK09
ITM,BOOK37,item-description,CBOOK09
ITM,BOOK38,item-description,CBOOK09
ITM,BOOK40,item-description,CBOOK09
ITM,BOOK41,item-description,CBOOK09
ITM,BOOK42,item-description,CBOOK09
ITM,BOOK43,item-description,CBOOK09
ITM,BOOK44,item-description,CBOOK09
ITM,BOOK45,item-description,CBOOK09
ITM,BOOK46,item-description,CBOOK09
ITM,BOOK47,item-description,CBOOK09
ITM,BOOK48,item-description,CBOOK09
ITM,BOOK49,item-description,CBOOK09
ITM,BOOK50,item-description,CBOOK09
ITM,BOOK51,item-description,CBOOK09
ITM,BOOK52,item-description,CBOOK09
ITM,BOOK53,item-description,CBOOK09
ITM,BOOK54,item-description,CBOOK09
ITM,BOOK55,item-description,CBOOK09
ITM,BOOK56,item-description,CBOOK09
ITM,BOOK57,item-description,CBOOK09
ITM,BOOK58,item-description,CBOOK09
ITM,BOOK59,item-description,CBOOK09
ITM,BOOK60,item-description,CBOOK09
ITM,BOOK61,item-description,CBOOK09
ITM,BOOK62,item-description,CBOOK09
ITM,BOOK63,item-description,CBOOK09
ITM,BOOK64,item-description,CBOOK09
ITM,BOOK65,item-description,CBOOK09
ITM,BOOK66,item-description,CBOOK09
ITM,BOOK67,item-description,CBOOK09
ITM,BOOK71,item-description,CBOOK09
ITM,BOOK72,item-description,CBOOK09
ITM,BOOK73,item-description,CBOOK09
ITM,BOOK74,item-description,CBOOK09
ITM,BOOK75,item-description,CBOOK09
ITM,BOOK76,item-description,CBOOK09
ITM,BOOK77,item-description,CBOOK09
ITM,BOOK78,item-description,CBOOK09
ITM,BOOK79,item-description,CBOOK09
ITM,BOOK80,item-description,CBOOK09
ITM,BOOK81,item-description,CBOOK09
ITM,BOOK82,item-description,CBOOK09
ITM,BOOK83,item-description,CBOOK09
ITM,BOOK84,item-description,CBOOK09
ITM,BOOK85,item-description,CBOOK09
ITM,BOOK86,item-description,CBOOK09
ITM,BOOK87,item-description,CBOOK09
ITM,BOOK88,item-description,CBOOK09
ITM,BOOK94,item-description,CBOOK09
ITM,BOOK95,item-description,CBOOK09
ITM,BOOK96,item-description,CBOOK09
ITM,BOOK97,item-description,CBOOK09
ITM,BOOK98,item-description,CBOOK09
ITM,OHBBOOK1,item-description,CBOOK09
ITM,OHHBOOK,item-description,CBOOK09
ITM,OHHBOOKA,item-description,CBOOK09
ITM,OHHBOOKB,item-description,CBOOK09
ITM,OHHBOOKC,item-description,CBOOK09
ITM,OHHBOOKD,item-description,CBOOK09
ITM,OHHBOOKE,item-description,CBOOK09
ITM,OHHBOOKF,item-description,CBOOK09
ITM,OHHBOOKG,item-description,CBOOK09
ITM,OHHBOOKH,item-description,CBOOK09
ITM,SCRL3F,item-description,CBOOK09
ITM,BOOK89,item-description,CBOOK89
ITM,OHNNOTE3,item-description,CBOOK89
ITM,PLOT01I,item-description,CBOOK89
ITM,PLOT04J,item-description,CBOOK89
ITM,BOOK90,item-description,CBOOK90
ITM,OHBBOOK2,item-description,CBOOK90
ITM,OHNNOTE5,item-description,CBOOK90
ITM,PLOT02F,item-description,CBOOK90
ITM,BOOK91,item-description,CBOOK91
ITM,BOOKEE,item-description,CBOOK91
ITM,OHDJOUR,item-description,CBOOK91
ITM,OHNNOTE4,item-description,CBOOK91
ITM,OHRBOOK1,item-description,CBOOK91
ITM,BOOK92,item-description,CBOOK92
ITM,HGBOOK1,item-description,CBOOK92
ITM,OHRBOOK2,item-description,CBOOK92
ITM,BOOK93,item-description,CBOOK93
ITM,PLOT18B,item-description,CBOOK93
ITM,BOOT01,item-description,CBOOT01
ITM,BOOTDRIZ,item-description,CBOOT01
ITM,DASBOOT,item-description,CBOOT01
ITM,MISCAI,item-description,CBOOT01
ITM,MOVE7,item-description,CBOOT01
ITM,SOUND2MN,item-description,CBOOT01
ITM,TROLLBOO,item-description,CBOOT01
ITM,BOOT02,item-description,CBOOT02
ITM,BOOT03,item-description,CBOOT03
ITM,BOOT04,item-description,CBOOT04
ITM,BOOT05,item-description,CBOOT05
ITM,BOOT06,item-description,CBOOT06
ITM,BOOT07,item-description,CBOOT07
ITM,BOOT08,item-description,CBOOT08
ITM,BOOT09,item-description,CBOOT09
ITM,BOOT10,item-description,CBOOT10
ITM,BOOT11,item-description,CBOOT11
ITM,BOW01,item-description,CBOW01
ITM,BOW98,item-description,CBOW01
ITM,BOW02,item-description,CBOW02
ITM,BOW03,item-description,CBOW03
ITM,BOWNON,item-description,CBOW03
ITM,IBOW03,item-description,CBOW03
ITM,BOW04,item-description,CBOW04
ITM,BOW05,item-description,CBOW05
ITM,COMPB05,item-description,CBOW05
ITM,NPBOW,item-description,CBOW05
ITM,BOW06,item-description,CBOW06
ITM,CATTIBOW,item-description,CBOW06
ITM,COMPB06,item-description,CBOW06
ITM,BOW07,item-description,CBOW07
ITM,BOW08,item-description,CBOW08
ITM,BOW99,item-description,CBOW08
ITM,COMPB08,item-description,CBOW08
ITM,BOW09,item-description,CBOW09
ITM,BOW10,item-description,CBOW10
ITM,BOW11,item-description,CBOW11
ITM,BOW12,item-description,CBOW12
ITM,GORWOM2,item-description,CBOW12
ITM,BOW13,item-description,CBOW13
ITM,BOW14,item-description,CBOW14
ITM,COMPB14,item-description,CBOW14
ITM,BOW15,item-description,CBOW15
ITM,COMPB15,item-description,CBOW15
ITM,BOW16,item-description,CBOW16
ITM,BOW24,item-description,CBOW16
ITM,BOW17,item-description,CBOW17
ITM,BOW25,item-description,CBOW17
ITM,FINSOL01,item-description,CBOW17
ITM,BOW18,item-description,CBOW18
ITM,BOW26,item-description,CBOW18
ITM,COMPB18,item-description,CBOW18
ITM,COMPB26,item-description,CBOW18
ITM,BOW19,item-description,CBOW19
ITM,COMPB19,item-description,CBOW19
ITM,GODBOW,item-description,CBOW19
ITM,BOW19A,item-description,CBOW19A
ITM,BOW19B,item-description,CBOW19B
ITM,COMPON10,item-description,CBOW19B
ITM,BRAC01,item-description,CBRAC01
ITM,BRAC02,item-description,CBRAC02
ITM,MAGEBRAC,item-description,CBRAC02
ITM,BRAC03,item-description,CBRAC03
ITM,BRAC04,item-description,CBRAC04
ITM,BRAC05,item-description,CBRAC05
ITM,OHBBRAC1,item-description,CBRAC05
ITM,BRAC06,item-description,CBRAC06
ITM,BRAC07,item-description,CBRAC07
ITM,BRAC08,item-description,CBRAC08
ITM,BRAC09,item-description,CBRAC09
ITM,BRAC10,item-description,CBRAC10
ITM,BRAC11,item-description,CBRAC10
ITM,BRAC21,item-description,CBRAC10
ITM,RSBRAC,item-description,CBRAC10
ITM,BRAC12,item-description,CBRAC12
ITM,BRAC13,item-description,CBRAC13
ITM,BRAC14,item-description,CBRAC14
ITM,BRAC15,item-description,CBRAC15
ITM,BRAC16,item-description,CBRAC16
ITM,BRAC17,item-description,CBRAC17
ITM,BRAC18,item-description,CBRAC18
ITM,BRAC19,item-description,CBRAC19
ITM,BRAC20,item-description,CBRAC20
ITM,OHBGLOV1,item-description,CBRAC20
ITM,BULL01,item-description,CBULL01
ITM,DART07,item-description,CBULL01
ITM,MELFMET,item-description,CBULL01
ITM,SORB,item-description,CBULL01
ITM,BULL02,item-description,CBULL02
ITM,BULL03,item-description,CBULL03
ITM,BULL05,item-description,CBULL03
ITM,BULL06,item-description,CBULL03
ITM,BULL04,item-description,CBULL04
ITM,CHAN01,item-description,CCHAN01
ITM,ICHAN01,item-description,CCHAN01
ITM,VISCHAN1,item-description,CCHAN01
ITM,CHAN02,item-description,CCHAN02
ITM,CHAN03,item-description,CCHAN03
ITM,CHAN07,item-description,CCHAN03
ITM,CHAN21,item-description,CCHAN03
ITM,CHAN04,item-description,CCHAN04
ITM,ICHAN04,item-description,CCHAN04
ITM,VISCHAN2,item-description,CCHAN04
ITM,CHAN05,item-description,CCHAN05
ITM,OHCHAN50,item-description,CCHAN05
ITM,CHAN06,item-description,CCHAN06
ITM,CHAN08,item-description,CCHAN08
ITM,CHAN09,item-description,CCHAN09
ITM,SHARARM,item-description,CCHAN09
ITM,TAMCHAIN,item-description,CCHAN09
ITM,CHAN10,item-description,CCHAN10
ITM,CHAN11,item-description,CCHAN11
ITM,CHAN12,item-description,CCHAN12
ITM,CHAN19,item-description,CCHAN12
ITM,CHAN13,item-description,CCHAN13
ITM,CHAN14,item-description,CCHAN14
ITM,CHAN15,item-description,CCHAN15
ITM,CHAN16,item-description,CCHAN16
ITM,CHAN17,item-description,CCHAN17
ITM,CLOLTH,item-description,CCHAN17
ITM,CHAN18,item-description,CCHAN18
ITM,CLCK01,item-description,CCLCK01
ITM,CLCK02,item-description,CCLCK01
ITM,CLCK31,item-description,CCLCK01
ITM,COMPON16,item-description,CCLCK01
ITM,CLCK03,item-description,CCLCK03
ITM,CLCK04,item-description,CCLCK04
ITM,CLCK05,item-description,CCLCK05
ITM,CLCK22,item-description,CCLCK05
ITM,CLCK06,item-description,CCLCK06
ITM,CLCK07,item-description,CCLCK07
ITM,CLCK21,item-description,CCLCK07
ITM,CLCK08,item-description,CCLCK08
ITM,CLCK09,item-description,CCLCK09
ITM,CLCK10,item-description,CCLCK09
ITM,CLCK11,item-description,CCLCK09
ITM,VISCLCK1,item-description,CCLCK09
ITM,WA2ROBE,item-description,CCLCK09
ITM,BDROBE05,item-description,CCLCK12
ITM,CLCK12,item-description,CCLCK12
ITM,CLCK13,item-description,CCLCK12
ITM,CLCK14,item-description,CCLCK12
ITM,CLCK18,item-description,CCLCK12
ITM,OHNROBE3,item-description,CCLCK12
ITM,VISCLCK2,item-description,CCLCK12
ITM,CLCK15,item-description,CCLCK15
ITM,CLCK16,item-description,CCLCK15
ITM,CLCK17,item-description,CCLCK15
ITM,CLCK19,item-description,CCLCK15
ITM,HGWRA02,item-description,CCLCK15
ITM,VISCLCK3,item-description,CCLCK15
ITM,VISCLCK4,item-description,CCLCK15
ITM,VISCLCK5,item-description,CCLCK15
ITM,XZARCLCK,item-description,CCLCK15
ITM,CLCK20,item-description,CCLCK20
ITM,CLCK23,item-description,CCLCK23
ITM,CLCK24,item-description,CCLCK24
ITM,CLCK25,item-description,CCLCK25
ITM,CLCK26,item-description,CCLCK26
ITM,CLCK27,item-description,CCLCK27
ITM,CLCK30,item-description,CCLCK27
ITM,CLCK28,item-description,CCLCK28
ITM,OHBCLCK1,item-description,CCLCK28
ITM,CLCK29,item-description,CCLCK29
